Current, Run #1
Time ( s )	Current ( A )
0,000	5,308E-4
0,100	5,308E-4
0,200	5,308E-4
0,300	5,308E-4
0,400	5,308E-4
0,500	5,308E-4
0,600	5,308E-4
0,700	5,308E-4
0,800	5,308E-4
0,900	5,308E-4
1,000	5,308E-4
1,100	5,308E-4
1,200	5,308E-4
1,300	1,062E-3
1,400	5,308E-4
1,500	5,308E-4
1,600	5,308E-4
1,700	5,308E-4
1,800	1,062E-3
1,900	5,308E-4
2,000	1,062E-3
2,100	5,308E-4
2,200	5,308E-4
2,300	5,308E-4
2,400	5,308E-4
2,500	5,308E-4
2,600	5,308E-4
2,700	5,308E-4
2,800	5,308E-4
2,900	5,308E-4
3,000	5,308E-4
3,100	5,308E-4
3,200	5,308E-4
3,300	5,308E-4
3,400	5,308E-4
3,500	5,308E-4
3,600	5,308E-4
3,700	1,062E-3
3,800	5,308E-4
3,900	5,308E-4
4,000	5,308E-4
4,100	0,000
4,200	5,308E-4
4,300	5,308E-4
4,400	5,308E-4
4,500	5,308E-4
4,600	5,308E-4
4,700	5,308E-4
4,800	5,308E-4
4,900	5,308E-4
5,000	5,308E-4
5,100	5,308E-4
5,200	5,308E-4
5,300	5,308E-4
5,400	5,308E-4
5,500	5,308E-4
5,600	5,308E-4
5,700	5,308E-4
5,800	5,308E-4
5,900	5,308E-4
6,000	5,308E-4
6,100	5,308E-4
6,200	5,308E-4
6,300	5,308E-4
6,400	5,308E-4
6,500	5,308E-4
6,600	5,308E-4
6,700	5,308E-4
6,800	5,308E-4
6,900	5,308E-4
7,000	5,308E-4
7,100	5,308E-4
7,200	5,308E-4
7,300	5,308E-4
7,400	5,308E-4
7,500	5,308E-4
7,600	5,308E-4
7,700	5,308E-4
7,800	5,308E-4
7,900	5,308E-4
8,000	5,308E-4
8,100	5,308E-4
8,200	5,308E-4
8,300	5,308E-4
8,400	5,308E-4
8,500	5,308E-4
8,600	5,308E-4
8,700	5,308E-4
8,800	5,308E-4
8,900	5,308E-4
9,000	5,308E-4
9,100	5,308E-4
9,200	5,308E-4
9,300	5,308E-4
9,400	5,308E-4
9,500	5,308E-4
9,600	5,308E-4
9,700	0,000
9,800	0,000
9,900	5,308E-4
10,000	5,308E-4
10,100	5,308E-4
10,200	0,000
10,300	5,308E-4
10,400	5,308E-4
10,500	5,308E-4
10,600	5,308E-4
10,700	5,308E-4
10,800	5,308E-4
10,900	5,308E-4
11,000	5,308E-4
11,100	5,308E-4
11,200	5,308E-4
11,300	5,308E-4
11,400	5,308E-4
11,500	5,308E-4
11,600	5,308E-4
11,700	5,308E-4
11,800	5,308E-4
11,900	5,308E-4
12,000	5,308E-4
12,100	5,308E-4
12,200	5,308E-4
12,300	5,308E-4
12,400	5,308E-4
12,500	5,308E-4
12,600	5,308E-4
12,700	5,308E-4
12,800	5,308E-4
12,900	5,308E-4
13,000	5,308E-4
13,100	5,308E-4
13,200	5,308E-4
13,300	5,308E-4
13,400	5,308E-4
13,500	5,308E-4
13,600	5,308E-4
13,700	5,308E-4
13,800	5,308E-4
13,900	5,308E-4
14,000	5,308E-4
14,100	5,308E-4
14,200	5,308E-4
14,300	5,308E-4
14,400	0,000
14,500	5,308E-4
14,600	0,000
14,700	5,308E-4
14,800	5,308E-4
14,900	5,308E-4
15,000	5,308E-4
15,100	5,308E-4
15,200	5,308E-4
15,300	5,308E-4
15,400	5,308E-4
15,500	5,308E-4
15,600	5,308E-4
15,700	5,308E-4
15,800	5,308E-4
15,900	5,308E-4
16,000	5,308E-4
16,100	5,308E-4
16,200	5,308E-4
16,300	5,308E-4
16,400	5,308E-4
16,500	5,308E-4
16,600	5,308E-4
16,700	0,000
16,800	0,000
16,900	0,000
17,000	5,308E-4
17,100	5,308E-4
17,200	5,308E-4
17,300	5,308E-4
17,400	5,308E-4
17,500	5,308E-4
17,600	5,308E-4
17,700	5,308E-4
17,800	5,308E-4
17,900	5,308E-4
18,000	5,308E-4
18,100	5,308E-4
18,200	5,308E-4
18,300	5,308E-4
18,400	5,308E-4
18,500	5,308E-4
18,600	5,308E-4
18,700	5,308E-4
18,800	5,308E-4
18,900	0,000
19,000	5,308E-4
19,100	5,308E-4
19,200	5,308E-4
19,300	5,308E-4
19,400	5,308E-4
19,500	5,308E-4
19,600	5,308E-4
19,700	5,308E-4
19,800	5,308E-4
19,900	5,308E-4
20,000	5,308E-4
20,100	0,000
20,200	0,000
20,300	5,308E-4
20,400	5,308E-4
20,500	5,308E-4
20,600	5,308E-4
20,700	5,308E-4
20,800	5,308E-4
20,900	0,000
21,000	5,308E-4
21,100	5,308E-4
21,200	5,308E-4
21,300	5,308E-4
21,400	5,308E-4
21,500	0,000
21,600	5,308E-4
21,700	1,062E-3
21,800	0,000
21,900	5,308E-4
22,000	5,308E-4
22,100	5,308E-4
22,200	5,308E-4
22,300	5,308E-4
22,400	5,308E-4
22,500	0,691
22,600	0,683
22,700	0,676
22,800	0,670
22,900	0,665
23,000	0,660
23,100	0,656
23,200	0,653
23,300	0,649
23,400	0,646
23,500	0,644
23,600	0,642
23,700	0,639
23,800	0,637
23,900	0,635
24,000	0,634
24,100	0,632
24,200	0,631
24,300	0,629
24,400	0,628
24,500	0,627
24,600	0,626
24,700	0,625
24,800	0,624
24,900	0,623
25,000	0,622
