Power, Run #1
Time ( s )	Input Power ( W )
0,000	1,369E-5
0,100	1,369E-5
0,200	1,369E-5
0,300	1,369E-5
0,400	1,369E-5
0,500	1,369E-5
0,600	1,369E-5
0,700	1,642E-5
0,800	1,369E-5
0,900	1,369E-5
1,000	1,369E-5
1,100	1,642E-5
1,200	1,369E-5
1,300	2,737E-5
1,400	1,369E-5
1,500	1,369E-5
1,600	1,369E-5
1,700	1,369E-5
1,800	2,737E-5
1,900	1,369E-5
2,000	2,737E-5
2,100	1,369E-5
2,200	1,369E-5
2,300	1,369E-5
2,400	1,369E-5
2,500	1,369E-5
2,600	1,369E-5
2,700	1,369E-5
2,800	1,369E-5
2,900	1,369E-5
3,000	1,095E-5
3,100	1,369E-5
3,200	1,369E-5
3,300	1,369E-5
3,400	1,369E-5
3,500	1,369E-5
3,600	1,369E-5
3,700	2,737E-5
3,800	1,369E-5
3,900	1,369E-5
4,000	1,369E-5
4,100	0,000
4,200	1,369E-5
4,300	1,369E-5
4,400	1,369E-5
4,500	1,369E-5
4,600	1,369E-5
4,700	1,369E-5
4,800	1,369E-5
4,900	1,369E-5
5,000	1,369E-5
5,100	1,369E-5
5,200	1,369E-5
5,300	1,369E-5
5,400	1,369E-5
5,500	1,369E-5
5,600	1,369E-5
5,700	1,369E-5
5,800	1,369E-5
5,900	1,369E-5
6,000	1,369E-5
6,100	1,369E-5
6,200	1,369E-5
6,300	1,369E-5
6,400	1,369E-5
6,500	1,369E-5
6,600	1,369E-5
6,700	1,369E-5
6,800	1,369E-5
6,900	1,369E-5
7,000	1,369E-5
7,100	1,369E-5
7,200	1,095E-5
7,300	1,369E-5
7,400	1,369E-5
7,500	1,369E-5
7,600	1,369E-5
7,700	1,369E-5
7,800	1,369E-5
7,900	1,369E-5
8,000	1,369E-5
8,100	1,369E-5
8,200	1,642E-5
8,300	1,369E-5
8,400	1,369E-5
8,500	1,369E-5
8,600	1,369E-5
8,700	1,369E-5
8,800	1,369E-5
8,900	1,369E-5
9,000	1,369E-5
9,100	1,369E-5
9,200	1,369E-5
9,300	1,369E-5
9,400	1,369E-5
9,500	1,369E-5
9,600	1,369E-5
9,700	0,000
9,800	0,000
9,900	1,369E-5
10,000	1,369E-5
10,100	1,369E-5
10,200	0,000
10,300	1,369E-5
10,400	1,095E-5
10,500	1,369E-5
10,600	1,369E-5
10,700	1,642E-5
10,800	1,369E-5
10,900	1,369E-5
11,000	1,369E-5
11,100	1,369E-5
11,200	1,369E-5
11,300	1,369E-5
11,400	1,369E-5
11,500	1,369E-5
11,600	1,369E-5
11,700	1,369E-5
11,800	1,369E-5
11,900	1,369E-5
12,000	1,369E-5
12,100	1,369E-5
12,200	1,369E-5
12,300	1,369E-5
12,400	1,369E-5
12,500	1,369E-5
12,600	1,369E-5
12,700	1,369E-5
12,800	1,369E-5
12,900	1,369E-5
13,000	1,095E-5
13,100	1,369E-5
13,200	1,369E-5
13,300	1,369E-5
13,400	1,369E-5
13,500	1,369E-5
13,600	1,369E-5
13,700	1,369E-5
13,800	1,369E-5
13,900	1,369E-5
14,000	1,369E-5
14,100	1,369E-5
14,200	1,369E-5
14,300	1,095E-5
14,400	0,000
14,500	1,369E-5
14,600	0,000
14,700	1,369E-5
14,800	1,369E-5
14,900	1,369E-5
15,000	1,369E-5
15,100	1,369E-5
15,200	1,369E-5
15,300	1,369E-5
15,400	1,642E-5
15,500	1,369E-5
15,600	1,369E-5
15,700	1,642E-5
15,800	1,369E-5
15,900	1,369E-5
16,000	1,369E-5
16,100	1,369E-5
16,200	1,369E-5
16,300	1,369E-5
16,400	1,369E-5
16,500	1,369E-5
16,600	1,369E-5
16,700	0,000
16,800	0,000
16,900	0,000
17,000	1,369E-5
17,100	1,369E-5
17,200	1,369E-5
17,300	1,369E-5
17,400	1,369E-5
17,500	1,642E-5
17,600	1,369E-5
17,700	1,369E-5
17,800	1,369E-5
17,900	1,642E-5
18,000	1,369E-5
18,100	1,369E-5
18,200	1,369E-5
18,300	1,369E-5
18,400	1,369E-5
18,500	1,369E-5
18,600	1,369E-5
18,700	1,369E-5
18,800	1,369E-5
18,900	0,000
19,000	1,369E-5
19,100	1,369E-5
19,200	1,369E-5
19,300	1,369E-5
19,400	1,369E-5
19,500	1,369E-5
19,600	1,369E-5
19,700	1,369E-5
19,800	1,369E-5
19,900	1,369E-5
20,000	1,369E-5
20,100	0,000
20,200	0,000
20,300	1,369E-5
20,400	1,369E-5
20,500	1,369E-5
20,600	1,369E-5
20,700	1,369E-5
20,800	1,369E-5
20,900	0,000
21,000	1,369E-5
21,100	1,369E-5
21,200	1,369E-5
21,300	1,369E-5
21,400	1,369E-5
21,500	0,000
21,600	1,369E-5
21,700	2,737E-5
21,800	0,000
21,900	1,642E-5
22,000	1,369E-5
22,100	1,369E-5
22,200	1,369E-5
22,300	1,369E-5
22,400	1,369E-5
22,500	2,272
22,600	2,253
22,700	2,234
22,800	2,221
22,900	2,204
23,000	2,196
23,100	2,182
23,200	2,175
23,300	2,166
23,400	2,159
23,500	2,155
23,600	2,145
23,700	2,139
23,800	2,134
23,900	2,130
24,000	2,125
24,100	2,119
24,200	2,117
24,300	2,112
24,400	2,108
24,500	2,108
24,600	2,104
24,700	2,101
24,800	2,099
24,900	2,094
25,000	2,093
25,100	2,091
25,200	2,090
25,300	2,086
25,400	2,084
25,500	2,082
25,600	2,082
25,700	2,077
25,800	2,079
25,900	2,072
26,000	2,073
26,100	2,073
26,200	2,070
26,300	2,070
26,400	2,066
26,500	2,064
26,600	2,067
26,700	2,066
26,800	2,064
26,900	2,062
27,000	2,060
27,100	2,057
27,200	2,057
27,300	2,058
