Power Generated, Run #1
Time ( s )	Power Generated ( W )
120,700	0,046
120,800	0,049
120,900	0,050
121,000	0,052
121,100	0,053
121,200	0,053
121,300	0,052
121,400	0,051
121,500	0,050
121,600	0,049
121,700	0,048
121,800	0,047
121,900	0,047
122,000	0,046
122,100	0,046
122,200	0,045
122,300	0,045
122,400	0,044
122,500	0,044
122,600	0,043
122,700	0,043
122,800	0,043
122,900	0,042
123,000	0,042
123,100	0,042
123,200	0,042
123,300	0,041
123,400	0,041
123,500	0,041
123,600	0,040
123,700	0,040
123,800	0,040
123,900	0,040
124,000	0,040
124,100	0,039
124,200	0,039
124,300	0,039
124,400	0,039
124,500	0,039
124,600	0,038
124,700	0,038
124,800	0,038
124,900	0,038
125,000	0,038
125,100	0,037
125,200	0,037
125,300	0,037
125,400	0,037
125,500	0,037
125,600	0,037
125,700	0,036
125,800	0,036
125,900	0,036
126,000	0,036
126,100	0,036
126,200	0,036
126,300	0,036
126,400	0,035
126,500	0,035
126,600	0,035
126,700	0,035
126,800	0,035
126,900	0,035
127,000	0,034
127,100	0,034
127,200	0,034
127,300	0,034
127,400	0,034
127,500	0,034
127,600	0,034
127,700	0,033
127,800	0,033
127,900	0,033
128,000	0,033
128,100	0,033
128,200	0,033
128,300	0,032
128,400	0,032
128,500	0,032
128,600	0,032
128,700	0,032
128,800	0,032
128,900	0,032
129,000	0,031
129,100	0,031
129,200	0,031
129,300	0,031
129,400	0,031
129,500	0,031
129,600	0,031
129,700	0,031
129,800	0,030
129,900	0,030
130,000	0,030
130,100	0,030
130,200	0,030
130,300	0,030
130,400	0,030
130,500	0,029
130,600	0,029
130,700	0,029
130,800	0,029
130,900	0,029
131,000	0,029
131,100	0,029
131,200	0,029
131,300	0,029
131,400	0,028
131,500	0,028
131,600	0,028
131,700	0,028
131,800	0,028
131,900	0,028
132,000	0,028
132,100	0,028
132,200	0,028
132,300	0,027
132,400	0,027
132,500	0,027
132,600	0,027
132,700	0,027
132,800	0,027
132,900	0,027
133,000	0,027
133,100	0,027
133,200	0,026
133,300	0,026
133,400	0,026
133,500	0,026
133,600	0,026
133,700	0,026
133,800	0,026
133,900	0,026
134,000	0,026
134,100	0,025
134,200	0,025
134,300	0,025
134,400	0,025
134,500	0,025
134,600	0,025
134,700	0,025
134,800	0,025
134,900	0,025
135,000	0,024
135,100	0,024
135,200	0,024
135,300	0,024
135,400	0,024
135,500	0,024
135,600	0,024
135,700	0,024
135,800	0,024
135,900	0,023
136,000	0,023
136,100	0,023
136,200	0,023
136,300	0,023
136,400	0,023
136,500	0,023
136,600	0,023
136,700	0,023
136,800	0,023
136,900	0,022
137,000	0,022
137,100	0,022
137,200	0,022
137,300	0,022
137,400	0,022
137,500	0,022
137,600	0,022
137,700	0,022
137,800	0,022
137,900	0,022
138,000	0,022
138,100	0,021
138,200	0,021
138,300	0,021
138,400	0,021
138,500	0,021
138,600	0,021
138,700	0,021
138,800	0,021
138,900	0,021
139,000	0,021
139,100	0,021
139,200	0,021
139,300	0,020
139,400	0,020
139,500	0,020
139,600	0,020
139,700	0,020
139,800	0,020
139,900	0,020
140,000	0,020
140,100	0,020
140,200	0,020
140,300	0,020
140,400	0,020
140,500	0,019
140,600	0,019
140,700	0,019
140,800	0,019
140,900	0,019
141,000	0,019
141,100	0,019
141,200	0,019
141,300	0,019
141,400	0,019
141,500	0,019
141,600	0,018
141,700	0,018
141,800	0,018
141,900	0,018
142,000	0,018
142,100	0,018
142,200	0,018
142,300	0,018
142,400	0,018
142,500	0,018
142,600	0,018
142,700	0,018
142,800	0,018
142,900	0,018
143,000	0,018
143,100	0,017
143,200	0,017
143,300	0,017
143,400	0,017
143,500	0,017
143,600	0,017
143,700	0,017
143,800	0,017
143,900	0,017
144,000	0,017
144,100	0,017
144,200	0,017
144,300	0,017
144,400	0,016
144,500	0,016
144,600	0,016
144,700	0,016
144,800	0,016
144,900	0,016
145,000	0,016
145,100	0,016
145,200	0,016
145,300	0,016
145,400	0,016
145,500	0,016
145,600	0,016
145,700	0,016
145,800	0,015
145,900	0,015
146,000	0,015
146,100	0,015
146,200	0,015
146,300	0,015
146,400	0,015
146,500	0,015
146,600	0,015
146,700	0,015
146,800	0,015
146,900	0,015
147,000	0,015
147,100	0,015
147,200	0,015
147,300	0,015
147,400	0,014
147,500	0,014
147,600	0,014
147,700	0,014
147,800	0,014
147,900	0,014
148,000	0,014
148,100	0,014
148,200	0,014
148,300	0,014
148,400	0,014
148,500	0,014
148,600	0,014
148,700	0,014
148,800	0,014
148,900	0,014
149,000	0,014
149,100	0,013
149,200	0,013
149,300	0,013
149,400	0,013
149,500	0,013
149,600	0,013
149,700	0,013
149,800	0,013
149,900	0,013
150,000	0,013
150,100	0,013
150,200	0,013
150,300	0,013
150,400	0,013
150,500	0,013
150,600	0,013
150,700	0,013
150,800	0,013
150,900	0,013
151,000	0,012
151,100	0,012
151,200	0,012
151,300	0,012
151,400	0,012
151,500	0,012
151,600	0,012
151,700	0,012
151,800	0,012
151,900	0,012
152,000	0,012
152,100	0,012
152,200	0,012
152,300	0,012
152,400	0,012
152,500	0,012
152,600	0,012
152,700	0,012
152,800	0,012
152,900	0,011
153,000	0,011
153,100	0,011
153,200	0,011
153,300	0,011
153,400	0,011
153,500	0,011
153,600	0,011
153,700	0,011
153,800	0,011
153,900	0,011
154,000	0,011
154,100	0,011
154,200	0,011
154,300	0,011
154,400	0,011
154,500	0,011
154,600	0,011
154,700	0,011
154,800	0,011
154,900	0,011
155,000	0,010
155,100	0,010
155,200	0,010
155,300	0,010
155,400	0,010
155,500	0,010
155,600	0,010
155,700	0,010
155,800	0,010
155,900	0,010
156,000	0,010
156,100	0,010
156,200	0,010
156,300	9,987E-3
156,400	9,952E-3
156,500	9,916E-3
156,600	9,889E-3
156,700	9,854E-3
156,800	9,806E-3
156,900	9,768E-3
157,000	9,732E-3
157,100	9,697E-3
157,200	9,650E-3
157,300	9,603E-3
157,400	9,556E-3
157,500	9,509E-3
157,600	9,460E-3
157,700	9,413E-3
157,800	9,370E-3
157,900	9,327E-3
158,000	9,290E-3
158,100	9,253E-3
158,200	9,208E-3
158,300	9,162E-3
158,400	9,123E-3
158,500	9,080E-3
158,600	9,049E-3
158,700	9,021E-3
158,800	8,981E-3
158,900	8,935E-3
159,000	8,907E-3
159,100	8,887E-3
159,200	8,856E-3
159,300	8,825E-3
159,400	8,786E-3
159,500	8,741E-3
159,600	8,710E-3
159,700	8,686E-3
159,800	8,645E-3
159,900	8,595E-3
160,000	8,554E-3
160,100	8,512E-3
160,200	8,474E-3
160,300	8,441E-3
160,400	8,408E-3
160,500	8,367E-3
160,600	8,334E-3
160,700	8,310E-3
160,800	8,286E-3
160,900	8,270E-3
161,000	8,240E-3
161,100	8,200E-3
161,200	8,160E-3
161,300	8,128E-3
161,400	8,090E-3
161,500	8,047E-3
161,600	8,004E-3
161,700	7,961E-3
161,800	7,932E-3
161,900	7,911E-3
162,000	7,881E-3
162,100	7,844E-3
162,200	7,812E-3
162,300	7,778E-3
162,400	7,744E-3
162,500	7,702E-3
162,600	7,660E-3
162,700	7,621E-3
162,800	7,589E-3
162,900	7,566E-3
163,000	7,543E-3
163,100	7,528E-3
163,200	7,507E-3
163,300	7,481E-3
163,400	7,453E-3
163,500	7,420E-3
163,600	7,386E-3
163,700	7,353E-3
163,800	7,320E-3
163,900	7,279E-3
164,000	7,243E-3
164,100	7,221E-3
164,200	7,191E-3
164,300	7,166E-3
164,400	7,143E-3
164,500	7,113E-3
164,600	7,083E-3
164,700	7,053E-3
164,800	7,023E-3
164,900	6,993E-3
165,000	6,963E-3
165,100	6,923E-3
165,200	6,873E-3
165,300	6,834E-3
165,400	6,796E-3
165,500	6,767E-3
165,600	6,737E-3
165,700	6,693E-3
165,800	6,663E-3
165,900	6,642E-3
166,000	6,620E-3
166,100	6,596E-3
166,200	6,570E-3
166,300	6,546E-3
166,400	6,524E-3
166,500	6,503E-3
166,600	6,474E-3
166,700	6,445E-3
166,800	6,416E-3
166,900	6,395E-3
167,000	6,374E-3
167,100	6,340E-3
167,200	6,303E-3
167,300	6,275E-3
167,400	6,249E-3
167,500	6,223E-3
167,600	6,207E-3
167,700	6,176E-3
167,800	6,139E-3
167,900	6,120E-3
168,000	6,106E-3
168,100	6,083E-3
168,200	6,057E-3
168,300	6,034E-3
168,400	5,999E-3
168,500	5,974E-3
168,600	5,962E-3
168,700	5,942E-3
168,800	5,921E-3
168,900	5,900E-3
169,000	5,873E-3
169,100	5,850E-3
169,200	5,839E-3
169,300	5,816E-3
169,400	5,789E-3
169,500	5,762E-3
169,600	5,730E-3
169,700	5,708E-3
169,800	5,687E-3
169,900	5,654E-3
170,000	5,618E-3
170,100	5,593E-3
170,200	5,566E-3
170,300	5,542E-3
170,400	5,522E-3
170,500	5,499E-3
170,600	5,475E-3
170,700	5,458E-3
170,800	5,449E-3
170,900	5,433E-3
171,000	5,414E-3
171,100	5,392E-3
171,200	5,370E-3
171,300	5,348E-3
171,400	5,332E-3
171,500	5,319E-3
171,600	5,295E-3
171,700	5,276E-3
171,800	5,254E-3
171,900	5,229E-3
172,000	5,201E-3
172,100	5,175E-3
172,200	5,151E-3
172,300	5,126E-3
172,400	5,104E-3
172,500	5,083E-3
172,600	5,068E-3
172,700	5,051E-3
172,800	5,028E-3
172,900	5,002E-3
173,000	4,973E-3
173,100	4,944E-3
173,200	4,912E-3
173,300	4,881E-3
173,400	4,850E-3
173,500	4,825E-3
173,600	4,806E-3
173,700	4,788E-3
173,800	4,767E-3
173,900	4,743E-3
174,000	4,720E-3
174,100	4,697E-3
174,200	4,677E-3
174,300	4,659E-3
174,400	4,642E-3
174,500	4,628E-3
174,600	4,620E-3
174,700	4,618E-3
174,800	4,616E-3
174,900	4,618E-3
175,000	4,618E-3
175,100	4,616E-3
175,200	4,606E-3
175,300	4,587E-3
175,400	4,567E-3
175,500	4,545E-3
175,600	4,521E-3
175,700	4,491E-3
175,800	4,461E-3
175,900	4,427E-3
176,000	4,393E-3
176,100	4,374E-3
176,200	4,354E-3
176,300	4,328E-3
176,400	4,305E-3
176,500	4,291E-3
176,600	4,279E-3
176,700	4,266E-3
176,800	4,260E-3
176,900	4,246E-3
177,000	4,235E-3
177,100	4,225E-3
177,200	4,211E-3
177,300	4,192E-3
177,400	4,171E-3
177,500	4,161E-3
177,600	4,150E-3
177,700	4,134E-3
177,800	4,111E-3
177,900	4,092E-3
178,000	4,077E-3
178,100	4,060E-3
178,200	4,039E-3
178,300	4,013E-3
178,400	3,988E-3
178,500	3,962E-3
178,600	3,941E-3
178,700	3,922E-3
178,800	3,902E-3
178,900	3,883E-3
179,000	3,868E-3
179,100	3,850E-3
179,200	3,829E-3
179,300	3,820E-3
179,400	3,813E-3
179,500	3,803E-3
179,600	3,796E-3
179,700	3,781E-3
179,800	3,763E-3
179,900	3,749E-3
180,000	3,736E-3
180,100	3,718E-3
180,200	3,698E-3
180,300	3,679E-3
180,400	3,659E-3
180,500	3,647E-3
180,600	3,634E-3
180,700	3,623E-3
180,800	3,611E-3
180,900	3,600E-3
181,000	3,591E-3
181,100	3,575E-3
181,200	3,561E-3
181,300	3,545E-3
181,400	3,525E-3
181,500	3,504E-3
181,600	3,488E-3
181,700	3,465E-3
181,800	3,441E-3
181,900	3,422E-3
182,000	3,401E-3
182,100	3,385E-3
182,200	3,378E-3
182,300	3,367E-3
182,400	3,348E-3
182,500	3,335E-3
182,600	3,323E-3
182,700	3,312E-3
182,800	3,304E-3
182,900	3,292E-3
183,000	3,280E-3
183,100	3,273E-3
183,200	3,270E-3
183,300	3,263E-3
183,400	3,254E-3
183,500	3,249E-3
183,600	3,237E-3
183,700	3,224E-3
183,800	3,208E-3
183,900	3,187E-3
184,000	3,166E-3
