Qcold  Pump, Run #1
Time ( s )	Energy ( J )
0,350	0,037
0,450	0,037
0,550	0,037
0,650	0,037
0,750	0,037
0,850	0,037
0,950	0,037
1,050	0,037
1,150	0,037
1,250	0,037
1,350	0,037
1,450	0,037
1,550	0,037
1,650	0,037
1,750	0,037
1,850	0,037
1,950	0,037
2,050	0,037
2,150	0,037
2,250	0,037
2,350	0,038
2,450	0,039
2,550	0,039
2,650	0,039
2,750	0,039
2,850	0,046
2,950	0,059
3,050	0,065
3,150	0,065
3,250	0,065
3,350	0,065
3,450	0,065
3,550	0,065
3,650	0,072
3,750	0,078
3,850	0,078
3,950	0,078
4,050	0,078
4,150	0,078
4,250	0,081
4,350	0,085
4,450	0,086
4,550	0,086
4,650	0,086
4,750	0,086
4,850	0,095
4,950	0,104
5,050	0,104
5,150	0,104
5,250	0,104
5,350	0,117
5,450	0,130
5,550	0,130
5,650	0,130
5,750	0,130
5,850	0,130
5,950	0,130
6,050	0,130
6,150	0,130
6,250	0,130
6,350	0,130
6,450	0,130
6,550	0,130
6,650	0,130
6,750	0,130
6,850	0,140
6,950	0,149
7,050	0,149
7,150	0,149
7,250	0,178
7,350	0,207
7,450	0,207
7,550	0,207
7,650	0,207
7,750	0,207
7,850	0,207
7,950	0,207
8,050	0,207
8,150	0,207
8,250	0,207
8,350	0,207
8,450	0,207
8,550	0,207
8,650	0,207
8,750	0,207
8,850	0,207
8,950	0,207
9,050	0,207
9,150	0,207
9,250	0,207
9,350	0,207
9,450	0,207
9,550	0,207
9,650	0,207
9,750	0,207
9,850	0,207
9,950	0,229
10,050	0,251
10,150	0,251
10,250	0,251
10,350	0,251
10,450	0,251
10,550	0,251
10,650	0,251
10,750	0,251
10,850	0,251
10,950	0,251
11,050	0,251
11,150	0,251
11,250	0,251
11,350	0,251
11,450	0,251
11,550	0,251
11,650	0,251
11,750	0,251
11,850	0,251
11,950	0,251
12,050	0,251
12,150	0,251
12,250	0,251
12,350	0,251
12,450	0,251
12,550	0,251
12,650	0,251
12,750	0,251
12,850	0,251
12,950	0,251
13,050	0,251
13,150	0,251
13,250	0,251
13,350	0,251
13,450	0,251
13,550	0,258
13,650	0,264
13,750	0,264
13,850	0,264
13,950	0,264
14,050	0,264
14,150	0,264
14,250	0,264
14,350	0,264
14,450	0,264
14,550	0,264
14,650	0,284
14,750	0,303
14,850	0,303
14,950	0,303
15,050	0,303
15,150	0,303
15,250	0,303
15,350	0,303
15,450	0,303
15,550	0,303
15,650	0,303
15,750	0,303
15,850	0,303
15,950	0,303
16,050	0,303
16,150	0,303
16,250	0,303
16,350	0,303
16,450	0,303
16,550	0,303
16,650	0,303
16,750	0,303
16,850	0,303
16,950	0,303
17,050	0,303
17,150	0,303
17,250	0,303
17,350	0,303
17,450	0,303
17,550	0,303
17,650	0,303
17,750	0,303
17,850	0,303
17,950	0,303
18,050	0,308
18,150	0,314
18,250	0,314
18,350	0,314
18,450	0,315
18,550	0,316
18,650	0,323
18,750	0,329
18,850	0,329
18,950	0,329
19,050	0,329
19,150	0,329
19,250	0,333
19,350	0,337
19,450	0,337
19,550	0,337
19,650	0,337
19,750	0,342
19,850	0,348
19,950	0,348
20,050	0,348
20,150	0,348
20,250	0,350
20,350	0,353
20,450	0,353
20,550	0,353
20,650	0,353
20,750	0,353
20,850	0,353
20,950	0,353
