Qhot, Run #1
Time ( s )	Energy ( J )
0,000	0,000
0,100	0,000
0,200	5,219E-3
0,300	0,000
0,400	0,000
0,500	0,037
0,600	0,068
0,700	0,045
0,800	0,037
0,900	0,037
1,000	0,053
1,100	0,084
1,200	0,061
1,300	0,026
1,400	0,037
1,500	0,055
1,600	0,042
1,700	0,100
1,800	0,021
1,900	0,089
2,000	0,061
2,100	0,076
2,200	0,037
2,300	0,068
2,400	0,103
2,500	0,145
2,600	0,055
2,700	0,113
2,800	0,042
2,900	0,094
3,000	0,089
3,100	0,058
3,200	0,105
3,300	0,121
3,400	0,084
3,500	0,113
3,600	0,110
3,700	0,071
3,800	0,097
3,900	0,076
4,000	0,097
4,100	0,100
4,200	0,079
4,300	0,142
4,400	0,105
4,500	0,089
4,600	0,087
4,700	0,145
4,800	0,136
4,900	0,129
5,000	0,094
5,100	0,108
5,200	0,084
5,300	0,150
5,400	0,147
5,500	0,147
5,600	0,158
5,700	0,131
5,800	0,139
5,900	0,126
6,000	0,129
6,100	0,150
6,200	0,131
6,300	0,160
6,400	0,145
6,500	0,158
6,600	0,155
6,700	0,155
6,800	0,176
6,900	0,158
7,000	0,176
7,100	0,131
7,200	0,192
7,300	0,178
7,400	0,189
7,500	0,181
7,600	0,158
7,700	0,165
7,800	0,210
7,900	0,160
8,000	0,216
8,100	0,197
8,200	0,216
8,300	0,155
8,400	0,192
8,500	0,192
8,600	0,205
8,700	0,213
8,800	0,184
8,900	0,226
9,000	0,205
9,100	0,242
9,200	0,244
9,300	0,229
9,400	0,223
9,500	0,229
9,600	0,229
9,700	0,268
9,800	0,260
9,900	0,208
10,000	0,279
10,100	0,239
10,200	0,244
10,300	0,263
10,400	0,271
10,500	0,263
10,600	0,279
10,700	0,281
10,800	0,266
10,900	0,273
11,000	0,289
11,100	0,313
11,200	0,268
11,300	0,289
11,400	0,255
11,500	0,302
11,600	0,320
11,700	0,302
11,800	0,323
11,900	0,320
12,000	0,344
12,100	0,333
12,200	0,328
12,300	0,323
12,400	0,331
12,500	0,379
12,600	0,355
12,700	0,341
12,800	0,326
12,900	0,320
13,000	0,357
13,100	0,367
13,200	0,333
13,300	0,350
13,400	0,360
13,500	0,373
13,600	0,339
13,700	0,336
13,800	0,355
13,900	0,408
14,000	0,395
14,100	0,339
14,200	0,350
14,300	0,355
14,400	0,395
14,500	0,352
14,600	0,387
14,700	0,352
14,800	0,392
14,900	0,421
15,000	0,379
15,100	0,387
15,200	0,405
15,300	0,392
15,400	0,392
15,500	0,460
15,600	0,431
15,700	0,408
15,800	0,400
15,900	0,397
16,000	0,444
16,100	0,379
16,200	0,410
16,300	0,423
16,400	0,426
16,500	0,441
16,600	0,415
16,700	0,421
16,800	0,426
16,900	0,410
17,000	0,465
17,100	0,460
17,200	0,465
17,300	0,428
17,400	0,460
17,500	0,465
17,600	0,439
17,700	0,431
17,800	0,395
17,900	0,505
18,000	0,465
18,100	0,460
18,200	0,460
18,300	0,473
18,400	0,484
18,500	0,479
18,600	0,465
18,700	0,473
18,800	0,531
18,900	0,491
19,000	0,526
19,100	0,434
19,200	0,507
19,300	0,497
19,400	0,481
19,500	0,497
19,600	0,505
19,700	0,515
19,800	0,550
19,900	0,505
20,000	0,507
20,100	0,499
20,200	0,497
20,300	0,515
20,400	0,486
20,500	0,560
20,600	0,510
20,700	0,468
20,800	0,528
20,900	0,510
21,000	0,505
21,100	0,502
21,200	0,550
21,300	0,570
21,400	0,555
21,500	0,510
21,600	0,497
21,700	0,550
21,800	0,497
21,900	0,555
22,000	0,547
22,100	0,539
22,200	0,531
22,300	0,550
22,400	0,547
22,500	0,578
22,600	0,526
22,700	0,550
22,800	0,520
22,900	0,552
23,000	0,479
23,100	0,410
23,200	0,357
23,300	0,271
23,400	0,045
23,500	0,000
23,600	0,000
23,700	0,000
23,800	0,000
23,900	0,000
24,000	0,000
24,100	0,000
24,200	0,000
24,300	0,000
24,400	0,000
24,500	0,000
24,600	0,000
24,700	0,000
24,800	0,000
24,900	0,000
25,000	0,000
25,100	0,000
25,200	0,000
25,300	0,000
25,400	0,000
25,500	0,000
25,600	0,000
25,700	0,000
25,800	0,000
25,900	0,000
26,000	0,000
26,100	0,000
26,200	0,000
26,300	0,000
26,400	0,000
26,500	0,000
26,600	0,000
26,700	0,000
26,800	0,000
26,900	0,000
27,000	0,000
27,100	0,000
27,200	0,000
27,300	0,000
27,400	0,000
27,500	0,000
27,600	0,000
27,700	0,000
27,800	0,000
27,900	0,000
28,000	0,000
28,100	0,000
28,200	0,000
28,300	0,000
28,400	0,000
28,500	0,000
28,600	0,000
28,700	0,000
28,800	0,000
28,900	0,000
29,000	0,000
29,100	0,000
29,200	0,000
29,300	0,000
29,400	0,000
29,500	0,000
29,600	0,000
29,700	0,000
29,800	0,000
29,900	0,000
30,000	0,000
30,100	0,000
30,200	0,000
30,300	0,000
30,400	0,000
30,500	0,000
30,600	0,000
30,700	0,000
30,800	0,000
30,900	0,000
31,000	0,000
31,100	0,000
31,200	0,000
31,300	0,000
31,400	0,000
31,500	0,000
31,600	0,000
31,700	0,000
31,800	0,000
31,900	0,000
32,000	0,000
32,100	0,000
32,200	0,000
32,300	0,000
32,400	0,000
32,500	0,000
32,600	0,000
32,700	0,000
32,800	0,000
32,900	0,000
33,000	0,000
33,100	0,000
33,200	0,000
33,300	0,000
33,400	0,000
33,500	0,000
33,600	0,000
33,700	0,000
33,800	0,000
33,900	0,000
34,000	0,000
34,100	0,000
34,200	0,000
34,300	0,000
34,400	0,000
34,500	0,000
34,600	0,000
34,700	0,000
34,800	0,000
34,900	0,000
35,000	0,000
35,100	0,000
35,200	0,000
35,300	0,000
35,400	0,000
35,500	0,000
