Qhot Pump, Run #1
Time ( s )	Energy ( J )
0,000	0,000
0,100	0,029
0,200	0,029
0,300	0,071
0,400	0,074
0,500	0,074
0,600	0,074
0,700	0,074
0,800	0,074
0,900	0,074
1,000	0,074
1,100	0,084
1,200	0,084
1,300	0,084
1,400	0,084
1,500	0,084
1,600	0,084
1,700	0,100
1,800	0,100
1,900	0,100
2,000	0,100
2,100	0,100
2,200	0,100
2,300	0,100
2,400	0,103
2,500	0,145
2,600	0,145
2,700	0,145
2,800	0,145
2,900	0,145
3,000	0,145
3,100	0,145
3,200	0,145
3,300	0,145
3,400	0,145
3,500	0,145
3,600	0,145
3,700	0,145
3,800	0,145
3,900	0,145
4,000	0,145
4,100	0,145
4,200	0,145
4,300	0,145
4,400	0,145
4,500	0,145
4,600	0,145
4,700	0,145
4,800	0,145
4,900	0,145
5,000	0,145
5,100	0,145
5,200	0,145
5,300	0,150
5,400	0,150
5,500	0,150
5,600	0,158
5,700	0,158
5,800	0,158
5,900	0,158
6,000	0,158
6,100	0,158
6,200	0,158
6,300	0,160
6,400	0,160
6,500	0,160
6,600	0,160
6,700	0,160
6,800	0,176
6,900	0,176
7,000	0,176
7,100	0,176
7,200	0,192
7,300	0,192
7,400	0,192
7,500	0,192
7,600	0,192
7,700	0,192
7,800	0,210
7,900	0,210
8,000	0,216
8,100	0,216
8,200	0,216
8,300	0,216
8,400	0,216
8,500	0,216
8,600	0,216
8,700	0,216
8,800	0,216
8,900	0,226
9,000	0,226
9,100	0,242
9,200	0,244
9,300	0,244
9,400	0,244
9,500	0,244
9,600	0,244
9,700	0,268
9,800	0,268
9,900	0,268
10,000	0,279
10,100	0,279
10,200	0,279
10,300	0,279
10,400	0,279
10,500	0,279
10,600	0,279
10,700	0,281
10,800	0,281
10,900	0,281
11,000	0,289
11,100	0,313
11,200	0,313
11,300	0,313
11,400	0,313
11,500	0,313
11,600	0,320
11,700	0,320
11,800	0,323
11,900	0,323
12,000	0,344
12,100	0,344
12,200	0,344
12,300	0,344
12,400	0,344
12,500	0,379
12,600	0,379
12,700	0,379
12,800	0,379
12,900	0,379
13,000	0,379
13,100	0,379
13,200	0,379
13,300	0,379
13,400	0,379
13,500	0,379
13,600	0,379
13,700	0,379
13,800	0,379
13,900	0,408
14,000	0,408
14,100	0,408
14,200	0,408
14,300	0,408
14,400	0,408
14,500	0,408
14,600	0,408
14,700	0,408
14,800	0,408
14,900	0,421
15,000	0,421
15,100	0,421
15,200	0,421
15,300	0,421
15,400	0,421
15,500	0,460
15,600	0,460
15,700	0,460
15,800	0,460
15,900	0,460
16,000	0,460
16,100	0,460
16,200	0,460
16,300	0,460
16,400	0,460
16,500	0,460
16,600	0,460
16,700	0,460
16,800	0,460
16,900	0,460
17,000	0,465
17,100	0,465
17,200	0,465
17,300	0,465
17,400	0,465
17,500	0,465
17,600	0,465
17,700	0,465
17,800	0,465
17,900	0,505
18,000	0,505
18,100	0,505
18,200	0,505
18,300	0,505
18,400	0,505
18,500	0,505
18,600	0,505
18,700	0,505
18,800	0,531
18,900	0,531
19,000	0,531
19,100	0,531
19,200	0,531
19,300	0,531
19,400	0,531
19,500	0,531
19,600	0,531
19,700	0,531
19,800	0,550
19,900	0,550
20,000	0,550
20,100	0,550
20,200	0,550
20,300	0,550
20,400	0,550
20,500	0,560
20,600	0,560
20,700	0,560
20,800	0,560
20,900	0,560
21,000	0,560
21,100	0,560
21,200	0,560
21,300	0,570
21,400	0,570
21,500	0,570
21,600	0,570
21,700	0,570
21,800	0,570
21,900	0,570
