Tc Initial, Run #1
Time ( s )	Y (  )
0,350	23,247
0,450	23,247
0,550	23,247
0,650	23,247
0,750	23,247
0,850	23,247
0,950	23,247
1,050	23,247
1,150	23,247
1,250	23,247
1,350	23,247
1,450	23,247
1,550	23,247
1,650	23,247
1,750	23,247
1,850	23,247
1,950	23,247
2,050	23,247
2,150	23,247
2,250	23,247
2,350	23,247
2,450	23,247
2,550	23,247
2,650	23,247
2,750	23,247
2,850	23,247
2,950	23,247
3,050	23,247
3,150	23,247
3,250	23,247
3,350	23,247
3,450	23,247
3,550	23,247
3,650	23,247
3,750	23,247
3,850	23,247
3,950	23,247
4,050	23,247
4,150	23,247
4,250	23,247
4,350	23,247
4,450	23,247
4,550	23,247
4,650	23,247
4,750	23,247
4,850	23,247
4,950	23,247
5,050	23,247
5,150	23,247
5,250	23,247
5,350	23,247
5,450	23,247
5,550	23,247
5,650	23,247
5,750	23,247
5,850	23,247
5,950	23,247
6,050	23,247
6,150	23,247
6,250	23,247
6,350	23,247
6,450	23,247
6,550	23,247
6,650	23,247
6,750	23,247
6,850	23,247
6,950	23,247
7,050	23,247
7,150	23,247
7,250	23,247
7,350	23,247
7,450	23,247
7,550	23,247
7,650	23,247
7,750	23,247
7,850	23,247
7,950	23,247
8,050	23,247
8,150	23,247
8,250	23,247
8,350	23,247
8,450	23,247
8,550	23,247
8,650	23,247
8,750	23,247
8,850	23,247
8,950	23,247
9,050	23,247
9,150	23,247
9,250	23,247
9,350	23,247
9,450	23,247
9,550	23,247
9,650	23,247
9,750	23,247
9,850	23,247
9,950	23,247
10,050	23,247
10,150	23,247
10,250	23,247
10,350	23,247
10,450	23,247
10,550	23,247
10,650	23,247
10,750	23,247
10,850	23,247
10,950	23,247
11,050	23,247
11,150	23,247
11,250	23,247
11,350	23,247
11,450	23,247
11,550	23,247
11,650	23,247
11,750	23,247
11,850	23,247
11,950	23,247
12,050	23,247
12,150	23,247
12,250	23,247
12,350	23,247
12,450	23,247
12,550	23,247
12,650	23,247
12,750	23,247
12,850	23,247
12,950	23,247
13,050	23,247
13,150	23,247
13,250	23,247
13,350	23,247
13,450	23,247
13,550	23,247
13,650	23,247
13,750	23,247
13,850	23,247
13,950	23,247
14,050	23,247
14,150	23,247
14,250	23,247
14,350	23,247
14,450	23,247
14,550	23,247
14,650	23,247
14,750	23,247
14,850	23,247
14,950	23,247
15,050	23,247
15,150	23,247
15,250	23,247
15,350	23,247
15,450	23,247
15,550	23,247
15,650	23,247
15,750	23,247
15,850	23,247
15,950	23,247
16,050	23,247
16,150	23,247
16,250	23,247
16,350	23,247
16,450	23,247
16,550	23,247
16,650	23,247
16,750	23,247
16,850	23,247
16,950	23,247
17,050	23,247
17,150	23,247
17,250	23,247
17,350	23,247
17,450	23,247
17,550	23,247
17,650	23,247
17,750	23,247
17,850	23,247
17,950	23,247
18,050	23,247
18,150	23,247
18,250	23,247
18,350	23,247
18,450	23,247
18,550	23,247
18,650	23,247
18,750	23,247
18,850	23,247
18,950	23,247
19,050	23,247
19,150	23,247
19,250	23,247
19,350	23,247
19,450	23,247
19,550	23,247
19,650	23,247
19,750	23,247
19,850	23,247
19,950	23,247
20,050	23,247
20,150	23,247
20,250	23,247
20,350	23,247
20,450	23,247
20,550	23,247
20,650	23,247
20,750	23,247
20,850	23,247
20,950	23,247
21,050	23,247
21,150	23,247
21,250	23,247
21,350	23,247
21,450	23,247
21,550	23,247
21,650	23,247
21,750	23,247
21,850	23,247
21,950	23,247
22,050	23,247
22,150	23,247
22,250	23,247
22,350	23,247
22,450	23,247
22,550	23,247
22,650	23,247
22,750	23,247
22,850	23,247
22,950	23,247
23,050	23,247
23,150	23,247
23,250	23,247
23,350	23,247
23,450	23,247
23,550	23,247
23,650	23,247
23,750	23,247
23,850	23,247
23,950	23,247
24,050	23,247
24,150	23,247
24,250	23,247
24,350	23,247
24,450	23,247
24,550	23,247
24,650	23,247
24,750	23,247
24,850	23,247
24,950	23,247
25,050	23,247
25,150	23,247
25,250	23,247
25,350	23,247
25,450	23,247
25,550	23,247
25,650	23,247
