Temperature 1 (cold), Run #1
Time ( s )	Temperature  ( °C )
0,000	23,247
0,100	23,250
0,200	23,246
0,300	23,245
0,400	23,249
0,500	23,246
0,600	23,248
0,700	23,247
0,800	23,247
0,900	23,246
1,000	23,248
1,100	23,249
1,200	23,245
1,300	23,247
1,400	23,247
1,500	23,248
1,600	23,247
1,700	23,249
1,800	23,246
1,900	23,246
2,000	23,245
2,100	23,246
2,200	23,245
2,300	23,250
2,400	23,245
2,500	23,246
2,600	23,246
2,700	23,245
2,800	23,247
2,900	23,244
3,000	23,243
3,100	23,245
3,200	23,244
3,300	23,245
3,400	23,245
3,500	23,245
3,600	23,246
3,700	23,243
3,800	23,243
3,900	23,244
4,000	23,244
4,100	23,243
4,200	23,245
4,300	23,242
4,400	23,242
4,500	23,244
4,600	23,243
4,700	23,243
4,800	23,243
4,900	23,241
5,000	23,242
5,100	23,241
5,200	23,242
5,300	23,245
5,400	23,240
5,500	23,242
5,600	23,240
5,700	23,242
5,800	23,241
5,900	23,240
6,000	23,241
6,100	23,240
6,200	23,240
6,300	23,241
6,400	23,241
6,500	23,242
6,600	23,241
6,700	23,241
6,800	23,241
6,900	23,239
7,000	23,240
7,100	23,240
7,200	23,239
7,300	23,235
7,400	23,242
7,500	23,238
7,600	23,238
7,700	23,239
7,800	23,241
7,900	23,237
8,000	23,239
8,100	23,238
8,200	23,240
8,300	23,239
8,400	23,239
8,500	23,235
8,600	23,239
8,700	23,240
8,800	23,239
8,900	23,237
9,000	23,236
9,100	23,238
9,200	23,237
9,300	23,238
9,400	23,237
9,500	23,237
9,600	23,237
9,700	23,239
9,800	23,237
9,900	23,235
10,000	23,233
10,100	23,237
10,200	23,236
10,300	23,239
10,400	23,236
10,500	23,234
10,600	23,235
10,700	23,237
10,800	23,234
10,900	23,237
11,000	23,235
11,100	23,235
11,200	23,235
11,300	23,234
11,400	23,235
11,500	23,236
11,600	23,235
11,700	23,235
11,800	23,235
11,900	23,235
12,000	23,235
12,100	23,235
12,200	23,235
12,300	23,234
12,400	23,234
12,500	23,235
12,600	23,235
12,700	23,233
12,800	23,235
12,900	23,233
13,000	23,236
13,100	23,234
13,200	23,235
13,300	23,236
13,400	23,234
13,500	23,233
13,600	23,232
13,700	23,233
13,800	23,235
13,900	23,235
14,000	23,234
14,100	23,233
14,200	23,232
14,300	23,235
14,400	23,234
14,500	23,234
14,600	23,233
14,700	23,230
14,800	23,234
14,900	23,231
15,000	23,235
15,100	23,233
15,200	23,234
15,300	23,233
15,400	23,233
15,500	23,234
15,600	23,233
15,700	23,232
15,800	23,233
15,900	23,233
16,000	23,232
16,100	23,232
16,200	23,231
16,300	23,231
16,400	23,230
16,500	23,231
16,600	23,230
16,700	23,233
16,800	23,230
16,900	23,230
17,000	23,232
17,100	23,230
17,200	23,231
17,300	23,232
17,400	23,232
17,500	23,231
17,600	23,230
17,700	23,230
17,800	23,232
17,900	23,231
18,000	23,231
18,100	23,229
18,200	23,232
18,300	23,230
18,400	23,232
18,500	23,229
18,600	23,229
18,700	23,228
18,800	23,231
18,900	23,231
19,000	23,230
19,100	23,229
19,200	23,230
19,300	23,228
19,400	23,232
19,500	23,229
19,600	23,228
19,700	23,229
19,800	23,227
19,900	23,230
20,000	23,231
20,100	23,230
20,200	23,230
20,300	23,227
20,400	23,230
20,500	23,228
20,600	23,228
20,700	23,229
20,800	23,229
20,900	23,227
21,000	23,230
21,100	23,230
21,200	23,229
21,300	23,228
21,400	23,228
21,500	23,229
21,600	23,229
21,700	23,229
21,800	23,228
21,900	23,229
22,000	23,229
22,100	23,228
22,200	23,227
22,300	23,229
22,400	23,228
22,500	23,227
22,600	23,227
22,700	23,229
22,800	23,226
22,900	23,226
23,000	23,223
23,100	23,219
23,200	23,215
23,300	23,207
23,400	23,197
23,500	23,185
23,600	23,173
23,700	23,160
23,800	23,144
23,900	23,128
24,000	23,112
24,100	23,094
24,200	23,072
24,300	23,053
24,400	23,030
24,500	23,012
24,600	22,986
24,700	22,963
24,800	22,940
24,900	22,914
25,000	22,888
25,100	22,862
25,200	22,834
25,300	22,809
25,400	22,783
25,500	22,757
25,600	22,731
25,700	22,703
25,800	22,678
25,900	22,649
26,000	22,623
26,100	22,593
26,200	22,564
26,300	22,536
26,400	22,508
26,500	22,482
