Temperature 2 (hot), Run #1
Time ( s )	Temperature  ( °C )
0,000	22,611
0,100	22,612
0,200	22,612
0,300	22,615
0,400	22,615
0,500	22,613
0,600	22,611
0,700	22,612
0,800	22,613
0,900	22,613
1,000	22,612
1,100	22,610
1,200	22,611
1,300	22,613
1,400	22,613
1,500	22,612
1,600	22,612
1,700	22,609
1,800	22,614
1,900	22,610
2,000	22,611
2,100	22,610
2,200	22,613
2,300	22,611
2,400	22,609
2,500	22,606
2,600	22,612
2,700	22,608
2,800	22,612
2,900	22,609
3,000	22,610
3,100	22,611
3,200	22,609
3,300	22,608
3,400	22,610
3,500	22,608
3,600	22,608
3,700	22,611
3,800	22,609
3,900	22,610
4,000	22,609
4,100	22,609
4,200	22,610
4,300	22,607
4,400	22,609
4,500	22,610
4,600	22,610
4,700	22,606
4,800	22,607
4,900	22,607
5,000	22,609
5,100	22,609
5,200	22,610
5,300	22,606
5,400	22,606
5,500	22,606
5,600	22,606
5,700	22,607
5,800	22,607
5,900	22,608
6,000	22,607
6,100	22,606
6,200	22,607
6,300	22,605
6,400	22,606
6,500	22,606
6,600	22,606
6,700	22,606
6,800	22,605
6,900	22,606
7,000	22,605
7,100	22,607
7,200	22,604
7,300	22,604
7,400	22,604
7,500	22,604
7,600	22,606
7,700	22,605
7,800	22,603
7,900	22,605
8,000	22,602
8,100	22,603
8,200	22,602
8,300	22,606
8,400	22,604
8,500	22,604
8,600	22,603
8,700	22,602
8,800	22,604
8,900	22,602
9,000	22,603
9,100	22,601
9,200	22,601
9,300	22,602
9,400	22,602
9,500	22,602
9,600	22,602
9,700	22,599
9,800	22,600
9,900	22,603
10,000	22,599
10,100	22,601
10,200	22,601
10,300	22,599
10,400	22,599
10,500	22,599
10,600	22,599
10,700	22,598
10,800	22,599
10,900	22,599
11,000	22,598
11,100	22,597
11,200	22,599
11,300	22,598
11,400	22,600
11,500	22,597
11,600	22,596
11,700	22,597
11,800	22,596
11,900	22,596
12,000	22,595
12,100	22,595
12,200	22,596
12,300	22,596
12,400	22,596
12,500	22,593
12,600	22,594
12,700	22,595
12,800	22,596
12,900	22,596
13,000	22,594
13,100	22,593
13,200	22,595
13,300	22,594
13,400	22,594
13,500	22,593
13,600	22,595
13,700	22,595
13,800	22,594
13,900	22,591
14,000	22,592
14,100	22,595
14,200	22,594
14,300	22,594
14,400	22,592
14,500	22,594
14,600	22,592
14,700	22,594
14,800	22,592
14,900	22,590
15,000	22,593
15,100	22,592
15,200	22,591
15,300	22,592
15,400	22,592
15,500	22,588
15,600	22,590
15,700	22,591
15,800	22,591
15,900	22,592
16,000	22,589
16,100	22,593
16,200	22,591
16,300	22,590
16,400	22,590
16,500	22,589
16,600	22,591
16,700	22,590
16,800	22,590
16,900	22,591
17,000	22,588
17,100	22,588
17,200	22,588
17,300	22,590
17,400	22,588
17,500	22,588
17,600	22,589
17,700	22,590
17,800	22,592
17,900	22,585
18,000	22,588
18,100	22,588
18,200	22,588
18,300	22,587
18,400	22,587
18,500	22,587
18,600	22,588
18,700	22,587
18,800	22,584
18,900	22,586
19,000	22,584
19,100	22,590
19,200	22,585
19,300	22,586
19,400	22,587
19,500	22,586
19,600	22,585
19,700	22,585
19,800	22,583
19,900	22,585
20,000	22,585
20,100	22,586
