Current, Run #1
Time ( s )	Current ( A )
0,000	5,308E-4
0,100	5,308E-4
0,200	5,308E-4
0,300	0,000
0,400	5,308E-4
0,500	0,000
0,600	5,308E-4
0,700	5,308E-4
0,800	5,308E-4
0,900	5,308E-4
1,000	5,308E-4
1,100	5,308E-4
1,200	5,308E-4
1,300	5,308E-4
1,400	5,308E-4
1,500	5,308E-4
1,600	5,308E-4
1,700	5,308E-4
1,800	5,308E-4
1,900	5,308E-4
2,000	5,308E-4
2,100	5,308E-4
2,200	5,308E-4
2,300	5,308E-4
2,400	5,308E-4
2,500	5,308E-4
2,600	5,308E-4
2,700	5,308E-4
2,800	1,062E-3
2,900	5,308E-4
3,000	5,308E-4
3,100	5,308E-4
3,200	5,308E-4
3,300	5,308E-4
3,400	5,308E-4
3,500	5,308E-4
3,600	5,308E-4
3,700	5,308E-4
3,800	5,308E-4
3,900	5,308E-4
4,000	5,308E-4
4,100	5,308E-4
4,200	5,308E-4
4,300	5,308E-4
4,400	5,308E-4
4,500	5,308E-4
4,600	5,308E-4
4,700	5,308E-4
4,800	5,308E-4
4,900	5,308E-4
5,000	5,308E-4
5,100	5,308E-4
5,200	5,308E-4
5,300	5,308E-4
5,400	5,308E-4
5,500	5,308E-4
5,600	5,308E-4
5,700	5,308E-4
5,800	5,308E-4
5,900	5,308E-4
6,000	5,308E-4
6,100	5,308E-4
6,200	1,062E-3
6,300	1,062E-3
6,400	5,308E-4
6,500	5,308E-4
6,600	5,308E-4
6,700	5,308E-4
6,800	1,062E-3
6,900	5,308E-4
7,000	5,308E-4
7,100	5,308E-4
7,200	5,308E-4
7,300	1,062E-3
7,400	5,308E-4
7,500	1,062E-3
7,600	5,308E-4
7,700	5,308E-4
7,800	5,308E-4
7,900	5,308E-4
8,000	1,062E-3
8,100	1,062E-3
8,200	5,308E-4
8,300	5,308E-4
8,400	1,062E-3
8,500	1,062E-3
8,600	5,308E-4
8,700	5,308E-4
8,800	1,062E-3
8,900	5,308E-4
9,000	5,308E-4
9,100	5,308E-4
9,200	5,308E-4
9,300	5,308E-4
9,400	5,308E-4
9,500	5,308E-4
9,600	5,308E-4
9,700	5,308E-4
9,800	5,308E-4
9,900	5,308E-4
10,000	5,308E-4
10,100	5,308E-4
10,200	5,308E-4
10,300	1,062E-3
10,400	5,308E-4
10,500	5,308E-4
10,600	5,308E-4
10,700	5,308E-4
10,800	5,308E-4
10,900	5,308E-4
11,000	5,308E-4
11,100	5,308E-4
11,200	5,308E-4
11,300	5,308E-4
11,400	1,062E-3
11,500	5,308E-4
11,600	5,308E-4
11,700	5,308E-4
11,800	5,308E-4
11,900	5,308E-4
12,000	5,308E-4
12,100	5,308E-4
12,200	1,062E-3
12,300	5,308E-4
12,400	5,308E-4
12,500	5,308E-4
12,600	5,308E-4
12,700	5,308E-4
12,800	5,308E-4
12,900	5,308E-4
13,000	5,308E-4
13,100	5,308E-4
13,200	5,308E-4
13,300	0,691
13,400	0,683
13,500	0,677
13,600	0,671
13,700	0,667
13,800	0,662
13,900	0,659
14,000	0,655
14,100	0,652
14,200	0,649
14,300	0,647
14,400	0,644
14,500	0,642
14,600	0,640
14,700	0,638
14,800	0,636
14,900	0,635
15,000	0,634
15,100	0,632
15,200	0,631
15,300	0,630
15,400	0,629
15,500	0,628
15,600	0,627
15,700	0,626
15,800	0,625
15,900	0,624
16,000	0,624
16,100	0,623
16,200	0,622
16,300	0,622
16,400	0,621
16,500	0,620
16,600	0,619
16,700	0,619
16,800	0,618
16,900	0,618
17,000	0,617
17,100	0,616
17,200	0,616
17,300	0,616
17,400	0,615
17,500	0,615
17,600	0,614
17,700	0,614
17,800	0,613
17,900	0,613
18,000	0,612
18,100	0,612
18,200	0,611
18,300	0,611
18,400	0,610
18,500	0,609
18,600	0,609
18,700	0,609
18,800	0,609
18,900	0,608
19,000	0,608
19,100	0,607
19,200	0,607
19,300	0,607
19,400	0,606
19,500	0,606
19,600	0,606
19,700	0,605
19,800	0,604
19,900	0,604
20,000	0,604
20,100	0,603
20,200	0,602
20,300	0,602
20,400	0,602
20,500	0,601
20,600	0,601
20,700	0,601
20,800	0,600
20,900	0,600
21,000	0,599
21,100	0,599
21,200	0,599
21,300	0,598
21,400	0,598
21,500	0,597
21,600	0,597
21,700	0,597
21,800	0,596
21,900	0,596
22,000	0,596
22,100	0,596
22,200	0,594
22,300	0,594
22,400	0,594
22,500	0,593
22,600	0,593
22,700	0,593
22,800	0,592
22,900	0,592
23,000	0,591
23,100	0,591
23,200	0,591
23,300	0,590
23,400	0,590
23,500	0,590
23,600	0,590
23,700	0,589
23,800	0,589
23,900	0,589
24,000	0,588
24,100	0,588
24,200	0,587
24,300	0,587
24,400	0,587
24,500	0,586
24,600	0,585
24,700	0,585
24,800	0,585
24,900	0,584
25,000	0,584
25,100	0,584
25,200	0,584
25,300	0,583
25,400	0,583
25,500	0,583
25,600	0,582
25,700	0,582
25,800	0,582
25,900	0,581
26,000	0,581
26,100	0,580
26,200	0,580
26,300	0,580
26,400	0,580
26,500	0,579
26,600	0,579
26,700	0,579
26,800	0,578
26,900	0,577
27,000	0,577
27,100	0,577
27,200	0,576
27,300	0,576
27,400	0,576
27,500	0,575
27,600	0,575
27,700	0,575
27,800	0,575
27,900	0,574
28,000	0,574
