Power, Run #1
Time ( s )	Input Power ( W )
0,000	1,369E-5
0,100	1,369E-5
0,200	1,369E-5
0,300	0,000
0,400	1,369E-5
0,500	0,000
0,600	1,369E-5
0,700	1,369E-5
0,800	1,369E-5
0,900	1,369E-5
1,000	1,642E-5
1,100	1,369E-5
1,200	1,369E-5
1,300	1,369E-5
1,400	1,369E-5
1,500	1,642E-5
1,600	1,369E-5
1,700	1,369E-5
1,800	1,369E-5
1,900	1,369E-5
2,000	1,369E-5
2,100	1,369E-5
2,200	1,369E-5
2,300	1,642E-5
2,400	1,369E-5
2,500	1,369E-5
2,600	1,369E-5
2,700	1,369E-5
2,800	2,737E-5
2,900	1,369E-5
3,000	1,369E-5
3,100	1,369E-5
3,200	1,369E-5
3,300	1,369E-5
3,400	1,369E-5
3,500	1,369E-5
3,600	1,642E-5
3,700	1,369E-5
3,800	1,369E-5
3,900	1,369E-5
4,000	1,369E-5
4,100	1,369E-5
4,200	1,369E-5
4,300	1,642E-5
4,400	1,369E-5
4,500	1,369E-5
4,600	1,369E-5
4,700	1,369E-5
4,800	1,369E-5
4,900	1,369E-5
5,000	1,369E-5
5,100	1,369E-5
5,200	1,369E-5
5,300	1,369E-5
5,400	1,369E-5
5,500	1,369E-5
5,600	1,369E-5
5,700	1,369E-5
5,800	1,369E-5
5,900	1,642E-5
6,000	1,369E-5
6,100	1,369E-5
6,200	2,737E-5
6,300	2,737E-5
6,400	1,369E-5
6,500	1,369E-5
6,600	1,642E-5
6,700	1,369E-5
6,800	2,737E-5
6,900	1,369E-5
7,000	1,369E-5
7,100	1,369E-5
7,200	1,369E-5
7,300	2,737E-5
7,400	1,369E-5
7,500	2,737E-5
7,600	1,369E-5
7,700	1,369E-5
7,800	1,369E-5
7,900	1,369E-5
8,000	2,737E-5
8,100	2,737E-5
8,200	1,369E-5
8,300	1,642E-5
8,400	2,737E-5
8,500	2,737E-5
8,600	1,369E-5
8,700	1,369E-5
8,800	2,737E-5
8,900	1,369E-5
9,000	1,369E-5
9,100	1,369E-5
9,200	1,369E-5
9,300	1,369E-5
9,400	1,369E-5
9,500	1,369E-5
9,600	1,642E-5
9,700	1,642E-5
9,800	1,369E-5
9,900	1,369E-5
10,000	1,369E-5
10,100	1,369E-5
10,200	1,642E-5
10,300	2,737E-5
10,400	1,369E-5
10,500	1,369E-5
10,600	1,369E-5
10,700	1,369E-5
10,800	1,369E-5
10,900	1,369E-5
11,000	1,642E-5
11,100	1,369E-5
11,200	1,369E-5
11,300	1,369E-5
11,400	2,737E-5
11,500	1,369E-5
11,600	1,369E-5
11,700	1,369E-5
11,800	1,369E-5
11,900	1,642E-5
12,000	1,369E-5
12,100	1,642E-5
12,200	3,285E-5
12,300	1,369E-5
12,400	1,369E-5
12,500	1,369E-5
12,600	1,369E-5
12,700	1,369E-5
12,800	1,369E-5
12,900	1,369E-5
13,000	1,642E-5
13,100	1,369E-5
13,200	1,369E-5
13,300	2,274
13,400	2,251
13,500	2,239
13,600	2,223
13,700	2,211
13,800	2,197
13,900	2,191
14,000	2,182
14,100	2,173
14,200	2,166
14,300	2,159
14,400	2,153
14,500	2,145
14,600	2,143
14,700	2,135
14,800	2,130
14,900	2,128
15,000	2,125
15,100	2,119
15,200	2,116
15,300	2,115
15,400	2,112
15,500	2,108
15,600	2,108
15,700	2,101
15,800	2,102
15,900	2,099
16,000	2,097
16,100	2,097
16,200	2,092
16,300	2,093
16,400	2,091
16,500	2,088
16,600	2,086
16,700	2,084
16,800	2,082
16,900	2,081
17,000	2,082
17,100	2,075
17,200	2,074
17,300	2,077
17,400	2,075
17,500	2,073
17,600	2,071
17,700	2,073
17,800	2,068
17,900	2,066
18,000	2,064
18,100	2,067
18,200	2,062
18,300	2,064
18,400	2,059
18,500	2,058
18,600	2,058
18,700	2,057
18,800	2,057
18,900	2,055
19,000	2,056
19,100	2,051
19,200	2,053
19,300	2,049
19,400	2,051
19,500	2,046
19,600	2,049
19,700	2,045
19,800	2,044
19,900	2,044
20,000	2,042
20,100	2,040
20,200	2,038
20,300	2,038
20,400	2,036
20,500	2,035
20,600	2,033
20,700	2,036
20,800	2,034
20,900	2,032
21,000	2,030
21,100	2,029
21,200	2,029
21,300	2,027
21,400	2,025
21,500	2,023
21,600	2,026
21,700	2,025
21,800	2,020
21,900	2,021
22,000	2,018
22,100	2,021
22,200	2,017
22,300	2,016
22,400	2,016
22,500	2,014
22,600	2,014
22,700	2,012
22,800	2,010
22,900	2,010
23,000	2,010
23,100	2,007
23,200	2,005
23,300	2,003
23,400	2,006
23,500	2,001
23,600	2,004
23,700	2,002
23,800	2,001
23,900	2,001
24,000	1,997
24,100	1,997
24,200	1,995
24,300	1,993
24,400	1,993
24,500	1,995
24,600	1,993
24,700	1,993
24,800	1,988
24,900	1,986
25,000	1,986
25,100	1,987
25,200	1,990
25,300	1,986
25,400	1,986
25,500	1,984
25,600	1,982
25,700	1,980
25,800	1,983
25,900	1,978
26,000	1,980
26,100	1,975
26,200	1,978
26,300	1,976
26,400	1,976
26,500	1,974
26,600	1,974
26,700	1,972
26,800	1,970
26,900	1,972
27,000	1,969
27,100	1,967
27,200	1,965
27,300	1,968
27,400	1,963
27,500	1,961
27,600	1,964
27,700	1,961
27,800	1,963
27,900	1,961
28,000	1,959
28,100	1,959
28,200	1,957
28,300	1,957
28,400	1,955
28,500	1,958
28,600	1,954
28,700	1,952
28,800	1,952
28,900	1,952
29,000	1,948
29,100	1,951
29,200	1,949
29,300	1,949
29,400	1,949
29,500	1,946
29,600	1,946
29,700	1,944
29,800	1,944
29,900	1,942
30,000	1,942
30,100	1,940
30,200	1,940
30,300	1,941
