Power Generated, Run #1
Time ( s )	Power Generated ( W )
111,500	0,053
111,600	0,055
111,700	0,055
111,800	0,055
111,900	0,054
112,000	0,053
112,100	0,052
112,200	0,051
112,300	0,050
112,400	0,049
112,500	0,048
112,600	0,048
112,700	0,047
112,800	0,047
112,900	0,046
113,000	0,046
113,100	0,045
113,200	0,045
113,300	0,044
113,400	0,044
113,500	0,044
113,600	0,043
113,700	0,043
113,800	0,043
113,900	0,042
114,000	0,042
114,100	0,042
114,200	0,041
114,300	0,041
114,400	0,041
114,500	0,041
114,600	0,040
114,700	0,040
114,800	0,040
114,900	0,040
115,000	0,039
115,100	0,039
115,200	0,039
115,300	0,039
115,400	0,039
115,500	0,039
115,600	0,038
115,700	0,038
115,800	0,038
115,900	0,038
116,000	0,038
116,100	0,037
116,200	0,037
116,300	0,037
116,400	0,037
116,500	0,037
116,600	0,037
116,700	0,037
116,800	0,036
116,900	0,036
117,000	0,036
117,100	0,036
117,200	0,036
117,300	0,036
117,400	0,035
117,500	0,035
117,600	0,035
117,700	0,035
117,800	0,035
117,900	0,035
118,000	0,035
118,100	0,034
118,200	0,034
118,300	0,034
118,400	0,034
118,500	0,034
118,600	0,034
118,700	0,034
118,800	0,033
118,900	0,033
119,000	0,033
119,100	0,033
119,200	0,033
119,300	0,033
119,400	0,033
119,500	0,032
119,600	0,032
119,700	0,032
119,800	0,032
119,900	0,032
120,000	0,032
120,100	0,032
120,200	0,031
120,300	0,031
120,400	0,031
120,500	0,031
120,600	0,031
120,700	0,031
120,800	0,031
120,900	0,031
121,000	0,030
121,100	0,030
121,200	0,030
121,300	0,030
121,400	0,030
121,500	0,030
121,600	0,030
121,700	0,030
121,800	0,029
121,900	0,029
122,000	0,029
122,100	0,029
122,200	0,029
122,300	0,029
122,400	0,029
122,500	0,029
122,600	0,029
122,700	0,028
122,800	0,028
122,900	0,028
123,000	0,028
123,100	0,028
123,200	0,028
123,300	0,028
123,400	0,028
123,500	0,027
123,600	0,027
123,700	0,027
123,800	0,027
123,900	0,027
124,000	0,027
124,100	0,027
124,200	0,027
124,300	0,026
124,400	0,026
124,500	0,026
124,600	0,026
124,700	0,026
124,800	0,026
124,900	0,026
125,000	0,026
125,100	0,026
125,200	0,026
125,300	0,025
125,400	0,025
125,500	0,025
125,600	0,025
125,700	0,025
125,800	0,025
125,900	0,025
126,000	0,025
126,100	0,025
126,200	0,024
126,300	0,024
126,400	0,024
126,500	0,024
126,600	0,024
126,700	0,024
126,800	0,024
126,900	0,024
127,000	0,024
127,100	0,024
127,200	0,024
127,300	0,024
127,400	0,023
127,500	0,023
127,600	0,023
127,700	0,023
127,800	0,023
127,900	0,023
128,000	0,023
128,100	0,023
128,200	0,023
128,300	0,023
128,400	0,022
128,500	0,022
128,600	0,022
128,700	0,022
128,800	0,022
128,900	0,022
129,000	0,022
129,100	0,022
129,200	0,022
129,300	0,022
129,400	0,022
129,500	0,021
129,600	0,021
129,700	0,021
129,800	0,021
129,900	0,021
130,000	0,021
130,100	0,021
130,200	0,021
130,300	0,021
130,400	0,021
130,500	0,020
130,600	0,020
130,700	0,020
130,800	0,020
130,900	0,020
131,000	0,020
131,100	0,020
131,200	0,020
131,300	0,020
131,400	0,020
131,500	0,020
131,600	0,020
131,700	0,020
131,800	0,019
131,900	0,019
132,000	0,019
132,100	0,019
132,200	0,019
132,300	0,019
132,400	0,019
132,500	0,019
132,600	0,019
132,700	0,019
132,800	0,019
132,900	0,019
133,000	0,019
133,100	0,018
133,200	0,018
133,300	0,018
133,400	0,018
133,500	0,018
133,600	0,018
133,700	0,018
133,800	0,018
133,900	0,018
134,000	0,018
134,100	0,018
134,200	0,018
134,300	0,017
134,400	0,017
134,500	0,017
134,600	0,017
134,700	0,017
134,800	0,017
134,900	0,017
135,000	0,017
135,100	0,017
135,200	0,017
135,300	0,017
135,400	0,017
135,500	0,017
135,600	0,017
135,700	0,017
135,800	0,017
135,900	0,016
136,000	0,016
136,100	0,016
136,200	0,016
136,300	0,016
136,400	0,016
136,500	0,016
136,600	0,016
136,700	0,016
136,800	0,016
136,900	0,016
137,000	0,016
137,100	0,016
137,200	0,016
137,300	0,015
137,400	0,015
137,500	0,015
137,600	0,015
137,700	0,015
137,800	0,015
137,900	0,015
138,000	0,015
138,100	0,015
138,200	0,015
138,300	0,015
138,400	0,015
138,500	0,015
138,600	0,015
138,700	0,015
138,800	0,015
138,900	0,014
139,000	0,014
139,100	0,014
139,200	0,014
139,300	0,014
139,400	0,014
139,500	0,014
139,600	0,014
139,700	0,014
139,800	0,014
139,900	0,014
140,000	0,014
140,100	0,014
140,200	0,014
140,300	0,014
140,400	0,014
140,500	0,014
140,600	0,013
140,700	0,013
140,800	0,013
140,900	0,013
141,000	0,013
141,100	0,013
141,200	0,013
141,300	0,013
141,400	0,013
141,500	0,013
141,600	0,013
141,700	0,013
141,800	0,013
141,900	0,013
142,000	0,013
142,100	0,013
142,200	0,013
142,300	0,013
142,400	0,013
142,500	0,012
142,600	0,012
142,700	0,012
142,800	0,012
142,900	0,012
143,000	0,012
143,100	0,012
143,200	0,012
143,300	0,012
143,400	0,012
143,500	0,012
143,600	0,012
143,700	0,012
143,800	0,012
143,900	0,012
144,000	0,012
144,100	0,012
144,200	0,012
144,300	0,012
144,400	0,011
144,500	0,011
144,600	0,011
144,700	0,011
144,800	0,011
144,900	0,011
145,000	0,011
145,100	0,011
145,200	0,011
145,300	0,011
145,400	0,011
145,500	0,011
145,600	0,011
145,700	0,011
145,800	0,011
145,900	0,011
146,000	0,011
146,100	0,011
146,200	0,011
146,300	0,011
146,400	0,011
146,500	0,011
146,600	0,011
146,700	0,010
146,800	0,010
146,900	0,010
147,000	0,010
147,100	0,010
147,200	0,010
147,300	0,010
147,400	0,010
147,500	0,010
147,600	0,010
147,700	0,010
147,800	9,994E-3
147,900	9,962E-3
148,000	9,930E-3
148,100	9,888E-3
148,200	9,844E-3
148,300	9,791E-3
148,400	9,738E-3
148,500	9,703E-3
148,600	9,680E-3
148,700	9,639E-3
148,800	9,589E-3
148,900	9,548E-3
149,000	9,513E-3
149,100	9,490E-3
149,200	9,470E-3
149,300	9,435E-3
149,400	9,387E-3
149,500	9,349E-3
149,600	9,320E-3
149,700	9,292E-3
149,800	9,251E-3
149,900	9,199E-3
150,000	9,162E-3
150,100	9,131E-3
150,200	9,091E-3
150,300	9,054E-3
150,400	9,017E-3
150,500	8,983E-3
150,600	8,958E-3
150,700	8,942E-3
150,800	8,916E-3
150,900	8,891E-3
151,000	8,866E-3
151,100	8,830E-3
151,200	8,794E-3
151,300	8,755E-3
151,400	8,716E-3
151,500	8,677E-3
151,600	8,638E-3
151,700	8,591E-3
151,800	8,549E-3
151,900	8,517E-3
152,000	8,476E-3
152,100	8,432E-3
152,200	8,391E-3
152,300	8,345E-3
152,400	8,290E-3
152,500	8,244E-3
152,600	8,203E-3
152,700	8,162E-3
152,800	8,132E-3
152,900	8,105E-3
153,000	8,073E-3
153,100	8,046E-3
153,200	8,028E-3
153,300	8,004E-3
153,400	7,978E-3
153,500	7,952E-3
153,600	7,915E-3
153,700	7,872E-3
153,800	7,832E-3
153,900	7,801E-3
154,000	7,769E-3
154,100	7,740E-3
154,200	7,711E-3
154,300	7,683E-3
154,400	7,654E-3
154,500	7,624E-3
154,600	7,595E-3
154,700	7,551E-3
154,800	7,510E-3
154,900	7,473E-3
155,000	7,439E-3
155,100	7,406E-3
155,200	7,372E-3
155,300	7,349E-3
155,400	7,323E-3
155,500	7,305E-3
155,600	7,285E-3
155,700	7,262E-3
155,800	7,237E-3
155,900	7,214E-3
156,000	7,202E-3
156,100	7,187E-3
156,200	7,167E-3
156,300	7,139E-3
156,400	7,111E-3
156,500	7,084E-3
156,600	7,056E-3
156,700	7,028E-3
156,800	6,991E-3
156,900	6,945E-3
157,000	6,913E-3
157,100	6,891E-3
157,200	6,864E-3
157,300	6,839E-3
157,400	6,814E-3
157,500	6,787E-3
157,600	6,762E-3
157,700	6,745E-3
157,800	6,728E-3
157,900	6,708E-3
158,000	6,687E-3
158,100	6,655E-3
158,200	6,633E-3
158,300	6,612E-3
158,400	6,580E-3
158,500	6,551E-3
158,600	6,525E-3
158,700	6,491E-3
158,800	6,459E-3
158,900	6,445E-3
159,000	6,421E-3
159,100	6,382E-3
159,200	6,356E-3
159,300	6,332E-3
159,400	6,292E-3
159,500	6,252E-3
159,600	6,222E-3
159,700	6,182E-3
159,800	6,135E-3
159,900	6,103E-3
160,000	6,075E-3
160,100	6,047E-3
160,200	6,026E-3
160,300	6,015E-3
160,400	6,001E-3
160,500	5,985E-3
160,600	5,978E-3
160,700	5,966E-3
160,800	5,953E-3
160,900	5,934E-3
161,000	5,916E-3
161,100	5,898E-3
161,200	5,870E-3
161,300	5,840E-3
161,400	5,808E-3
161,500	5,788E-3
161,600	5,768E-3
161,700	5,738E-3
161,800	5,704E-3
161,900	5,668E-3
162,000	5,639E-3
162,100	5,615E-3
162,200	5,590E-3
162,300	5,559E-3
162,400	5,523E-3
162,500	5,499E-3
162,600	5,477E-3
162,700	5,455E-3
162,800	5,433E-3
162,900	5,413E-3
163,000	5,394E-3
163,100	5,370E-3
163,200	5,350E-3
163,300	5,328E-3
163,400	5,311E-3
163,500	5,294E-3
163,600	5,278E-3
163,700	5,255E-3
163,800	5,233E-3
163,900	5,216E-3
164,000	5,194E-3
164,100	5,173E-3
164,200	5,156E-3
164,300	5,138E-3
164,400	5,113E-3
164,500	5,094E-3
164,600	5,072E-3
164,700	5,051E-3
164,800	5,035E-3
164,900	5,020E-3
165,000	4,994E-3
165,100	4,971E-3
165,200	4,954E-3
165,300	4,933E-3
165,400	4,915E-3
165,500	4,898E-3
165,600	4,883E-3
165,700	4,860E-3
165,800	4,835E-3
165,900	4,814E-3
166,000	4,795E-3
166,100	4,781E-3
166,200	4,765E-3
166,300	4,740E-3
166,400	4,713E-3
166,500	4,695E-3
166,600	4,685E-3
166,700	4,668E-3
166,800	4,650E-3
166,900	4,632E-3
167,000	4,608E-3
167,100	4,589E-3
167,200	4,571E-3
167,300	4,545E-3
167,400	4,517E-3
167,500	4,491E-3
167,600	4,473E-3
167,700	4,457E-3
167,800	4,441E-3
167,900	4,425E-3
168,000	4,409E-3
168,100	4,400E-3
168,200	4,390E-3
168,300	4,378E-3
168,400	4,352E-3
168,500	4,325E-3
168,600	4,305E-3
168,700	4,282E-3
168,800	4,260E-3
168,900	4,239E-3
169,000	4,219E-3
169,100	4,200E-3
169,200	4,186E-3
169,300	4,175E-3
169,400	4,163E-3
169,500	4,156E-3
169,600	4,146E-3
169,700	4,132E-3
169,800	4,111E-3
169,900	4,092E-3
170,000	4,073E-3
170,100	4,058E-3
170,200	4,041E-3
170,300	4,020E-3
170,400	3,999E-3
170,500	3,977E-3
170,600	3,962E-3
170,700	3,945E-3
170,800	3,924E-3
170,900	3,896E-3
171,000	3,868E-3
171,100	3,844E-3
171,200	3,822E-3
171,300	3,807E-3
171,400	3,791E-3
171,500	3,776E-3
171,600	3,767E-3
171,700	3,758E-3
171,800	3,750E-3
171,900	3,750E-3
172,000	3,743E-3
172,100	3,730E-3
172,200	3,723E-3
172,300	3,716E-3
172,400	3,701E-3
172,500	3,688E-3
172,600	3,674E-3
172,700	3,652E-3
172,800	3,633E-3
172,900	3,616E-3
173,000	3,602E-3
173,100	3,586E-3
173,200	3,577E-3
173,300	3,564E-3
173,400	3,554E-3
173,500	3,550E-3
173,600	3,545E-3
173,700	3,536E-3
173,800	3,525E-3
173,900	3,515E-3
174,000	3,497E-3
174,100	3,483E-3
174,200	3,462E-3
174,300	3,434E-3
174,400	3,413E-3
174,500	3,395E-3
174,600	3,380E-3
174,700	3,361E-3
174,800	3,342E-3
174,900	3,324E-3
175,000	3,314E-3
175,100	3,304E-3
175,200	3,292E-3
175,300	3,280E-3
175,400	3,261E-3
175,500	3,247E-3
175,600	3,240E-3
175,700	3,232E-3
175,800	3,222E-3
175,900	3,213E-3
176,000	3,201E-3
176,100	3,186E-3
176,200	3,171E-3
176,300	3,153E-3
176,400	3,134E-3
176,500	3,118E-3
176,600	3,103E-3
176,700	3,088E-3
176,800	3,078E-3
176,900	3,071E-3
177,000	3,066E-3
177,100	3,064E-3
177,200	3,061E-3
177,300	3,056E-3
177,400	3,048E-3
177,500	3,038E-3
177,600	3,026E-3
177,700	3,011E-3
177,800	2,996E-3
177,900	2,986E-3
178,000	2,973E-3
178,100	2,957E-3
178,200	2,946E-3
178,300	2,936E-3
178,400	2,928E-3
178,500	2,924E-3
178,600	2,912E-3
178,700	2,895E-3
178,800	2,887E-3
178,900	2,882E-3
179,000	2,871E-3
179,100	2,853E-3
179,200	2,834E-3
179,300	2,817E-3
179,400	2,806E-3
179,500	2,796E-3
179,600	2,780E-3
179,700	2,766E-3
179,800	2,755E-3
179,900	2,749E-3
180,000	2,743E-3
180,100	2,735E-3
180,200	2,727E-3
180,300	2,713E-3
180,400	2,696E-3
180,500	2,677E-3
180,600	2,659E-3
180,700	2,646E-3
180,800	2,636E-3
180,900	2,622E-3
181,000	2,607E-3
181,100	2,597E-3
181,200	2,591E-3
181,300	2,587E-3
181,400	2,584E-3
181,500	2,576E-3
181,600	2,567E-3
181,700	2,562E-3
181,800	2,559E-3
181,900	2,556E-3
182,000	2,550E-3
182,100	2,538E-3
182,200	2,526E-3
182,300	2,517E-3
182,400	2,510E-3
182,500	2,497E-3
182,600	2,482E-3
182,700	2,465E-3
182,800	2,452E-3
182,900	2,444E-3
183,000	2,435E-3
183,100	2,424E-3
183,200	2,412E-3
183,300	2,406E-3
183,400	2,401E-3
183,500	2,394E-3
183,600	2,388E-3
183,700	2,382E-3
183,800	2,374E-3
183,900	2,365E-3
184,000	2,357E-3
184,100	2,347E-3
184,200	2,337E-3
184,300	2,330E-3
184,400	2,322E-3
184,500	2,314E-3
184,600	2,308E-3
184,700	2,301E-3
184,800	2,292E-3
184,900	2,282E-3
185,000	2,272E-3
185,100	2,268E-3
185,200	2,262E-3
185,300	2,253E-3
185,400	2,246E-3
185,500	2,241E-3
185,600	2,231E-3
185,700	2,221E-3
185,800	2,208E-3
185,900	2,192E-3
186,000	2,175E-3
186,100	2,161E-3
186,200	2,145E-3
186,300	2,129E-3
186,400	2,117E-3
186,500	2,105E-3
186,600	2,095E-3
186,700	2,084E-3
186,800	2,075E-3
186,900	2,066E-3
187,000	2,060E-3
187,100	2,054E-3
187,200	2,045E-3
187,300	2,040E-3
187,400	2,034E-3
187,500	2,030E-3
187,600	2,025E-3
187,700	2,020E-3
187,800	2,015E-3
187,900	2,009E-3
188,000	2,008E-3
188,100	2,005E-3
188,200	2,002E-3
188,300	1,998E-3
188,400	1,996E-3
188,500	1,991E-3
188,600	1,986E-3
188,700	1,975E-3
188,800	1,960E-3
188,900	1,945E-3
189,000	1,929E-3
189,100	1,915E-3
189,200	1,904E-3
189,300	1,894E-3
189,400	1,881E-3
189,500	1,873E-3
189,600	1,869E-3
189,700	1,865E-3
189,800	1,861E-3
189,900	1,857E-3
190,000	1,849E-3
190,100	1,839E-3
190,200	1,828E-3
190,300	1,815E-3
190,400	1,808E-3
190,500	1,799E-3
190,600	1,788E-3
190,700	1,775E-3
190,800	1,763E-3
190,900	1,757E-3
191,000	1,757E-3
191,100	1,758E-3
191,200	1,755E-3
191,300	1,751E-3
191,400	1,749E-3
191,500	1,749E-3
191,600	1,748E-3
191,700	1,743E-3
191,800	1,738E-3
191,900	1,733E-3
192,000	1,727E-3
192,100	1,725E-3
192,200	1,722E-3
192,300	1,718E-3
192,400	1,714E-3
192,500	1,706E-3
192,600	1,692E-3
192,700	1,681E-3
192,800	1,675E-3
192,900	1,664E-3
193,000	1,651E-3
193,100	1,640E-3
193,200	1,623E-3
193,300	1,611E-3
193,400	1,608E-3
193,500	1,602E-3
193,600	1,589E-3
193,700	1,581E-3
193,800	1,577E-3
193,900	1,574E-3
194,000	1,577E-3
194,100	1,577E-3
194,200	1,571E-3
194,300	1,566E-3
194,400	1,565E-3
194,500	1,559E-3
194,600	1,548E-3
194,700	1,538E-3
194,800	1,526E-3
194,900	1,520E-3
195,000	1,518E-3
195,100	1,506E-3
195,200	1,493E-3
195,300	1,489E-3
195,400	1,485E-3
195,500	1,480E-3
195,600	1,477E-3
195,700	1,471E-3
195,800	1,463E-3
195,900	1,461E-3
196,000	1,461E-3
196,100	1,454E-3
196,200	1,444E-3
196,300	1,439E-3
196,400	1,433E-3
196,500	1,427E-3
196,600	1,425E-3
196,700	1,423E-3
196,800	1,423E-3
196,900	1,422E-3
197,000	1,420E-3
197,100	1,413E-3
197,200	1,406E-3
197,300	1,399E-3
197,400	1,389E-3
197,500	1,379E-3
197,600	1,367E-3
197,700	1,359E-3
197,800	1,356E-3
197,900	1,350E-3
198,000	1,344E-3
198,100	1,341E-3
198,200	1,338E-3
198,300	1,335E-3
198,400	1,328E-3
198,500	1,318E-3
198,600	1,312E-3
198,700	1,312E-3
198,800	1,312E-3
198,900	1,306E-3
199,000	1,299E-3
199,100	1,295E-3
199,200	1,290E-3
199,300	1,288E-3
199,400	1,281E-3
199,500	1,271E-3
199,600	1,259E-3
199,700	1,252E-3
199,800	1,245E-3
199,900	1,237E-3
200,000	1,233E-3
200,100	1,229E-3
200,200	1,226E-3
200,300	1,223E-3
200,400	1,219E-3
200,500	1,212E-3
200,600	1,205E-3
200,700	1,199E-3
200,800	1,194E-3
200,900	1,190E-3
201,000	1,183E-3
201,100	1,179E-3
201,200	1,178E-3
201,300	1,177E-3
201,400	1,175E-3
201,500	1,173E-3
201,600	1,169E-3
201,700	1,164E-3
201,800	1,162E-3
201,900	1,157E-3
202,000	1,151E-3
202,100	1,146E-3
202,200	1,143E-3
202,300	1,139E-3
202,400	1,133E-3
202,500	1,130E-3
202,600	1,126E-3
202,700	1,122E-3
202,800	1,118E-3
202,900	1,116E-3
203,000	1,111E-3
203,100	1,108E-3
203,200	1,105E-3
203,300	1,100E-3
203,400	1,099E-3
203,500	1,097E-3
203,600	1,095E-3
203,700	1,090E-3
203,800	1,085E-3
203,900	1,080E-3
204,000	1,075E-3
204,100	1,071E-3
204,200	1,064E-3
204,300	1,057E-3
204,400	1,051E-3
204,500	1,046E-3
204,600	1,044E-3
204,700	1,041E-3
204,800	1,037E-3
204,900	1,032E-3
205,000	1,029E-3
205,100	1,024E-3
205,200	1,020E-3
205,300	1,017E-3
205,400	1,011E-3
205,500	1,005E-3
205,600	1,003E-3
205,700	9,992E-4
205,800	9,909E-4
205,900	9,837E-4
206,000	9,781E-4
206,100	9,724E-4
206,200	9,704E-4
206,300	9,684E-4
206,400	9,612E-4
206,500	9,566E-4
206,600	9,557E-4
206,700	9,547E-4
206,800	9,521E-4
206,900	9,486E-4
207,000	9,450E-4
207,100	9,415E-4
207,200	9,405E-4
207,300	9,385E-4
207,400	9,365E-4
207,500	9,336E-4
207,600	9,297E-4
207,700	9,267E-4
207,800	9,228E-4
207,900	9,154E-4
208,000	9,071E-4
208,100	9,022E-4
208,200	8,963E-4
208,300	8,914E-4
208,400	8,850E-4
208,500	8,797E-4
208,600	8,743E-4
208,700	8,700E-4
208,800	8,666E-4
208,900	8,632E-4
209,000	8,609E-4
209,100	8,585E-4
209,200	8,585E-4
209,300	8,542E-4
209,400	8,518E-4
209,500	8,518E-4
209,600	8,508E-4
209,700	8,475E-4
209,800	8,442E-4
209,900	8,399E-4
210,000	8,356E-4
210,100	8,347E-4
210,200	8,328E-4
210,300	8,300E-4
210,400	8,290E-4
210,500	8,281E-4
210,600	8,239E-4
210,700	8,215E-4
210,800	8,215E-4
210,900	8,206E-4
211,000	8,187E-4
211,100	8,154E-4
211,200	8,103E-4
211,300	8,075E-4
211,400	8,079E-4
211,500	8,065E-4
211,600	7,996E-4
211,700	7,913E-4
211,800	7,840E-4
211,900	7,790E-4
212,000	7,758E-4
212,100	7,695E-4
212,200	7,631E-4
212,300	7,576E-4
212,400	7,554E-4
212,500	7,554E-4
212,600	7,554E-4
212,700	7,554E-4
212,800	7,558E-4
212,900	7,572E-4
213,000	7,563E-4
213,100	7,554E-4
213,200	7,545E-4
213,300	7,536E-4
213,400	7,527E-4
213,500	7,518E-4
213,600	7,464E-4
213,700	7,402E-4
213,800	7,375E-4
213,900	7,348E-4
214,000	7,313E-4
214,100	7,268E-4
214,200	7,193E-4
214,300	7,109E-4
214,400	7,086E-4
214,500	7,072E-4
214,600	7,024E-4
214,700	6,968E-4
214,800	6,920E-4
214,900	6,881E-4
215,000	6,872E-4
215,100	6,852E-4
215,200	6,793E-4
215,300	6,734E-4
215,400	6,696E-4
215,500	6,666E-4
215,600	6,637E-4
215,700	6,608E-4
215,800	6,578E-4
215,900	6,570E-4
216,000	6,561E-4
216,100	6,553E-4
216,200	6,544E-4
216,300	6,536E-4
