Qcold, Run #1
Time ( s )	Energy ( J )
0,000	0,000
0,100	0,000
0,200	0,000
0,300	0,000
0,400	0,037
0,500	0,071
0,600	0,047
0,700	0,018
0,800	0,013
0,900	0,047
1,000	0,026
1,100	0,034
1,200	0,051
1,300	0,032
1,400	0,021
1,500	0,021
1,600	0,051
1,700	0,056
1,800	0,056
1,900	0,018
2,000	0,026
2,100	0,013
2,200	0,037
2,300	0,042
2,400	0,010
2,500	0,047
2,600	0,047
2,700	0,037
2,800	0,021
2,900	0,077
3,000	0,039
3,100	0,056
3,200	0,018
3,300	0,039
3,400	0,064
3,500	0,032
3,600	0,066
3,700	0,029
3,800	0,066
3,900	0,082
4,000	0,058
4,100	0,032
4,200	0,066
4,300	0,077
4,400	0,039
4,500	0,058
4,600	0,074
4,700	0,039
4,800	0,079
4,900	0,058
5,000	0,056
5,100	0,037
5,200	0,032
5,300	0,074
5,400	0,047
5,500	0,053
5,600	0,042
5,700	0,066
5,800	0,053
5,900	0,061
6,000	0,058
6,100	0,045
6,200	0,082
6,300	0,090
6,400	0,034
6,500	0,058
6,600	0,064
6,700	0,051
6,800	0,090
6,900	0,045
7,000	0,066
7,100	0,053
7,200	0,069
7,300	0,045
7,400	0,061
7,500	0,100
7,600	0,064
7,700	0,069
7,800	0,037
7,900	0,087
8,000	0,087
8,100	0,093
8,200	0,029
8,300	0,077
8,400	0,109
8,500	0,051
8,600	0,064
8,700	0,098
8,800	0,087
8,900	0,095
9,000	0,087
9,100	0,071
9,200	0,085
9,300	0,082
9,400	0,095
9,500	0,098
9,600	0,109
9,700	0,095
9,800	0,127
9,900	0,090
10,000	0,085
10,100	0,077
10,200	0,090
10,300	0,079
10,400	0,051
10,500	0,047
10,600	0,069
10,700	0,098
10,800	0,114
10,900	0,085
11,000	0,090
11,100	0,119
11,200	0,100
11,300	0,023
11,400	0,106
11,500	0,111
11,600	0,116
11,700	0,100
11,800	0,137
11,900	0,103
12,000	0,074
12,100	0,066
12,200	0,124
12,300	0,109
12,400	0,135
12,500	0,106
12,600	0,103
12,700	0,124
12,800	0,135
12,900	0,111
13,000	0,122
13,100	0,100
13,200	0,122
13,300	0,135
13,400	0,124
13,500	0,079
13,600	0,124
13,700	0,064
13,800	0,000
13,900	0,000
14,000	0,000
14,100	0,000
14,200	0,000
14,300	0,000
14,400	0,000
14,500	0,000
14,600	0,000
14,700	0,000
14,800	0,000
14,900	0,000
15,000	0,000
15,100	0,000
15,200	0,000
15,300	0,000
15,400	0,000
15,500	0,000
15,600	0,000
15,700	0,000
15,800	0,000
15,900	0,000
16,000	0,000
16,100	0,000
16,200	0,000
16,300	0,000
16,400	0,000
16,500	0,000
16,600	0,000
16,700	0,000
16,800	0,000
16,900	0,000
17,000	0,000
17,100	0,000
17,200	0,000
17,300	0,000
17,400	0,000
17,500	0,000
17,600	0,000
17,700	0,000
17,800	0,000
17,900	0,000
18,000	0,000
18,100	0,000
18,200	0,000
18,300	0,000
18,400	0,000
18,500	0,000
18,600	0,000
18,700	0,000
18,800	0,000
18,900	0,000
19,000	0,000
19,100	0,000
19,200	0,000
19,300	0,000
19,400	0,000
19,500	0,000
19,600	0,000
19,700	0,000
19,800	0,000
19,900	0,000
20,000	0,000
20,100	0,000
20,200	0,000
20,300	0,000
20,400	0,000
20,500	0,000
20,600	0,000
20,700	0,000
20,800	0,000
20,900	0,000
21,000	0,000
21,100	0,000
21,200	0,000
21,300	0,000
21,400	0,000
21,500	0,000
21,600	0,000
21,700	0,000
21,800	0,000
21,900	0,000
22,000	0,000
22,100	0,000
22,200	0,000
22,300	0,000
22,400	0,000
22,500	0,000
22,600	0,000
22,700	0,000
22,800	0,000
22,900	0,000
23,000	0,000
23,100	0,000
23,200	0,000
23,300	0,000
23,400	0,000
23,500	0,000
23,600	0,000
23,700	0,000
23,800	0,000
23,900	0,000
24,000	0,000
24,100	0,000
24,200	0,000
24,300	0,000
24,400	0,000
24,500	0,000
24,600	0,000
24,700	0,000
24,800	0,000
24,900	0,000
25,000	0,000
25,100	0,000
25,200	0,000
25,300	0,000
25,400	0,000
25,500	0,000
25,600	0,000
25,700	0,000
25,800	0,000
25,900	0,000
26,000	0,000
26,100	0,000
26,200	0,000
26,300	0,000
26,400	0,000
26,500	0,000
26,600	0,000
26,700	0,000
26,800	0,000
26,900	0,000
27,000	0,000
27,100	0,000
27,200	0,000
27,300	0,000
27,400	0,000
27,500	0,000
27,600	0,000
27,700	0,000
27,800	0,000
27,900	0,000
28,000	0,000
28,100	0,000
28,200	0,000
28,300	0,000
28,400	0,000
28,500	0,000
28,600	0,000
28,700	0,000
28,800	0,000
28,900	0,000
29,000	0,000
29,100	0,000
29,200	0,000
29,300	0,000
29,400	0,000
29,500	0,000
29,600	0,000
29,700	0,000
29,800	0,000
29,900	0,000
30,000	0,000
30,100	0,000
30,200	0,000
30,300	0,000
30,400	0,000
30,500	0,000
30,600	0,000
30,700	0,000
30,800	0,000
30,900	0,000
31,000	0,000
31,100	0,000
31,200	0,000
31,300	0,000
31,400	0,000
31,500	0,000
31,600	0,000
31,700	0,000
31,800	0,000
31,900	0,000
32,000	0,000
32,100	0,000
32,200	0,000
32,300	0,000
32,400	0,000
32,500	0,000
32,600	0,000
32,700	0,000
32,800	0,000
32,900	0,000
33,000	0,000
33,100	0,000
33,200	0,000
33,300	0,000
33,400	0,000
33,500	0,000
33,600	0,000
33,700	0,000
33,800	0,000
33,900	0,000
34,000	0,000
34,100	0,000
34,200	0,000
34,300	0,000
34,400	0,000
34,500	0,000
34,600	0,000
34,700	0,000
34,800	0,000
34,900	0,000
35,000	0,000
35,100	0,000
35,200	0,000
35,300	0,000
35,400	0,000
35,500	0,000
