Qcold  Pump, Run #1
Time ( s )	Energy ( J )
0,350	0,027
0,450	0,027
0,550	0,027
0,650	0,027
0,750	0,027
0,850	0,027
0,950	0,027
1,050	0,027
1,150	0,027
1,250	0,027
1,350	0,027
1,450	0,027
1,550	0,027
1,650	0,027
1,750	0,027
1,850	0,027
1,950	0,027
2,050	0,027
2,150	0,027
2,250	0,027
2,350	0,027
2,450	0,027
2,550	0,027
2,650	0,027
2,750	0,027
2,850	0,027
2,950	0,027
3,050	0,027
3,150	0,027
3,250	0,027
3,350	0,027
3,450	0,027
3,550	0,027
3,650	0,027
3,750	0,027
3,850	0,027
3,950	0,027
4,050	0,027
4,150	0,027
4,250	0,027
4,350	0,027
4,450	0,027
4,550	0,027
4,650	0,027
4,750	0,027
4,850	0,027
4,950	0,027
5,050	0,027
5,150	0,027
5,250	0,027
5,350	0,027
5,450	0,027
5,550	0,027
5,650	0,027
5,750	0,027
5,850	0,027
5,950	0,027
6,050	0,027
6,150	0,027
6,250	0,027
6,350	0,027
6,450	0,027
6,550	0,027
6,650	0,027
6,750	0,027
6,850	0,027
6,950	0,027
7,050	0,027
7,150	0,027
7,250	0,027
7,350	0,027
7,450	0,027
7,550	0,027
7,650	0,027
7,750	0,027
7,850	0,027
7,950	0,027
8,050	0,027
8,150	0,027
8,250	0,027
8,350	0,027
8,450	0,027
8,550	0,027
8,650	0,027
8,750	0,027
8,850	0,027
8,950	0,027
9,050	0,027
9,150	0,027
9,250	0,027
9,350	0,027
9,450	0,027
9,550	0,027
9,650	0,027
9,750	0,027
9,850	0,027
9,950	0,027
10,050	0,027
10,150	0,027
10,250	0,027
10,350	0,027
10,450	0,027
10,550	0,027
10,650	0,027
10,750	0,027
10,850	0,027
10,950	0,027
11,050	0,027
11,150	0,027
11,250	0,027
11,350	0,027
11,450	0,027
11,550	0,027
11,650	0,027
11,750	0,027
11,850	0,027
11,950	0,027
12,050	0,027
12,150	0,027
12,250	0,027
12,350	0,027
12,450	0,027
12,550	0,027
12,650	0,027
12,750	0,027
12,850	0,027
12,950	0,027
13,050	0,027
13,150	0,027
13,250	0,027
13,350	0,027
13,450	0,027
13,550	0,027
13,650	0,027
13,750	0,029
13,850	0,063
13,950	0,146
14,050	0,264
14,150	0,417
14,250	0,610
14,350	0,814
14,450	1,019
14,550	1,252
14,650	1,556
14,750	1,813
14,850	2,029
14,950	2,348
15,050	2,725
15,150	3,100
15,250	3,481
15,350	3,890
15,450	4,298
15,550	4,704
15,650	5,087
15,750	5,506
15,850	5,968
15,950	6,401
16,050	6,845
16,150	7,296
16,250	7,753
16,350	8,210
16,450	8,677
16,550	9,158
16,650	9,621
16,750	10,102
16,850	10,561
16,950	11,028
17,050	11,513
17,150	11,981
17,250	12,447
17,350	12,936
17,450	13,426
17,550	13,888
17,650	14,369
17,750	14,863
17,850	15,333
17,950	15,798
18,050	16,282
18,150	16,765
18,250	17,244
18,350	17,719
18,450	18,194
18,550	18,666
18,650	19,162
18,750	19,647
18,850	20,099
18,950	20,572
19,050	21,046
19,150	21,517
19,250	21,996
19,350	22,454
19,450	22,935
19,550	23,419
19,650	23,891
19,750	24,358
19,850	24,830
19,950	25,308
20,050	25,761
20,150	26,213
20,250	26,655
20,350	27,106
20,450	27,555
20,550	28,029
20,650	28,497
20,750	28,913
20,850	29,307
20,950	29,706
21,050	30,133
21,150	30,602
21,250	31,059
21,350	31,479
21,450	31,931
21,550	32,392
21,650	32,858
21,750	33,296
21,850	33,712
21,950	34,179
22,050	34,622
22,150	35,039
22,250	35,487
22,350	35,920
22,450	36,329
22,550	36,782
22,650	37,238
22,750	37,663
22,850	38,098
22,950	38,528
23,050	38,962
23,150	39,379
23,250	39,798
23,350	40,210
23,450	40,646
23,550	41,093
23,650	41,513
23,750	41,936
23,850	42,343
23,950	42,718
24,050	43,112
24,150	43,553
24,250	43,975
24,350	44,391
24,450	44,795
24,550	45,222
24,650	45,629
24,750	46,022
24,850	46,423
24,950	46,809
25,050	47,242
25,150	47,652
25,250	48,046
25,350	48,446
25,450	48,832
25,550	49,255
25,650	49,656
25,750	50,046
25,850	50,455
25,950	50,850
26,050	51,221
26,150	51,610
26,250	52,035
26,350	52,429
26,450	52,795
26,550	53,165
26,650	53,544
26,750	53,936
26,850	54,308
26,950	54,655
27,050	55,053
27,150	55,461
27,250	55,850
27,350	56,220
27,450	56,579
27,550	56,903
27,650	57,213
27,750	57,585
27,850	57,948
27,950	58,287
28,050	58,663
28,150	59,074
28,250	59,453
28,350	59,801
28,450	60,136
28,550	60,530
28,650	60,926
28,750	61,268
