Qhot Pump, Run #1
Time ( s )	Energy ( J )
0,000	0,000
0,100	0,042
0,200	0,042
0,300	0,042
0,400	0,058
0,500	0,099
0,600	0,112
0,700	0,112
0,800	0,112
0,900	0,112
1,000	0,112
1,100	0,112
1,200	0,112
1,300	0,112
1,400	0,112
1,500	0,112
1,600	0,112
1,700	0,112
1,800	0,112
1,900	0,112
2,000	0,112
2,100	0,112
2,200	0,112
2,300	0,112
2,400	0,112
2,500	0,112
2,600	0,112
2,700	0,112
2,800	0,112
2,900	0,112
3,000	0,112
3,100	0,112
3,200	0,112
3,300	0,112
3,400	0,112
3,500	0,112
3,600	0,112
3,700	0,112
3,800	0,112
3,900	0,112
4,000	0,112
4,100	0,112
4,200	0,112
4,300	0,112
4,400	0,112
4,500	0,112
4,600	0,112
4,700	0,112
4,800	0,136
4,900	0,136
5,000	0,136
5,100	0,136
5,200	0,136
5,300	0,136
5,400	0,136
5,500	0,136
5,600	0,136
5,700	0,136
5,800	0,136
5,900	0,136
6,000	0,136
6,100	0,136
6,200	0,136
6,300	0,136
6,400	0,136
6,500	0,136
6,600	0,136
6,700	0,136
6,800	0,136
6,900	0,136
7,000	0,136
7,100	0,136
7,200	0,136
7,300	0,136
7,400	0,136
7,500	0,136
7,600	0,136
7,700	0,136
7,800	0,136
7,900	0,136
8,000	0,136
8,100	0,136
8,200	0,136
8,300	0,136
8,400	0,136
8,500	0,136
8,600	0,136
8,700	0,136
8,800	0,136
8,900	0,136
9,000	0,136
9,100	0,154
9,200	0,154
9,300	0,154
9,400	0,154
9,500	0,154
9,600	0,154
9,700	0,154
9,800	0,154
9,900	0,154
10,000	0,154
10,100	0,154
10,200	0,154
10,300	0,154
10,400	0,154
10,500	0,154
10,600	0,154
10,700	0,154
10,800	0,154
10,900	0,154
11,000	0,154
11,100	0,154
11,200	0,154
11,300	0,154
11,400	0,154
11,500	0,154
11,600	0,154
11,700	0,154
11,800	0,154
11,900	0,154
12,000	0,154
12,100	0,154
12,200	0,154
12,300	0,154
12,400	0,154
12,500	0,154
12,600	0,154
12,700	0,154
12,800	0,154
12,900	0,154
13,000	0,167
13,100	0,167
13,200	0,167
13,300	0,167
13,400	0,167
13,500	0,167
13,600	0,167
13,700	0,167
13,800	0,194
13,900	0,287
14,000	0,431
14,100	0,526
14,200	0,684
14,300	0,939
14,400	1,139
14,500	1,394
14,600	1,662
14,700	2,061
14,800	2,425
14,900	2,818
15,000	3,179
15,100	3,623
15,200	4,008
15,300	4,525
15,400	5,030
15,500	5,544
15,600	6,019
15,700	6,554
15,800	7,114
15,900	7,673
16,000	8,208
16,100	8,796
16,200	9,235
16,300	9,825
16,400	10,434
16,500	10,979
16,600	11,563
16,700	12,155
16,800	12,795
16,900	13,431
17,000	14,027
17,100	14,678
17,200	15,234
17,300	15,920
17,400	16,484
17,500	17,122
17,600	17,776
17,700	18,432
17,800	19,014
17,900	19,661
18,000	20,296
18,100	20,930
18,200	21,567
18,300	22,226
18,400	22,823
18,500	23,501
18,600	24,042
18,700	24,704
18,800	25,342
18,900	26,016
19,000	26,588
19,100	27,246
19,200	27,878
19,300	28,486
19,400	29,144
19,500	29,765
19,600	30,357
19,700	31,029
19,800	31,658
19,900	32,241
20,000	32,903
20,100	33,546
20,200	34,124
20,300	34,800
20,400	35,375
20,500	35,947
20,600	36,480
20,700	37,077
20,800	37,698
20,900	38,353
21,000	38,938
21,100	39,542
21,200	40,140
21,300	40,739
21,400	41,378
21,500	42,013
21,600	42,570
21,700	43,229
21,800	43,788
21,900	44,392
22,000	45,003
22,100	45,611
22,200	46,199
22,300	46,828
22,400	47,387
22,500	48,044
22,600	48,582
22,700	49,169
22,800	49,742
22,900	50,334
23,000	50,923
23,100	51,504
23,200	52,111
23,300	52,728
23,400	53,327
23,500	53,837
23,600	54,425
23,700	55,000
23,800	55,625
23,900	56,215
24,000	56,784
24,100	57,387
24,200	57,884
24,300	58,499
24,400	59,032
24,500	59,591
24,600	60,183
24,700	60,754
24,800	61,353
24,900	61,893
25,000	62,443
25,100	62,913
25,200	63,445
25,300	64,018
25,400	64,568
25,500	65,135
25,600	65,710
25,700	66,201
25,800	66,791
25,900	67,332
26,000	67,868
26,100	68,415
26,200	69,010
26,300	69,543
26,400	70,087
26,500	70,664
26,600	71,142
26,700	71,716
26,800	72,275
26,900	72,779
27,000	73,330
27,100	73,899
27,200	74,428
27,300	74,973
27,400	75,472
27,500	75,978
27,600	76,500
27,700	77,094
27,800	77,612
27,900	78,118
28,000	78,645
28,100	79,192
28,200	79,690
28,300	80,203
28,400	80,729
28,500	81,238
28,600	81,760
