Tc Initial, Run #1
Time ( s )	Y (  )
0,350	21,933
0,450	21,933
0,550	21,933
0,650	21,933
0,750	21,933
0,850	21,933
0,950	21,933
1,050	21,933
1,150	21,933
1,250	21,933
1,350	21,933
1,450	21,933
1,550	21,933
1,650	21,933
1,750	21,933
1,850	21,933
1,950	21,933
2,050	21,933
2,150	21,933
2,250	21,933
2,350	21,933
2,450	21,933
2,550	21,933
2,650	21,933
2,750	21,933
2,850	21,933
2,950	21,933
3,050	21,933
3,150	21,933
3,250	21,933
3,350	21,933
3,450	21,933
3,550	21,933
3,650	21,933
3,750	21,933
3,850	21,933
3,950	21,933
4,050	21,933
4,150	21,933
4,250	21,933
4,350	21,933
4,450	21,933
4,550	21,933
4,650	21,933
4,750	21,933
4,850	21,933
4,950	21,933
5,050	21,933
5,150	21,933
5,250	21,933
5,350	21,933
5,450	21,933
5,550	21,933
5,650	21,933
5,750	21,933
5,850	21,933
5,950	21,933
6,050	21,933
6,150	21,933
6,250	21,933
6,350	21,933
6,450	21,933
6,550	21,933
6,650	21,933
6,750	21,933
6,850	21,933
6,950	21,933
7,050	21,933
7,150	21,933
7,250	21,933
7,350	21,933
7,450	21,933
7,550	21,933
7,650	21,933
7,750	21,933
7,850	21,933
7,950	21,933
8,050	21,933
8,150	21,933
8,250	21,933
8,350	21,933
8,450	21,933
8,550	21,933
8,650	21,933
8,750	21,933
8,850	21,933
8,950	21,933
9,050	21,933
9,150	21,933
9,250	21,933
9,350	21,933
9,450	21,933
9,550	21,933
9,650	21,933
9,750	21,933
9,850	21,933
9,950	21,933
10,050	21,933
10,150	21,933
10,250	21,933
10,350	21,933
10,450	21,933
10,550	21,933
10,650	21,933
10,750	21,933
10,850	21,933
10,950	21,933
11,050	21,933
11,150	21,933
11,250	21,933
11,350	21,933
11,450	21,933
11,550	21,933
11,650	21,933
11,750	21,933
11,850	21,933
11,950	21,933
12,050	21,933
12,150	21,933
12,250	21,933
12,350	21,933
12,450	21,933
12,550	21,933
12,650	21,933
12,750	21,933
12,850	21,933
12,950	21,933
13,050	21,933
13,150	21,933
13,250	21,933
13,350	21,933
13,450	21,933
13,550	21,933
13,650	21,933
13,750	21,933
13,850	21,933
13,950	21,933
14,050	21,933
14,150	21,933
14,250	21,933
14,350	21,933
14,450	21,933
14,550	21,933
14,650	21,933
14,750	21,933
14,850	21,933
14,950	21,933
15,050	21,933
15,150	21,933
15,250	21,933
15,350	21,933
15,450	21,933
15,550	21,933
15,650	21,933
15,750	21,933
15,850	21,933
15,950	21,933
16,050	21,933
16,150	21,933
16,250	21,933
16,350	21,933
16,450	21,933
16,550	21,933
16,650	21,933
16,750	21,933
16,850	21,933
16,950	21,933
17,050	21,933
17,150	21,933
17,250	21,933
17,350	21,933
17,450	21,933
17,550	21,933
17,650	21,933
17,750	21,933
17,850	21,933
17,950	21,933
18,050	21,933
18,150	21,933
18,250	21,933
18,350	21,933
18,450	21,933
18,550	21,933
18,650	21,933
18,750	21,933
18,850	21,933
18,950	21,933
19,050	21,933
19,150	21,933
19,250	21,933
19,350	21,933
19,450	21,933
19,550	21,933
19,650	21,933
19,750	21,933
19,850	21,933
19,950	21,933
20,050	21,933
20,150	21,933
20,250	21,933
20,350	21,933
20,450	21,933
20,550	21,933
20,650	21,933
20,750	21,933
20,850	21,933
20,950	21,933
21,050	21,933
21,150	21,933
21,250	21,933
21,350	21,933
21,450	21,933
21,550	21,933
21,650	21,933
21,750	21,933
21,850	21,933
21,950	21,933
22,050	21,933
22,150	21,933
22,250	21,933
22,350	21,933
22,450	21,933
22,550	21,933
22,650	21,933
22,750	21,933
22,850	21,933
22,950	21,933
23,050	21,933
23,150	21,933
23,250	21,933
23,350	21,933
23,450	21,933
23,550	21,933
23,650	21,933
23,750	21,933
23,850	21,933
23,950	21,933
24,050	21,933
24,150	21,933
24,250	21,933
24,350	21,933
24,450	21,933
24,550	21,933
24,650	21,933
24,750	21,933
24,850	21,933
24,950	21,933
25,050	21,933
25,150	21,933
25,250	21,933
25,350	21,933
25,450	21,933
25,550	21,933
25,650	21,933
25,750	21,933
25,850	21,933
25,950	21,933
26,050	21,933
26,150	21,933
26,250	21,933
26,350	21,933
26,450	21,933
26,550	21,933
26,650	21,933
26,750	21,933
26,850	21,933
26,950	21,933
27,050	21,933
27,150	21,933
27,250	21,933
27,350	21,933
27,450	21,933
27,550	21,933
27,650	21,933
27,750	21,933
27,850	21,933
27,950	21,933
28,050	21,933
28,150	21,933
28,250	21,933
28,350	21,933
28,450	21,933
28,550	21,933
28,650	21,933
28,750	21,933
28,850	21,933
28,950	21,933
29,050	21,933
29,150	21,933
29,250	21,933
29,350	21,933
29,450	21,933
29,550	21,933
29,650	21,933
29,750	21,933
29,850	21,933
29,950	21,933
30,050	21,933
30,150	21,933
30,250	21,933
30,350	21,933
30,450	21,933
30,550	21,933
30,650	21,933
30,750	21,933
30,850	21,933
30,950	21,933
31,050	21,933
31,150	21,933
31,250	21,933
31,350	21,933
31,450	21,933
31,550	21,933
31,650	21,933
31,750	21,933
31,850	21,933
31,950	21,933
32,050	21,933
32,150	21,933
32,250	21,933
32,350	21,933
32,450	21,933
32,550	21,933
32,650	21,933
32,750	21,933
32,850	21,933
32,950	21,933
33,050	21,933
33,150	21,933
33,250	21,933
33,350	21,933
33,450	21,933
33,550	21,933
33,650	21,933
33,750	21,933
33,850	21,933
33,950	21,933
34,050	21,933
34,150	21,933
34,250	21,933
34,350	21,933
34,450	21,933
34,550	21,933
34,650	21,933
34,750	21,933
34,850	21,933
34,950	21,933
35,050	21,933
35,150	21,933
35,250	21,933
35,350	21,933
35,450	21,933
35,550	21,933
35,650	21,933
35,750	21,933
35,850	21,933
35,950	21,933
36,050	21,933
36,150	21,933
36,250	21,933
36,350	21,933
36,450	21,933
36,550	21,933
36,650	21,933
36,750	21,933
36,850	21,933
36,950	21,933
37,050	21,933
37,150	21,933
37,250	21,933
37,350	21,933
37,450	21,933
37,550	21,933
37,650	21,933
37,750	21,933
37,850	21,933
37,950	21,933
38,050	21,933
38,150	21,933
38,250	21,933
38,350	21,933
38,450	21,933
38,550	21,933
38,650	21,933
38,750	21,933
38,850	21,933
38,950	21,933
39,050	21,933
39,150	21,933
39,250	21,933
39,350	21,933
39,450	21,933
39,550	21,933
39,650	21,933
39,750	21,933
39,850	21,933
39,950	21,933
40,050	21,933
40,150	21,933
40,250	21,933
40,350	21,933
40,450	21,933
40,550	21,933
40,650	21,933
40,750	21,933
40,850	21,933
40,950	21,933
41,050	21,933
41,150	21,933
41,250	21,933
41,350	21,933
41,450	21,933
41,550	21,933
41,650	21,933
41,750	21,933
41,850	21,933
41,950	21,933
42,050	21,933
42,150	21,933
42,250	21,933
42,350	21,933
42,450	21,933
42,550	21,933
42,650	21,933
42,750	21,933
42,850	21,933
42,950	21,933
43,050	21,933
43,150	21,933
43,250	21,933
43,350	21,933
43,450	21,933
43,550	21,933
43,650	21,933
43,750	21,933
43,850	21,933
43,950	21,933
44,050	21,933
44,150	21,933
44,250	21,933
44,350	21,933
44,450	21,933
44,550	21,933
44,650	21,933
44,750	21,933
44,850	21,933
44,950	21,933
45,050	21,933
45,150	21,933
45,250	21,933
45,350	21,933
45,450	21,933
45,550	21,933
45,650	21,933
45,750	21,933
45,850	21,933
45,950	21,933
46,050	21,933
46,150	21,933
46,250	21,933
46,350	21,933
46,450	21,933
46,550	21,933
46,650	21,933
46,750	21,933
46,850	21,933
46,950	21,933
47,050	21,933
47,150	21,933
47,250	21,933
47,350	21,933
47,450	21,933
47,550	21,933
47,650	21,933
47,750	21,933
47,850	21,933
47,950	21,933
48,050	21,933
48,150	21,933
48,250	21,933
48,350	21,933
48,450	21,933
48,550	21,933
48,650	21,933
48,750	21,933
48,850	21,933
48,950	21,933
49,050	21,933
49,150	21,933
49,250	21,933
49,350	21,933
49,450	21,933
49,550	21,933
49,650	21,933
49,750	21,933
49,850	21,933
49,950	21,933
50,050	21,933
50,150	21,933
50,250	21,933
50,350	21,933
50,450	21,933
50,550	21,933
50,650	21,933
50,750	21,933
50,850	21,933
50,950	21,933
51,050	21,933
51,150	21,933
51,250	21,933
51,350	21,933
51,450	21,933
51,550	21,933
51,650	21,933
51,750	21,933
51,850	21,933
51,950	21,933
52,050	21,933
52,150	21,933
52,250	21,933
52,350	21,933
52,450	21,933
52,550	21,933
52,650	21,933
52,750	21,933
52,850	21,933
52,950	21,933
53,050	21,933
53,150	21,933
53,250	21,933
53,350	21,933
53,450	21,933
53,550	21,933
53,650	21,933
53,750	21,933
53,850	21,933
53,950	21,933
54,050	21,933
54,150	21,933
54,250	21,933
54,350	21,933
54,450	21,933
54,550	21,933
54,650	21,933
54,750	21,933
54,850	21,933
54,950	21,933
55,050	21,933
55,150	21,933
55,250	21,933
55,350	21,933
55,450	21,933
55,550	21,933
55,650	21,933
55,750	21,933
55,850	21,933
55,950	21,933
56,050	21,933
56,150	21,933
56,250	21,933
56,350	21,933
56,450	21,933
56,550	21,933
56,650	21,933
56,750	21,933
56,850	21,933
56,950	21,933
57,050	21,933
57,150	21,933
57,250	21,933
57,350	21,933
57,450	21,933
57,550	21,933
57,650	21,933
57,750	21,933
57,850	21,933
57,950	21,933
58,050	21,933
58,150	21,933
58,250	21,933
58,350	21,933
58,450	21,933
58,550	21,933
58,650	21,933
58,750	21,933
58,850	21,933
58,950	21,933
59,050	21,933
59,150	21,933
59,250	21,933
59,350	21,933
59,450	21,933
59,550	21,933
59,650	21,933
59,750	21,933
59,850	21,933
59,950	21,933
60,050	21,933
60,150	21,933
60,250	21,933
60,350	21,933
60,450	21,933
60,550	21,933
60,650	21,933
60,750	21,933
60,850	21,933
60,950	21,933
61,050	21,933
61,150	21,933
61,250	21,933
61,350	21,933
61,450	21,933
61,550	21,933
61,650	21,933
61,750	21,933
61,850	21,933
61,950	21,933
62,050	21,933
62,150	21,933
62,250	21,933
62,350	21,933
62,450	21,933
62,550	21,933
62,650	21,933
62,750	21,933
62,850	21,933
62,950	21,933
63,050	21,933
63,150	21,933
63,250	21,933
63,350	21,933
63,450	21,933
63,550	21,933
63,650	21,933
63,750	21,933
63,850	21,933
63,950	21,933
64,050	21,933
64,150	21,933
64,250	21,933
64,350	21,933
64,450	21,933
64,550	21,933
64,650	21,933
64,750	21,933
64,850	21,933
64,950	21,933
65,050	21,933
65,150	21,933
65,250	21,933
65,350	21,933
65,450	21,933
65,550	21,933
65,650	21,933
65,750	21,933
65,850	21,933
65,950	21,933
66,050	21,933
66,150	21,933
66,250	21,933
66,350	21,933
66,450	21,933
66,550	21,933
66,650	21,933
66,750	21,933
66,850	21,933
66,950	21,933
67,050	21,933
67,150	21,933
67,250	21,933
67,350	21,933
67,450	21,933
67,550	21,933
67,650	21,933
67,750	21,933
67,850	21,933
67,950	21,933
68,050	21,933
68,150	21,933
68,250	21,933
68,350	21,933
68,450	21,933
68,550	21,933
68,650	21,933
68,750	21,933
68,850	21,933
68,950	21,933
69,050	21,933
69,150	21,933
69,250	21,933
69,350	21,933
69,450	21,933
69,550	21,933
69,650	21,933
69,750	21,933
69,850	21,933
69,950	21,933
70,050	21,933
70,150	21,933
70,250	21,933
70,350	21,933
70,450	21,933
70,550	21,933
70,650	21,933
70,750	21,933
70,850	21,933
70,950	21,933
71,050	21,933
71,150	21,933
71,250	21,933
71,350	21,933
71,450	21,933
71,550	21,933
71,650	21,933
71,750	21,933
71,850	21,933
71,950	21,933
72,050	21,933
72,150	21,933
72,250	21,933
72,350	21,933
72,450	21,933
72,550	21,933
72,650	21,933
72,750	21,933
72,850	21,933
72,950	21,933
73,050	21,933
73,150	21,933
73,250	21,933
73,350	21,933
73,450	21,933
73,550	21,933
73,650	21,933
73,750	21,933
73,850	21,933
73,950	21,933
74,050	21,933
74,150	21,933
74,250	21,933
74,350	21,933
74,450	21,933
74,550	21,933
74,650	21,933
74,750	21,933
74,850	21,933
74,950	21,933
75,050	21,933
75,150	21,933
75,250	21,933
75,350	21,933
75,450	21,933
75,550	21,933
75,650	21,933
75,750	21,933
75,850	21,933
75,950	21,933
76,050	21,933
76,150	21,933
76,250	21,933
76,350	21,933
76,450	21,933
76,550	21,933
76,650	21,933
76,750	21,933
76,850	21,933
76,950	21,933
77,050	21,933
77,150	21,933
77,250	21,933
77,350	21,933
77,450	21,933
77,550	21,933
77,650	21,933
77,750	21,933
77,850	21,933
77,950	21,933
78,050	21,933
78,150	21,933
78,250	21,933
78,350	21,933
78,450	21,933
78,550	21,933
78,650	21,933
78,750	21,933
78,850	21,933
78,950	21,933
79,050	21,933
79,150	21,933
79,250	21,933
79,350	21,933
79,450	21,933
79,550	21,933
79,650	21,933
79,750	21,933
79,850	21,933
79,950	21,933
80,050	21,933
80,150	21,933
80,250	21,933
80,350	21,933
80,450	21,933
80,550	21,933
80,650	21,933
80,750	21,933
80,850	21,933
80,950	21,933
81,050	21,933
81,150	21,933
81,250	21,933
81,350	21,933
81,450	21,933
81,550	21,933
81,650	21,933
81,750	21,933
81,850	21,933
81,950	21,933
82,050	21,933
82,150	21,933
82,250	21,933
82,350	21,933
82,450	21,933
82,550	21,933
82,650	21,933
82,750	21,933
82,850	21,933
82,950	21,933
83,050	21,933
83,150	21,933
83,250	21,933
83,350	21,933
83,450	21,933
83,550	21,933
83,650	21,933
83,750	21,933
83,850	21,933
83,950	21,933
84,050	21,933
84,150	21,933
84,250	21,933
84,350	21,933
84,450	21,933
84,550	21,933
84,650	21,933
84,750	21,933
84,850	21,933
84,950	21,933
85,050	21,933
85,150	21,933
85,250	21,933
85,350	21,933
85,450	21,933
85,550	21,933
85,650	21,933
85,750	21,933
85,850	21,933
85,950	21,933
86,050	21,933
86,150	21,933
86,250	21,933
86,350	21,933
86,450	21,933
86,550	21,933
86,650	21,933
86,750	21,933
86,850	21,933
86,950	21,933
87,050	21,933
87,150	21,933
87,250	21,933
87,350	21,933
87,450	21,933
87,550	21,933
87,650	21,933
87,750	21,933
87,850	21,933
87,950	21,933
88,050	21,933
88,150	21,933
88,250	21,933
88,350	21,933
88,450	21,933
88,550	21,933
88,650	21,933
88,750	21,933
88,850	21,933
88,950	21,933
89,050	21,933
89,150	21,933
89,250	21,933
89,350	21,933
89,450	21,933
89,550	21,933
89,650	21,933
89,750	21,933
89,850	21,933
89,950	21,933
90,050	21,933
90,150	21,933
90,250	21,933
90,350	21,933
90,450	21,933
90,550	21,933
90,650	21,933
90,750	21,933
90,850	21,933
90,950	21,933
91,050	21,933
91,150	21,933
91,250	21,933
91,350	21,933
91,450	21,933
91,550	21,933
91,650	21,933
91,750	21,933
91,850	21,933
91,950	21,933
92,050	21,933
92,150	21,933
92,250	21,933
92,350	21,933
92,450	21,933
92,550	21,933
92,650	21,933
92,750	21,933
92,850	21,933
92,950	21,933
93,050	21,933
93,150	21,933
93,250	21,933
93,350	21,933
93,450	21,933
93,550	21,933
93,650	21,933
93,750	21,933
93,850	21,933
93,950	21,933
94,050	21,933
94,150	21,933
94,250	21,933
94,350	21,933
94,450	21,933
94,550	21,933
94,650	21,933
94,750	21,933
94,850	21,933
94,950	21,933
95,050	21,933
95,150	21,933
95,250	21,933
95,350	21,933
95,450	21,933
95,550	21,933
95,650	21,933
95,750	21,933
95,850	21,933
95,950	21,933
96,050	21,933
96,150	21,933
96,250	21,933
96,350	21,933
96,450	21,933
96,550	21,933
96,650	21,933
96,750	21,933
96,850	21,933
96,950	21,933
97,050	21,933
97,150	21,933
97,250	21,933
97,350	21,933
97,450	21,933
97,550	21,933
97,650	21,933
97,750	21,933
97,850	21,933
97,950	21,933
98,050	21,933
98,150	21,933
98,250	21,933
98,350	21,933
98,450	21,933
98,550	21,933
98,650	21,933
98,750	21,933
98,850	21,933
98,950	21,933
99,050	21,933
99,150	21,933
99,250	21,933
99,350	21,933
99,450	21,933
99,550	21,933
99,650	21,933
99,750	21,933
99,850	21,933
99,950	21,933
100,050	21,933
100,150	21,933
100,250	21,933
100,350	21,933
100,450	21,933
100,550	21,933
100,650	21,933
100,750	21,933
100,850	21,933
100,950	21,933
101,050	21,933
101,150	21,933
101,250	21,933
101,350	21,933
101,450	21,933
101,550	21,933
101,650	21,933
101,750	21,933
101,850	21,933
101,950	21,933
102,050	21,933
102,150	21,933
102,250	21,933
102,350	21,933
102,450	21,933
102,550	21,933
102,650	21,933
102,750	21,933
102,850	21,933
102,950	21,933
103,050	21,933
103,150	21,933
103,250	21,933
103,350	21,933
103,450	21,933
103,550	21,933
103,650	21,933
103,750	21,933
103,850	21,933
103,950	21,933
104,050	21,933
104,150	21,933
104,250	21,933
104,350	21,933
104,450	21,933
104,550	21,933
104,650	21,933
104,750	21,933
104,850	21,933
104,950	21,933
105,050	21,933
105,150	21,933
105,250	21,933
105,350	21,933
105,450	21,933
105,550	21,933
105,650	21,933
105,750	21,933
105,850	21,933
105,950	21,933
106,050	21,933
106,150	21,933
106,250	21,933
106,350	21,933
106,450	21,933
106,550	21,933
106,650	21,933
106,750	21,933
106,850	21,933
106,950	21,933
107,050	21,933
107,150	21,933
107,250	21,933
107,350	21,933
107,450	21,933
107,550	21,933
107,650	21,933
107,750	21,933
107,850	21,933
107,950	21,933
108,050	21,933
108,150	21,933
108,250	21,933
108,350	21,933
108,450	21,933
108,550	21,933
108,650	21,933
108,750	21,933
108,850	21,933
108,950	21,933
109,050	21,933
109,150	21,933
109,250	21,933
109,350	21,933
109,450	21,933
109,550	21,933
109,650	21,933
109,750	21,933
109,850	21,933
109,950	21,933
110,050	21,933
110,150	21,933
110,250	21,933
110,350	21,933
110,450	21,933
110,550	21,933
110,650	21,933
110,750	21,933
110,850	21,933
110,950	21,933
111,050	21,933
111,150	21,933
111,250	21,933
111,350	21,933
111,450	21,933
111,550	21,933
111,650	21,933
111,750	21,933
111,850	21,933
111,950	21,933
112,050	21,933
112,150	21,933
112,250	21,933
112,350	21,933
112,450	21,933
112,550	21,933
112,650	21,933
112,750	21,933
112,850	21,933
112,950	21,933
113,050	21,933
113,150	21,933
113,250	21,933
113,350	21,933
113,450	21,933
113,550	21,933
113,650	21,933
113,750	21,933
113,850	21,933
113,950	21,933
114,050	21,933
114,150	21,933
114,250	21,933
114,350	21,933
114,450	21,933
114,550	21,933
114,650	21,933
114,750	21,933
114,850	21,933
114,950	21,933
115,050	21,933
115,150	21,933
115,250	21,933
115,350	21,933
115,450	21,933
115,550	21,933
115,650	21,933
115,750	21,933
115,850	21,933
115,950	21,933
116,050	21,933
116,150	21,933
116,250	21,933
116,350	21,933
116,450	21,933
116,550	21,933
116,650	21,933
116,750	21,933
116,850	21,933
116,950	21,933
117,050	21,933
117,150	21,933
117,250	21,933
117,350	21,933
117,450	21,933
117,550	21,933
117,650	21,933
117,750	21,933
117,850	21,933
117,950	21,933
118,050	21,933
118,150	21,933
118,250	21,933
118,350	21,933
118,450	21,933
118,550	21,933
118,650	21,933
118,750	21,933
118,850	21,933
118,950	21,933
119,050	21,933
119,150	21,933
119,250	21,933
119,350	21,933
119,450	21,933
119,550	21,933
119,650	21,933
119,750	21,933
119,850	21,933
119,950	21,933
120,050	21,933
120,150	21,933
120,250	21,933
120,350	21,933
120,450	21,933
120,550	21,933
120,650	21,933
120,750	21,933
120,850	21,933
120,950	21,933
121,050	21,933
121,150	21,933
121,250	21,933
121,350	21,933
121,450	21,933
121,550	21,933
121,650	21,933
121,750	21,933
121,850	21,933
121,950	21,933
122,050	21,933
122,150	21,933
122,250	21,933
122,350	21,933
122,450	21,933
122,550	21,933
122,650	21,933
122,750	21,933
122,850	21,933
122,950	21,933
123,050	21,933
123,150	21,933
123,250	21,933
123,350	21,933
123,450	21,933
123,550	21,933
123,650	21,933
123,750	21,933
123,850	21,933
123,950	21,933
124,050	21,933
124,150	21,933
124,250	21,933
124,350	21,933
124,450	21,933
124,550	21,933
124,650	21,933
124,750	21,933
124,850	21,933
124,950	21,933
125,050	21,933
125,150	21,933
125,250	21,933
125,350	21,933
125,450	21,933
125,550	21,933
125,650	21,933
125,750	21,933
125,850	21,933
125,950	21,933
126,050	21,933
126,150	21,933
126,250	21,933
126,350	21,933
126,450	21,933
126,550	21,933
126,650	21,933
126,750	21,933
126,850	21,933
126,950	21,933
127,050	21,933
127,150	21,933
127,250	21,933
127,350	21,933
127,450	21,933
127,550	21,933
127,650	21,933
127,750	21,933
127,850	21,933
127,950	21,933
128,050	21,933
128,150	21,933
128,250	21,933
128,350	21,933
128,450	21,933
128,550	21,933
128,650	21,933
128,750	21,933
128,850	21,933
128,950	21,933
129,050	21,933
129,150	21,933
129,250	21,933
129,350	21,933
129,450	21,933
129,550	21,933
129,650	21,933
129,750	21,933
129,850	21,933
129,950	21,933
130,050	21,933
130,150	21,933
130,250	21,933
130,350	21,933
130,450	21,933
130,550	21,933
130,650	21,933
130,750	21,933
130,850	21,933
130,950	21,933
131,050	21,933
131,150	21,933
131,250	21,933
131,350	21,933
131,450	21,933
131,550	21,933
131,650	21,933
131,750	21,933
131,850	21,933
131,950	21,933
132,050	21,933
132,150	21,933
132,250	21,933
132,350	21,933
132,450	21,933
132,550	21,933
132,650	21,933
132,750	21,933
132,850	21,933
132,950	21,933
133,050	21,933
133,150	21,933
133,250	21,933
133,350	21,933
133,450	21,933
133,550	21,933
133,650	21,933
133,750	21,933
133,850	21,933
133,950	21,933
134,050	21,933
134,150	21,933
134,250	21,933
134,350	21,933
134,450	21,933
134,550	21,933
134,650	21,933
134,750	21,933
134,850	21,933
134,950	21,933
135,050	21,933
135,150	21,933
135,250	21,933
135,350	21,933
135,450	21,933
135,550	21,933
135,650	21,933
135,750	21,933
135,850	21,933
135,950	21,933
136,050	21,933
136,150	21,933
136,250	21,933
136,350	21,933
136,450	21,933
136,550	21,933
136,650	21,933
136,750	21,933
136,850	21,933
136,950	21,933
137,050	21,933
137,150	21,933
137,250	21,933
137,350	21,933
137,450	21,933
137,550	21,933
