Temperature 1 (cold), Run #1
Time ( s )	Temperature  ( °C )
0,000	21,934
0,100	21,931
0,200	21,931
0,300	21,931
0,400	21,933
0,500	21,935
0,600	21,934
0,700	21,932
0,800	21,932
0,900	21,934
1,000	21,933
1,100	21,933
1,200	21,934
1,300	21,933
1,400	21,932
1,500	21,932
1,600	21,934
1,700	21,934
1,800	21,934
1,900	21,932
2,000	21,933
2,100	21,932
2,200	21,933
2,300	21,934
2,400	21,932
2,500	21,934
2,600	21,934
2,700	21,933
2,800	21,932
2,900	21,936
3,000	21,934
3,100	21,934
3,200	21,932
3,300	21,934
3,400	21,935
3,500	21,933
3,600	21,935
3,700	21,933
3,800	21,935
3,900	21,936
4,000	21,935
4,100	21,933
4,200	21,935
4,300	21,936
4,400	21,934
4,500	21,935
4,600	21,936
4,700	21,934
4,800	21,936
4,900	21,935
5,000	21,934
5,100	21,933
5,200	21,933
5,300	21,936
5,400	21,934
5,500	21,934
5,600	21,934
5,700	21,935
5,800	21,934
5,900	21,935
6,000	21,935
6,100	21,934
6,200	21,936
6,300	21,936
6,400	21,933
6,500	21,935
6,600	21,935
6,700	21,934
6,800	21,936
6,900	21,934
7,000	21,935
7,100	21,934
7,200	21,935
7,300	21,934
7,400	21,935
7,500	21,937
7,600	21,935
7,700	21,935
7,800	21,933
7,900	21,936
8,000	21,936
8,100	21,937
8,200	21,933
8,300	21,936
8,400	21,938
8,500	21,934
8,600	21,935
8,700	21,937
8,800	21,936
8,900	21,937
9,000	21,936
9,100	21,935
9,200	21,936
9,300	21,936
9,400	21,937
9,500	21,937
9,600	21,938
9,700	21,937
9,800	21,939
9,900	21,936
10,000	21,936
10,100	21,936
10,200	21,936
10,300	21,936
10,400	21,934
10,500	21,934
10,600	21,935
10,700	21,937
10,800	21,938
10,900	21,936
11,000	21,936
11,100	21,938
11,200	21,937
11,300	21,933
11,400	21,937
11,500	21,938
11,600	21,938
11,700	21,937
11,800	21,939
11,900	21,937
12,000	21,936
12,100	21,935
12,200	21,938
12,300	21,938
12,400	21,939
12,500	21,937
12,600	21,937
12,700	21,938
12,800	21,939
12,900	21,938
13,000	21,938
13,100	21,937
13,200	21,938
13,300	21,939
13,400	21,938
13,500	21,936
13,600	21,938
13,700	21,935
13,800	21,931
13,900	21,927
14,000	21,921
14,100	21,913
14,200	21,903
14,300	21,891
14,400	21,880
14,500	21,867
14,600	21,852
14,700	21,831
14,800	21,822
14,900	21,806
15,000	21,785
15,100	21,762
15,200	21,741
15,300	21,717
15,400	21,693
15,500	21,669
15,600	21,646
15,700	21,625
15,800	21,597
15,900	21,571
16,000	21,546
16,100	21,519
16,200	21,494
16,300	21,465
16,400	21,440
16,500	21,411
16,600	21,384
16,700	21,356
16,800	21,328
16,900	21,303
17,000	21,273
17,100	21,246
17,200	21,218
17,300	21,192
17,400	21,161
17,500	21,134
17,600	21,107
17,700	21,078
17,800	21,049
17,900	21,023
18,000	20,995
18,100	20,967
18,200	20,938
18,300	20,910
18,400	20,883
18,500	20,855
18,600	20,828
18,700	20,797
18,800	20,771
18,900	20,744
19,000	20,715
19,100	20,689
19,200	20,660
19,300	20,633
19,400	20,607
19,500	20,576
19,600	20,550
19,700	20,521
19,800	20,496
19,900	20,466
20,000	20,440
20,100	20,413
20,200	20,387
20,300	20,361
20,400	20,334
20,500	20,309
