Temperature 2 (hot), Run #1
Time ( s )	Temperature  ( °C )
0,000	21,303
0,100	21,305
0,200	21,305
0,300	21,305
0,400	21,306
0,500	21,309
0,600	21,309
0,700	21,307
0,800	21,307
0,900	21,308
1,000	21,305
1,100	21,306
1,200	21,306
1,300	21,308
1,400	21,306
1,500	21,306
1,600	21,304
1,700	21,309
1,800	21,306
1,900	21,307
2,000	21,308
2,100	21,305
2,200	21,305
2,300	21,306
2,400	21,306
2,500	21,306
2,600	21,305
2,700	21,309
2,800	21,307
2,900	21,305
3,000	21,308
3,100	21,308
3,200	21,307
3,300	21,308
3,400	21,307
3,500	21,307
3,600	21,308
3,700	21,306
3,800	21,306
3,900	21,305
4,000	21,307
4,100	21,305
4,200	21,309
4,300	21,306
4,400	21,307
4,500	21,306
4,600	21,304
4,700	21,307
4,800	21,311
4,900	21,307
5,000	21,309
5,100	21,309
5,200	21,306
5,300	21,309
5,400	21,305
5,500	21,307
5,600	21,307
5,700	21,309
5,800	21,307
5,900	21,309
6,000	21,308
6,100	21,309
6,200	21,311
6,300	21,309
6,400	21,307
6,500	21,308
6,600	21,307
6,700	21,308
6,800	21,309
6,900	21,309
7,000	21,307
7,100	21,308
7,200	21,307
7,300	21,309
7,400	21,308
7,500	21,308
7,600	21,310
7,700	21,307
7,800	21,308
7,900	21,308
8,000	21,307
8,100	21,309
8,200	21,309
8,300	21,309
8,400	21,307
8,500	21,305
8,600	21,310
8,700	21,309
8,800	21,310
8,900	21,309
9,000	21,308
9,100	21,312
9,200	21,310
9,300	21,310
9,400	21,309
9,500	21,310
9,600	21,308
9,700	21,308
9,800	21,310
9,900	21,308
10,000	21,309
10,100	21,310
10,200	21,310
10,300	21,308
10,400	21,308
10,500	21,309
10,600	21,309
10,700	21,309
10,800	21,311
10,900	21,310
11,000	21,308
11,100	21,311
11,200	21,310
11,300	21,309
11,400	21,309
11,500	21,308
11,600	21,309
11,700	21,309
11,800	21,308
11,900	21,309
12,000	21,309
12,100	21,311
12,200	21,310
12,300	21,309
12,400	21,307
12,500	21,307
12,600	21,310
12,700	21,311
12,800	21,309
12,900	21,310
13,000	21,313
13,100	21,307
13,200	21,311
13,300	21,308
13,400	21,310
13,500	21,310
13,600	21,312
13,700	21,312
13,800	21,314
13,900	21,320
14,000	21,328
14,100	21,334
14,200	21,343
14,300	21,358
14,400	21,370
14,500	21,384
14,600	21,400
14,700	21,423
14,800	21,445
14,900	21,468
15,000	21,489
15,100	21,515
15,200	21,537
15,300	21,568
15,400	21,597
15,500	21,627
15,600	21,655
15,700	21,686
15,800	21,719
15,900	21,752
16,000	21,783
16,100	21,817
16,200	21,843
16,300	21,878
16,400	21,913
16,500	21,945
16,600	21,979
16,700	22,014
16,800	22,051
16,900	22,088
17,000	22,123
17,100	22,161
17,200	22,194
17,300	22,234
17,400	22,267
17,500	22,304
17,600	22,342
17,700	22,381
17,800	22,415
17,900	22,453
18,000	22,490
18,100	22,527
18,200	22,564
18,300	22,603
18,400	22,638
18,500	22,677
18,600	22,709
18,700	22,748
18,800	22,785
18,900	22,824
19,000	22,858
19,100	22,896
19,200	22,933
19,300	22,969
19,400	23,007
19,500	23,044
19,600	23,078
19,700	23,118
19,800	23,154
19,900	23,188
20,000	23,227
20,100	23,265
20,200	23,298
20,300	23,338
20,400	23,372
20,500	23,405
20,600	23,436
20,700	23,471
20,800	23,508
20,900	23,546
21,000	23,580
21,100	23,615
21,200	23,650
21,300	23,685
21,400	23,723
21,500	23,760
21,600	23,792
21,700	23,831
21,800	23,864
21,900	23,899
22,000	23,935
22,100	23,970
22,200	24,005
22,300	24,041
22,400	24,074
22,500	24,113
22,600	24,144
22,700	24,178
22,800	24,212
22,900	24,246
23,000	24,281
23,100	24,315
23,200	24,350
23,300	24,386
23,400	24,421
23,500	24,451
23,600	24,486
23,700	24,519
23,800	24,556
23,900	24,590
24,000	24,624
24,100	24,659
24,200	24,688
24,300	24,724
24,400	24,755
24,500	24,788
24,600	24,822
24,700	24,856
24,800	24,891
24,900	24,922
25,000	24,955
25,100	24,982
25,200	25,013
25,300	25,047
25,400	25,079
25,500	25,112
25,600	25,146
25,700	25,174
25,800	25,209
25,900	25,241
26,000	25,272
26,100	25,304
26,200	25,339
26,300	25,370
26,400	25,402
26,500	25,435
26,600	25,463
26,700	25,497
26,800	25,530
26,900	25,559
27,000	25,591
27,100	25,625
27,200	25,655
27,300	25,687
