Voltage, Run #1
Time ( s )	Voltage ( V )
0,000	0,026
0,100	0,026
0,200	0,026
0,300	0,031
0,400	0,026
0,500	0,026
0,600	0,026
0,700	0,026
0,800	0,026
0,900	0,026
1,000	0,031
1,100	0,026
1,200	0,026
1,300	0,026
1,400	0,026
1,500	0,031
1,600	0,026
1,700	0,026
1,800	0,026
1,900	0,026
2,000	0,026
2,100	0,026
2,200	0,026
2,300	0,031
2,400	0,026
2,500	0,026
2,600	0,026
2,700	0,026
2,800	0,026
2,900	0,026
3,000	0,026
3,100	0,026
3,200	0,026
3,300	0,026
3,400	0,026
3,500	0,026
3,600	0,031
3,700	0,026
3,800	0,026
3,900	0,026
4,000	0,026
4,100	0,026
4,200	0,026
4,300	0,031
4,400	0,026
4,500	0,026
4,600	0,026
4,700	0,026
4,800	0,026
4,900	0,026
5,000	0,026
5,100	0,026
5,200	0,026
5,300	0,026
5,400	0,026
5,500	0,026
5,600	0,026
5,700	0,026
5,800	0,026
5,900	0,031
6,000	0,026
6,100	0,026
6,200	0,026
6,300	0,026
6,400	0,026
6,500	0,026
6,600	0,031
6,700	0,026
6,800	0,026
6,900	0,026
7,000	0,026
7,100	0,026
7,200	0,026
7,300	0,026
7,400	0,026
7,500	0,026
7,600	0,026
7,700	0,026
7,800	0,026
7,900	0,026
8,000	0,026
8,100	0,026
8,200	0,026
8,300	0,031
8,400	0,026
8,500	0,026
8,600	0,026
8,700	0,026
8,800	0,026
8,900	0,026
9,000	0,026
9,100	0,026
9,200	0,026
9,300	0,026
9,400	0,026
9,500	0,026
9,600	0,031
9,700	0,031
9,800	0,026
9,900	0,026
10,000	0,026
10,100	0,026
10,200	0,031
10,300	0,026
10,400	0,026
10,500	0,026
10,600	0,026
10,700	0,026
10,800	0,026
10,900	0,026
11,000	0,031
11,100	0,026
11,200	0,026
11,300	0,026
11,400	0,026
11,500	0,026
11,600	0,026
11,700	0,026
11,800	0,026
11,900	0,031
12,000	0,026
12,100	0,031
12,200	0,031
12,300	0,026
12,400	0,026
12,500	0,026
12,600	0,026
12,700	0,026
12,800	0,026
12,900	0,026
13,000	0,031
13,100	0,026
13,200	0,026
13,300	3,290
13,400	3,296
13,500	3,306
13,600	3,311
13,700	3,316
13,800	3,316
13,900	3,326
14,000	3,332
14,100	3,332
14,200	3,337
14,300	3,337
14,400	3,342
14,500	3,342
14,600	3,347
14,700	3,347
14,800	3,347
14,900	3,352
15,000	3,352
15,100	3,352
15,200	3,352
15,300	3,357
15,400	3,357
15,500	3,357
15,600	3,363
15,700	3,357
15,800	3,363
15,900	3,363
16,000	3,363
16,100	3,368
16,200	3,363
16,300	3,368
16,400	3,368
16,500	3,368
16,600	3,368
16,700	3,368
16,800	3,368
16,900	3,368
17,000	3,373
17,100	3,368
17,200	3,368
17,300	3,373
17,400	3,373
17,500	3,373
17,600	3,373
17,700	3,378
17,800	3,373
17,900	3,373
18,000	3,373
18,100	3,378
18,200	3,373
18,300	3,378
18,400	3,373
18,500	3,378
18,600	3,378
18,700	3,378
18,800	3,378
18,900	3,378
19,000	3,383
19,100	3,378
19,200	3,383
19,300	3,378
19,400	3,383
19,500	3,378
19,600	3,383
19,700	3,383
19,800	3,383
19,900	3,383
20,000	3,383
20,100	3,383
20,200	3,383
20,300	3,383
20,400	3,383
20,500	3,383
20,600	3,383
20,700	3,388
20,800	3,388
20,900	3,388
21,000	3,388
21,100	3,388
21,200	3,388
21,300	3,388
21,400	3,388
21,500	3,388
21,600	3,394
21,700	3,394
21,800	3,388
21,900	3,394
22,000	3,388
22,100	3,394
22,200	3,394
22,300	3,394
22,400	3,394
22,500	3,394
22,600	3,394
22,700	3,394
22,800	3,394
22,900	3,394
23,000	3,399
23,100	3,394
23,200	3,394
23,300	3,394
23,400	3,399
23,500	3,394
23,600	3,399
23,700	3,399
23,800	3,399
23,900	3,399
24,000	3,399
24,100	3,399
24,200	3,399
24,300	3,399
24,400	3,399
24,500	3,404
24,600	3,404
24,700	3,404
24,800	3,399
24,900	3,399
25,000	3,399
25,100	3,404
25,200	3,409
25,300	3,404
25,400	3,404
25,500	3,404
25,600	3,404
25,700	3,404
25,800	3,409
25,900	3,404
26,000	3,409
26,100	3,404
26,200	3,409
26,300	3,409
26,400	3,409
26,500	3,409
26,600	3,409
26,700	3,409
26,800	3,409
26,900	3,414
27,000	3,409
27,100	3,409
27,200	3,409
27,300	3,414
27,400	3,409
27,500	3,409
27,600	3,414
27,700	3,409
27,800	3,414
27,900	3,414
28,000	3,414
28,100	3,414
28,200	3,414
28,300	3,414
28,400	3,414
28,500	3,419
28,600	3,414
28,700	3,414
28,800	3,414
28,900	3,414
29,000	3,414
29,100	3,419
29,200	3,419
29,300	3,419
