Current, Run #1
Time ( s )	Current ( A )
0,000	5,308E-4
0,100	5,308E-4
0,200	5,308E-4
0,300	5,308E-4
0,400	5,308E-4
0,500	5,308E-4
0,600	5,308E-4
0,700	5,308E-4
0,800	5,308E-4
0,900	5,308E-4
1,000	5,308E-4
1,100	5,308E-4
1,200	5,308E-4
1,300	5,308E-4
1,400	5,308E-4
1,500	5,308E-4
1,600	5,308E-4
1,700	5,308E-4
1,800	5,308E-4
1,900	5,308E-4
2,000	5,308E-4
2,100	0,000
2,200	5,308E-4
2,300	5,308E-4
2,400	5,308E-4
2,500	5,308E-4
2,600	5,308E-4
2,700	5,308E-4
2,800	5,308E-4
2,900	5,308E-4
3,000	5,308E-4
3,100	5,308E-4
3,200	5,308E-4
3,300	5,308E-4
3,400	5,308E-4
3,500	5,308E-4
3,600	5,308E-4
3,700	5,308E-4
3,800	5,308E-4
3,900	1,062E-3
4,000	5,308E-4
4,100	5,308E-4
4,200	5,308E-4
4,300	5,308E-4
4,400	5,308E-4
4,500	5,308E-4
4,600	5,308E-4
4,700	5,308E-4
4,800	5,308E-4
4,900	5,308E-4
5,000	5,308E-4
5,100	5,308E-4
5,200	5,308E-4
5,300	5,308E-4
5,400	5,308E-4
5,500	5,308E-4
5,600	5,308E-4
5,700	0,000
5,800	5,308E-4
5,900	1,062E-3
6,000	5,308E-4
6,100	0,000
6,200	5,308E-4
6,300	5,308E-4
6,400	1,062E-3
6,500	5,308E-4
6,600	5,308E-4
6,700	5,308E-4
6,800	5,308E-4
6,900	5,308E-4
7,000	5,308E-4
7,100	5,308E-4
7,200	1,062E-3
7,300	5,308E-4
7,400	5,308E-4
7,500	5,308E-4
7,600	5,308E-4
7,700	1,062E-3
7,800	5,308E-4
7,900	5,308E-4
8,000	5,308E-4
8,100	5,308E-4
8,200	5,308E-4
8,300	5,308E-4
8,400	5,308E-4
8,500	5,308E-4
8,600	5,308E-4
8,700	5,308E-4
8,800	1,062E-3
8,900	5,308E-4
9,000	5,308E-4
9,100	5,308E-4
9,200	5,308E-4
9,300	5,308E-4
9,400	5,308E-4
9,500	5,308E-4
9,600	5,308E-4
9,700	5,308E-4
9,800	5,308E-4
9,900	5,308E-4
10,000	5,308E-4
10,100	5,308E-4
10,200	5,308E-4
10,300	5,308E-4
10,400	5,308E-4
10,500	5,308E-4
10,600	5,308E-4
10,700	5,308E-4
10,800	5,308E-4
10,900	5,308E-4
11,000	5,308E-4
11,100	5,308E-4
11,200	5,308E-4
11,300	5,308E-4
11,400	5,308E-4
11,500	5,308E-4
11,600	5,308E-4
11,700	5,308E-4
11,800	5,308E-4
11,900	5,308E-4
12,000	5,308E-4
12,100	5,308E-4
12,200	0,000
12,300	5,308E-4
12,400	5,308E-4
12,500	5,308E-4
12,600	1,062E-3
12,700	5,308E-4
12,800	5,308E-4
12,900	5,308E-4
13,000	5,308E-4
13,100	1,062E-3
13,200	5,308E-4
13,300	5,308E-4
13,400	5,308E-4
13,500	5,308E-4
13,600	5,308E-4
13,700	5,308E-4
13,800	5,308E-4
13,900	5,308E-4
14,000	5,308E-4
14,100	5,308E-4
14,200	5,308E-4
14,300	5,308E-4
14,400	0,000
14,500	0,000
14,600	5,308E-4
14,700	5,308E-4
14,800	1,062E-3
14,900	5,308E-4
15,000	5,308E-4
15,100	0,000
15,200	5,308E-4
15,300	0,000
15,400	5,308E-4
15,500	5,308E-4
15,600	5,308E-4
15,700	5,308E-4
15,800	5,308E-4
15,900	5,308E-4
16,000	5,308E-4
16,100	5,308E-4
16,200	5,308E-4
16,300	5,308E-4
16,400	5,308E-4
16,500	5,308E-4
16,600	5,308E-4
16,700	5,308E-4
16,800	5,308E-4
16,900	5,308E-4
17,000	5,308E-4
17,100	5,308E-4
17,200	5,308E-4
17,300	5,308E-4
17,400	5,308E-4
17,500	5,308E-4
17,600	5,308E-4
17,700	5,308E-4
17,800	5,308E-4
17,900	5,308E-4
18,000	5,308E-4
18,100	5,308E-4
18,200	5,308E-4
18,300	5,308E-4
18,400	5,308E-4
18,500	0,694
18,600	0,684
18,700	0,680
18,800	0,674
18,900	0,668
19,000	0,663
19,100	0,660
19,200	0,656
19,300	0,652
19,400	0,649
19,500	0,646
19,600	0,644
19,700	0,642
19,800	0,640
19,900	0,638
20,000	0,636
20,100	0,635
20,200	0,633
20,300	0,632
20,400	0,631
20,500	0,630
20,600	0,628
20,700	0,627
20,800	0,626
20,900	0,625
21,000	0,624
21,100	0,623
21,200	0,623
21,300	0,622
21,400	0,621
21,500	0,620
21,600	0,619
21,700	0,619
21,800	0,618
21,900	0,618
22,000	0,617
22,100	0,617
22,200	0,616
22,300	0,615
22,400	0,615
22,500	0,614
22,600	0,614
22,700	0,613
22,800	0,613
22,900	0,612
23,000	0,612
23,100	0,611
23,200	0,611
23,300	0,610
23,400	0,610
23,500	0,610
23,600	0,609
23,700	0,609
23,800	0,608
23,900	0,608
24,000	0,607
24,100	0,607
24,200	0,606
24,300	0,606
24,400	0,606
24,500	0,605
24,600	0,605
24,700	0,605
24,800	0,605
24,900	0,604
25,000	0,604
25,100	0,604
25,200	0,603
25,300	0,602
25,400	0,602
25,500	0,601
25,600	0,601
25,700	0,601
25,800	0,600
25,900	0,600
26,000	0,599
26,100	0,599
26,200	0,599
