Power, Run #1
Time ( s )	Input Power ( W )
0,000	1,369E-5
0,100	1,369E-5
0,200	1,369E-5
0,300	1,369E-5
0,400	1,369E-5
0,500	1,369E-5
0,600	1,369E-5
0,700	1,369E-5
0,800	1,369E-5
0,900	1,369E-5
1,000	1,369E-5
1,100	1,369E-5
1,200	1,369E-5
1,300	1,369E-5
1,400	1,642E-5
1,500	1,369E-5
1,600	1,369E-5
1,700	1,369E-5
1,800	1,369E-5
1,900	1,369E-5
2,000	1,369E-5
2,100	0,000
2,200	1,369E-5
2,300	1,369E-5
2,400	1,642E-5
2,500	1,369E-5
2,600	1,369E-5
2,700	1,642E-5
2,800	1,642E-5
2,900	1,369E-5
3,000	1,369E-5
3,100	1,642E-5
3,200	1,369E-5
3,300	1,369E-5
3,400	1,369E-5
3,500	1,369E-5
3,600	1,369E-5
3,700	1,369E-5
3,800	1,369E-5
3,900	3,285E-5
4,000	1,369E-5
4,100	1,369E-5
4,200	1,369E-5
4,300	1,369E-5
4,400	1,369E-5
4,500	1,369E-5
4,600	1,369E-5
4,700	1,369E-5
4,800	1,369E-5
4,900	1,369E-5
5,000	1,369E-5
5,100	1,369E-5
5,200	1,369E-5
5,300	1,369E-5
5,400	1,369E-5
5,500	1,369E-5
5,600	1,369E-5
5,700	0,000
5,800	1,369E-5
5,900	2,737E-5
6,000	1,369E-5
6,100	0,000
6,200	1,369E-5
6,300	1,369E-5
6,400	2,737E-5
6,500	1,369E-5
6,600	1,369E-5
6,700	1,369E-5
6,800	1,369E-5
6,900	1,369E-5
7,000	1,369E-5
7,100	1,369E-5
7,200	2,737E-5
7,300	1,369E-5
7,400	1,369E-5
7,500	1,369E-5
7,600	1,369E-5
7,700	2,737E-5
7,800	1,369E-5
7,900	1,369E-5
8,000	1,369E-5
8,100	1,369E-5
8,200	1,369E-5
8,300	1,369E-5
8,400	1,369E-5
8,500	1,642E-5
8,600	1,369E-5
8,700	1,369E-5
8,800	2,737E-5
8,900	1,369E-5
9,000	1,369E-5
9,100	1,369E-5
9,200	1,369E-5
9,300	1,642E-5
9,400	1,369E-5
9,500	1,369E-5
9,600	1,369E-5
9,700	1,369E-5
9,800	1,369E-5
9,900	1,369E-5
10,000	1,369E-5
10,100	1,369E-5
10,200	1,369E-5
10,300	1,369E-5
10,400	1,369E-5
10,500	1,369E-5
10,600	1,369E-5
10,700	1,369E-5
10,800	1,369E-5
10,900	1,369E-5
11,000	1,369E-5
11,100	1,369E-5
11,200	1,369E-5
11,300	1,642E-5
11,400	1,369E-5
11,500	1,369E-5
11,600	1,369E-5
11,700	1,369E-5
11,800	1,369E-5
11,900	1,369E-5
12,000	1,369E-5
12,100	1,369E-5
12,200	0,000
12,300	1,369E-5
12,400	1,369E-5
12,500	1,369E-5
12,600	2,737E-5
12,700	1,369E-5
12,800	1,369E-5
12,900	1,369E-5
13,000	1,369E-5
13,100	2,737E-5
13,200	1,369E-5
13,300	1,369E-5
13,400	1,369E-5
13,500	1,642E-5
13,600	1,369E-5
13,700	1,369E-5
13,800	1,369E-5
13,900	1,369E-5
14,000	1,369E-5
14,100	1,369E-5
14,200	1,642E-5
14,300	1,369E-5
14,400	0,000
14,500	0,000
14,600	1,369E-5
14,700	1,369E-5
14,800	2,737E-5
14,900	1,369E-5
15,000	1,369E-5
15,100	0,000
15,200	1,369E-5
15,300	0,000
15,400	1,369E-5
15,500	1,369E-5
15,600	1,642E-5
15,700	1,369E-5
15,800	1,369E-5
15,900	1,369E-5
16,000	1,369E-5
16,100	1,369E-5
16,200	1,369E-5
16,300	1,369E-5
16,400	1,369E-5
16,500	1,369E-5
16,600	1,369E-5
16,700	1,369E-5
16,800	1,369E-5
16,900	1,369E-5
17,000	1,369E-5
17,100	1,369E-5
17,200	1,369E-5
17,300	1,369E-5
17,400	1,369E-5
17,500	1,369E-5
17,600	1,369E-5
17,700	1,642E-5
17,800	1,369E-5
17,900	1,369E-5
18,000	1,095E-5
18,100	1,369E-5
18,200	1,369E-5
18,300	1,369E-5
18,400	1,369E-5
18,500	2,274
18,600	2,248
18,700	2,244
18,800	2,230
18,900	2,216
19,000	2,204
19,100	2,195
19,200	2,181
19,300	2,177
19,400	2,166
19,500	2,161
19,600	2,153
19,700	2,150
19,800	2,143
19,900	2,135
20,000	2,133
20,100	2,128
20,200	2,126
20,300	2,119
20,400	2,117
20,500	2,114
20,600	2,108
20,700	2,108
20,800	2,106
20,900	2,102
21,000	2,099
21,100	2,099
21,200	2,094
21,300	2,093
21,400	2,091
21,500	2,090
21,600	2,086
21,700	2,087
21,800	2,082
21,900	2,084
22,000	2,077
22,100	2,080
22,200	2,079
22,300	2,075
22,400	2,073
22,500	2,071
22,600	2,071
22,700	2,068
22,800	2,066
22,900	2,064
23,000	2,064
23,100	2,062
23,200	2,061
23,300	2,062
23,400	2,060
23,500	2,060
23,600	2,058
23,700	2,057
23,800	2,055
23,900	2,053
24,000	2,051
24,100	2,051
24,200	2,048
24,300	2,048
24,400	2,046
24,500	2,047
24,600	2,047
24,700	2,045
24,800	2,045
24,900	2,044
25,000	2,042
25,100	2,042
25,200	2,043
25,300	2,041
25,400	2,039
25,500	2,038
25,600	2,038
25,700	2,036
25,800	2,034
25,900	2,032
26,000	2,030
26,100	2,030
26,200	2,029
26,300	2,030
26,400	2,025
26,500	2,023
26,600	2,023
26,700	2,025
26,800	2,023
26,900	2,023
27,000	2,018
27,100	2,016
27,200	2,017
27,300	2,017
27,400	2,016
27,500	2,014
27,600	2,014
27,700	2,015
27,800	2,012
27,900	2,010
28,000	2,013
28,100	2,007
28,200	2,010
28,300	2,005
28,400	2,008
28,500	2,006
