Power Generated, Run #1
Time ( s )	Power Generated ( W )
121,800	0,043
121,900	0,045
122,000	0,046
122,100	0,047
122,200	0,046
122,300	0,045
122,400	0,044
122,500	0,043
122,600	0,043
122,700	0,042
122,800	0,041
122,900	0,041
123,000	0,040
123,100	0,040
123,200	0,039
123,300	0,039
123,400	0,038
123,500	0,038
123,600	0,037
123,700	0,037
123,800	0,037
123,900	0,036
124,000	0,036
124,100	0,036
124,200	0,036
124,300	0,035
124,400	0,035
124,500	0,035
124,600	0,035
124,700	0,034
124,800	0,034
124,900	0,034
125,000	0,034
125,100	0,033
125,200	0,033
125,300	0,033
125,400	0,033
125,500	0,033
125,600	0,032
125,700	0,032
125,800	0,032
125,900	0,032
126,000	0,032
126,100	0,032
126,200	0,031
126,300	0,031
126,400	0,031
126,500	0,031
126,600	0,031
126,700	0,031
126,800	0,030
126,900	0,030
127,000	0,030
127,100	0,030
127,200	0,030
127,300	0,030
127,400	0,030
127,500	0,029
127,600	0,029
127,700	0,029
127,800	0,029
127,900	0,029
128,000	0,029
128,100	0,029
128,200	0,028
128,300	0,028
128,400	0,028
128,500	0,028
128,600	0,028
128,700	0,028
128,800	0,028
128,900	0,028
129,000	0,027
129,100	0,027
129,200	0,027
129,300	0,027
129,400	0,027
129,500	0,027
129,600	0,027
129,700	0,026
129,800	0,026
129,900	0,026
130,000	0,026
130,100	0,026
130,200	0,026
130,300	0,026
130,400	0,026
130,500	0,026
130,600	0,025
130,700	0,025
130,800	0,025
130,900	0,025
131,000	0,025
131,100	0,025
131,200	0,025
131,300	0,025
131,400	0,025
131,500	0,024
131,600	0,024
131,700	0,024
131,800	0,024
131,900	0,024
132,000	0,024
132,100	0,024
132,200	0,024
132,300	0,024
132,400	0,023
132,500	0,023
132,600	0,023
132,700	0,023
132,800	0,023
132,900	0,023
133,000	0,023
133,100	0,023
133,200	0,023
133,300	0,023
133,400	0,022
133,500	0,022
133,600	0,022
133,700	0,022
133,800	0,022
133,900	0,022
134,000	0,022
134,100	0,022
134,200	0,022
134,300	0,021
134,400	0,021
134,500	0,021
134,600	0,021
134,700	0,021
134,800	0,021
134,900	0,021
135,000	0,021
135,100	0,021
135,200	0,021
135,300	0,020
135,400	0,020
135,500	0,020
135,600	0,020
135,700	0,020
135,800	0,020
135,900	0,020
136,000	0,020
136,100	0,020
136,200	0,020
136,300	0,020
136,400	0,019
136,500	0,019
136,600	0,019
136,700	0,019
136,800	0,019
136,900	0,019
137,000	0,019
137,100	0,019
137,200	0,019
137,300	0,019
137,400	0,019
137,500	0,019
137,600	0,018
137,700	0,018
137,800	0,018
137,900	0,018
138,000	0,018
138,100	0,018
138,200	0,018
138,300	0,018
138,400	0,018
138,500	0,018
138,600	0,018
138,700	0,018
138,800	0,017
138,900	0,017
139,000	0,017
139,100	0,017
139,200	0,017
139,300	0,017
139,400	0,017
139,500	0,017
139,600	0,017
139,700	0,017
139,800	0,017
139,900	0,017
140,000	0,017
140,100	0,016
140,200	0,016
140,300	0,016
140,400	0,016
140,500	0,016
140,600	0,016
140,700	0,016
140,800	0,016
140,900	0,016
141,000	0,016
141,100	0,016
141,200	0,016
141,300	0,016
141,400	0,016
141,500	0,015
141,600	0,015
141,700	0,015
141,800	0,015
141,900	0,015
142,000	0,015
142,100	0,015
142,200	0,015
142,300	0,015
142,400	0,015
142,500	0,015
142,600	0,015
142,700	0,015
142,800	0,015
142,900	0,015
143,000	0,014
143,100	0,014
143,200	0,014
143,300	0,014
143,400	0,014
143,500	0,014
143,600	0,014
143,700	0,014
143,800	0,014
143,900	0,014
144,000	0,014
144,100	0,014
144,200	0,014
144,300	0,014
144,400	0,014
144,500	0,014
144,600	0,014
144,700	0,014
