Qcold  Pump, Run #1
Time ( s )	Energy ( J )
0,350	3,914E-3
0,450	0,016
0,550	0,019
0,650	0,022
0,750	0,026
0,850	0,026
0,950	0,026
1,050	0,026
1,150	0,026
1,250	0,026
1,350	0,026
1,450	0,026
1,550	0,026
1,650	0,026
1,750	0,026
1,850	0,026
1,950	0,026
2,050	0,026
2,150	0,026
2,250	0,026
2,350	0,026
2,450	0,026
2,550	0,026
2,650	0,026
2,750	0,026
2,850	0,026
2,950	0,026
3,050	0,026
3,150	0,026
3,250	0,026
3,350	0,026
3,450	0,026
3,550	0,026
3,650	0,026
3,750	0,026
3,850	0,026
3,950	0,026
4,050	0,026
4,150	0,026
4,250	0,026
4,350	0,026
4,450	0,026
4,550	0,026
4,650	0,026
4,750	0,026
4,850	0,026
4,950	0,026
5,050	0,026
5,150	0,026
5,250	0,026
5,350	0,026
5,450	0,026
5,550	0,026
5,650	0,026
5,750	0,026
5,850	0,035
5,950	0,045
6,050	0,045
6,150	0,045
6,250	0,045
6,350	0,045
6,450	0,045
6,550	0,045
6,650	0,045
6,750	0,045
6,850	0,045
6,950	0,045
7,050	0,045
7,150	0,045
7,250	0,045
7,350	0,045
7,450	0,045
7,550	0,045
7,650	0,045
7,750	0,046
7,850	0,047
7,950	0,047
8,050	0,047
8,150	0,047
8,250	0,047
8,350	0,047
8,450	0,047
8,550	0,047
8,650	0,047
8,750	0,047
8,850	0,047
8,950	0,047
9,050	0,047
9,150	0,049
9,250	0,050
9,350	0,050
9,450	0,050
9,550	0,050
9,650	0,054
9,750	0,058
9,850	0,058
9,950	0,058
10,050	0,058
10,150	0,058
10,250	0,058
10,350	0,058
10,450	0,058
10,550	0,058
10,650	0,058
10,750	0,058
10,850	0,058
10,950	0,058
11,050	0,058
11,150	0,058
11,250	0,058
11,350	0,058
11,450	0,058
11,550	0,058
11,650	0,058
11,750	0,058
11,850	0,058
11,950	0,058
12,050	0,058
12,150	0,058
12,250	0,058
12,350	0,058
12,450	0,058
12,550	0,058
12,650	0,058
12,750	0,059
12,850	0,061
12,950	0,061
13,050	0,061
13,150	0,061
13,250	0,061
13,350	0,061
13,450	0,061
13,550	0,061
13,650	0,061
13,750	0,061
13,850	0,061
13,950	0,061
14,050	0,064
14,150	0,068
14,250	0,068
14,350	0,068
14,450	0,068
14,550	0,068
14,650	0,068
14,750	0,068
14,850	0,068
14,950	0,068
15,050	0,068
15,150	0,068
15,250	0,068
15,350	0,068
15,450	0,068
15,550	0,068
15,650	0,068
15,750	0,084
15,850	0,100
15,950	0,100
16,050	0,100
16,150	0,100
16,250	0,100
16,350	0,100
16,450	0,100
16,550	0,100
16,650	0,100
16,750	0,100
16,850	0,100
16,950	0,100
17,050	0,100
17,150	0,100
17,250	0,100
17,350	0,100
17,450	0,100
17,550	0,100
17,650	0,100
17,750	0,100
17,850	0,100
17,950	0,100
18,050	0,100
18,150	0,100
18,250	0,100
18,350	0,100
18,450	0,100
18,550	0,100
18,650	0,100
18,750	0,100
18,850	0,100
18,950	0,109
19,050	0,149
19,150	0,222
19,250	0,334
19,350	0,478
19,450	0,605
19,550	0,783
19,650	1,031
19,750	1,269
19,850	1,525
19,950	1,802
20,050	2,116
20,150	2,444
20,250	2,764
20,350	3,099
20,450	3,456
20,550	3,845
20,650	4,240
20,750	4,642
20,850	5,071
20,950	5,489
21,050	5,919
21,150	6,376
21,250	6,813
21,350	7,238
21,450	7,690
21,550	8,141
21,650	8,598
21,750	9,060
21,850	9,524
21,950	9,990
22,050	10,450
22,150	10,901
22,250	11,311
22,350	11,756
22,450	12,225
22,550	12,690
22,650	13,166
22,750	13,650
22,850	14,127
22,950	14,608
23,050	15,092
23,150	15,559
23,250	16,035
23,350	16,500
23,450	16,983
23,550	17,469
23,650	17,938
23,750	18,414
23,850	18,853
23,950	19,309
24,050	19,801
24,150	20,305
24,250	20,774
24,350	21,230
24,450	21,707
24,550	22,161
24,650	22,611
24,750	23,058
24,850	23,520
24,950	23,991
25,050	24,454
25,150	24,903
25,250	25,332
25,350	25,792
25,450	26,274
25,550	26,712
25,650	27,160
25,750	27,597
25,850	28,036
25,950	28,508
26,050	28,973
26,150	29,401
26,250	29,836
26,350	30,307
26,450	30,744
26,550	31,176
26,650	31,618
26,750	32,039
26,850	32,482
26,950	32,918
27,050	33,354
27,150	33,809
27,250	34,229
27,350	34,634
27,450	35,049
27,550	35,487
27,650	35,907
27,750	36,307
27,850	36,745
27,950	37,180
28,050	37,582
28,150	37,995
28,250	38,327
28,350	38,690
28,450	39,117
28,550	39,487
28,650	39,895
28,750	40,325
28,850	40,723
28,950	41,137
29,050	41,545
29,150	41,971
29,250	42,383
29,350	42,776
29,450	43,197
29,550	43,576
29,650	43,941
29,750	44,349
29,850	44,757
29,950	45,153
30,050	45,558
30,150	45,966
30,250	46,338
30,350	46,717
30,450	47,123
30,550	47,475
30,650	47,857
30,750	48,260
30,850	48,645
30,950	49,020
31,050	49,394
31,150	49,779
31,250	50,148
31,350	50,510
31,450	50,895
31,550	51,283
31,650	51,652
31,750	52,009
31,850	52,350
31,950	52,741
32,050	53,129
32,150	53,471
32,250	53,837
32,350	54,213
32,450	54,583
32,550	54,946
32,650	55,319
32,750	55,666
32,850	56,016
32,950	56,400
33,050	56,754
33,150	57,082
33,250	57,407
33,350	57,764
33,450	58,136
33,550	58,481
33,650	58,834
33,750	59,198
33,850	59,525
33,950	59,855
34,050	60,222
34,150	60,546
34,250	60,885
34,350	61,278
34,450	61,603
34,550	61,904
34,650	62,257
34,750	62,593
34,850	62,927
34,950	63,274
35,050	63,609
35,150	63,932
35,250	64,249
35,350	64,577
35,450	64,915
35,550	65,250
35,650	65,569
35,750	65,898
35,850	66,161
35,950	66,407
36,050	66,737
36,150	67,073
36,250	67,382
36,350	67,661
36,450	67,982
36,550	68,332
36,650	68,640
36,750	68,948
36,850	69,253
36,950	69,554
37,050	69,876
37,150	70,181
37,250	70,473
37,350	70,795
37,450	71,093
37,550	71,396
37,650	71,738
37,750	72,047
37,850	72,317
37,950	72,612
38,050	72,925
38,150	73,223
38,250	73,536
38,350	73,847
38,450	74,160
38,550	74,452
38,650	74,710
38,750	75,008
38,850	75,328
38,950	75,608
39,050	75,897
39,150	76,204
39,250	76,472
39,350	76,743
39,450	77,041
39,550	77,332
39,650	77,614
39,750	77,892
39,850	78,167
39,950	78,464
40,050	78,769
40,150	79,044
40,250	79,310
40,350	79,580
40,450	79,855
40,550	80,103
40,650	80,369
40,750	80,683
40,850	80,952
40,950	81,218
41,050	81,489
41,150	81,752
41,250	82,005
41,350	82,280
41,450	82,566
41,550	82,832
41,650	83,110
41,750	83,373
41,850	83,638
41,950	83,901
42,050	84,169
42,150	84,433
42,250	84,646
42,350	84,895
42,450	85,168
42,550	85,419
42,650	85,711
42,750	85,985
42,850	86,250
42,950	86,497
43,050	86,730
43,150	87,013
43,250	87,234
43,350	87,453
43,450	87,739
43,550	88,008
43,650	88,259
43,750	88,514
43,850	88,758
43,950	88,976
44,050	89,225
44,150	89,487
44,250	89,740
44,350	89,979
44,450	90,223
44,550	90,471
44,650	90,688
44,750	90,915
44,850	91,165
44,950	91,420
45,050	91,660
45,150	91,884
45,250	92,104
45,350	92,340
45,450	92,563
45,550	92,792
45,650	93,034
45,750	93,277
45,850	93,506
45,950	93,719
46,050	93,945
46,150	94,180
46,250	94,379
46,350	94,549
46,450	94,744
46,550	94,930
46,650	95,142
46,750	95,403
46,850	95,636
46,950	95,851
47,050	96,064
47,150	96,282
47,250	96,502
47,350	96,716
47,450	96,949
47,550	97,206
47,650	97,405
47,750	97,573
47,850	97,797
47,950	98,041
48,050	98,252
48,150	98,463
48,250	98,693
48,350	98,893
48,450	99,106
48,550	99,318
48,650	99,525
48,750	99,745
48,850	99,941
48,950	100,153
49,050	100,374
49,150	100,548
49,250	100,742
49,350	100,966
49,450	101,166
49,550	101,393
49,650	101,581
49,750	101,743
49,850	101,980
49,950	102,187
50,050	102,357
50,150	102,555
50,250	102,762
50,350	102,968
50,450	103,180
50,550	103,380
50,650	103,587
50,750	103,782
50,850	103,971
50,950	104,163
51,050	104,357
51,150	104,565
51,250	104,750
51,350	104,922
51,450	105,094
51,550	105,282
51,650	105,493
51,750	105,664
51,850	105,849
51,950	106,066
52,050	106,216
52,150	106,383
52,250	106,597
52,350	106,770
52,450	106,962
52,550	107,170
52,650	107,342
52,750	107,528
52,850	107,713
52,950	107,895
53,050	108,076
53,150	108,259
53,250	108,458
53,350	108,587
53,450	108,739
53,550	108,921
53,650	109,091
53,750	109,309
53,850	109,484
53,950	109,633
54,050	109,792
54,150	109,961
54,250	110,154
54,350	110,330
54,450	110,502
54,550	110,686
54,650	110,856
54,750	111,031
54,850	111,213
54,950	111,385
55,050	111,521
55,150	111,643
55,250	111,815
55,350	112,013
55,450	112,173
55,550	112,337
55,650	112,537
55,750	112,716
55,850	112,858
55,950	113,025
56,050	113,210
56,150	113,352
56,250	113,509
56,350	113,668
56,450	113,809
56,550	113,983
56,650	114,144
56,750	114,307
56,850	114,466
56,950	114,617
57,050	114,778
57,150	114,935
57,250	115,089
57,350	115,245
57,450	115,397
57,550	115,543
57,650	115,678
57,750	115,837
57,850	116,000
57,950	116,143
58,050	116,314
58,150	116,446
58,250	116,601
58,350	116,781
58,450	116,926
58,550	117,058
58,650	117,185
58,750	117,365
58,850	117,539
58,950	117,648
59,050	117,779
59,150	117,931
59,250	118,054
59,350	118,199
59,450	118,370
59,550	118,540
59,650	118,666
59,750	118,797
59,850	118,936
59,950	119,068
60,050	119,205
60,150	119,358
60,250	119,512
60,350	119,641
60,450	119,785
60,550	119,927
60,650	120,035
60,750	120,174
60,850	120,347
60,950	120,463
61,050	120,581
61,150	120,723
61,250	120,880
61,350	121,037
61,450	121,159
61,550	121,291
61,650	121,410
61,750	121,506
61,850	121,660
61,950	121,815
62,050	121,925
62,150	122,079
62,250	122,236
62,350	122,338
62,450	122,460
62,550	122,580
62,650	122,708
62,750	122,848
62,850	122,934
