Qhot, Run #1
Time ( s )	Energy ( J )
0,000	0,000
0,100	0,013
0,200	0,015
0,300	7,306E-3
0,400	0,029
0,500	2,087E-3
0,600	0,021
0,700	9,915E-3
0,800	7,306E-3
0,900	0,018
1,000	0,015
1,100	0,031
1,200	0,000
1,300	9,915E-3
1,400	0,061
1,500	0,000
1,600	0,000
1,700	0,037
1,800	0,019
1,900	0,027
2,000	0,032
2,100	0,021
2,200	0,034
2,300	0,019
2,400	0,000
2,500	0,058
2,600	0,045
2,700	0,034
2,800	0,050
2,900	0,000
3,000	8,350E-3
3,100	0,034
3,200	0,045
3,300	0,058
3,400	0,082
3,500	0,034
3,600	0,038
3,700	0,064
3,800	0,075
3,900	0,061
4,000	0,040
4,100	0,071
4,200	0,066
4,300	0,098
4,400	0,082
4,500	0,061
4,600	0,040
4,700	0,071
4,800	0,069
4,900	0,053
5,000	0,051
5,100	0,075
5,200	0,047
5,300	0,069
5,400	0,053
5,500	0,042
5,600	0,042
5,700	0,040
5,800	0,058
5,900	0,093
6,000	0,061
6,100	0,042
6,200	0,098
6,300	0,090
6,400	0,040
6,500	0,085
6,600	0,053
6,700	0,053
6,800	0,038
6,900	0,058
7,000	0,042
7,100	0,053
7,200	0,069
7,300	0,024
7,400	0,040
7,500	0,053
7,600	0,093
7,700	0,058
7,800	0,061
7,900	0,066
8,000	0,075
8,100	0,071
8,200	0,071
8,300	0,056
8,400	0,045
8,500	0,082
8,600	0,047
8,700	0,056
8,800	0,085
8,900	0,095
9,000	0,075
9,100	0,101
9,200	0,077
9,300	0,056
9,400	0,069
9,500	0,090
9,600	0,053
9,700	0,075
9,800	0,080
9,900	0,075
10,000	0,045
10,100	0,034
10,200	0,051
10,300	0,095
10,400	0,071
10,500	0,093
10,600	0,069
10,700	0,071
10,800	0,095
10,900	0,075
11,000	0,051
11,100	0,116
11,200	0,051
11,300	0,071
11,400	0,069
11,500	0,077
11,600	0,061
11,700	0,088
11,800	0,058
11,900	0,082
12,000	0,080
12,100	0,061
12,200	0,085
12,300	0,069
12,400	0,093
12,500	0,106
12,600	0,103
12,700	0,085
12,800	0,045
12,900	0,075
13,000	0,080
13,100	0,095
13,200	0,106
13,300	0,071
13,400	0,085
