Qhot Pump, Run #1
Time ( s )	Energy ( J )
0,000	0,000
0,100	0,013
0,200	0,015
0,300	0,015
0,400	0,029
0,500	0,029
0,600	0,029
0,700	0,029
0,800	0,029
0,900	0,029
1,000	0,029
1,100	0,031
1,200	0,031
1,300	0,031
1,400	0,061
1,500	0,061
1,600	0,066
1,700	0,066
1,800	0,066
1,900	0,066
2,000	0,066
2,100	0,066
2,200	0,066
2,300	0,066
2,400	0,082
2,500	0,082
2,600	0,082
2,700	0,082
2,800	0,082
2,900	0,098
3,000	0,098
3,100	0,098
3,200	0,098
3,300	0,098
3,400	0,098
3,500	0,098
3,600	0,098
3,700	0,098
3,800	0,098
3,900	0,098
4,000	0,098
4,100	0,098
4,200	0,098
4,300	0,098
4,400	0,098
4,500	0,098
4,600	0,098
4,700	0,098
4,800	0,098
4,900	0,098
5,000	0,098
5,100	0,098
5,200	0,098
5,300	0,098
5,400	0,098
5,500	0,098
5,600	0,098
5,700	0,098
5,800	0,098
5,900	0,098
6,000	0,098
6,100	0,098
6,200	0,098
6,300	0,098
6,400	0,098
6,500	0,098
6,600	0,098
6,700	0,098
6,800	0,098
6,900	0,098
7,000	0,098
7,100	0,098
7,200	0,098
7,300	0,098
7,400	0,098
7,500	0,098
7,600	0,098
7,700	0,098
7,800	0,098
7,900	0,098
8,000	0,098
8,100	0,098
8,200	0,098
8,300	0,098
8,400	0,098
8,500	0,098
8,600	0,098
8,700	0,098
8,800	0,098
8,900	0,098
9,000	0,098
9,100	0,101
9,200	0,101
9,300	0,101
9,400	0,101
9,500	0,101
9,600	0,101
9,700	0,101
9,800	0,101
9,900	0,101
10,000	0,101
10,100	0,101
10,200	0,101
10,300	0,101
10,400	0,101
10,500	0,101
10,600	0,101
10,700	0,101
10,800	0,101
10,900	0,101
11,000	0,101
11,100	0,116
11,200	0,116
11,300	0,116
11,400	0,116
11,500	0,116
11,600	0,116
11,700	0,116
11,800	0,116
11,900	0,116
12,000	0,116
12,100	0,116
12,200	0,116
12,300	0,116
12,400	0,116
12,500	0,116
12,600	0,116
12,700	0,116
12,800	0,116
12,900	0,116
13,000	0,116
13,100	0,116
13,200	0,116
13,300	0,116
13,400	0,116
13,500	0,116
13,600	0,116
