Tc Initial, Run #1
Time ( s )	Y (  )
0,350	22,469
0,450	22,469
0,550	22,469
0,650	22,469
0,750	22,469
0,850	22,469
0,950	22,469
1,050	22,469
1,150	22,469
1,250	22,469
1,350	22,469
1,450	22,469
1,550	22,469
1,650	22,469
1,750	22,469
1,850	22,469
1,950	22,469
2,050	22,469
2,150	22,469
2,250	22,469
2,350	22,469
2,450	22,469
2,550	22,469
2,650	22,469
2,750	22,469
2,850	22,469
2,950	22,469
3,050	22,469
3,150	22,469
3,250	22,469
3,350	22,469
3,450	22,469
3,550	22,469
3,650	22,469
3,750	22,469
3,850	22,469
3,950	22,469
4,050	22,469
4,150	22,469
4,250	22,469
4,350	22,469
4,450	22,469
4,550	22,469
4,650	22,469
4,750	22,469
4,850	22,469
4,950	22,469
5,050	22,469
5,150	22,469
5,250	22,469
5,350	22,469
5,450	22,469
5,550	22,469
5,650	22,469
5,750	22,469
5,850	22,469
5,950	22,469
6,050	22,469
6,150	22,469
6,250	22,469
6,350	22,469
6,450	22,469
6,550	22,469
6,650	22,469
6,750	22,469
6,850	22,469
6,950	22,469
7,050	22,469
7,150	22,469
7,250	22,469
7,350	22,469
7,450	22,469
7,550	22,469
7,650	22,469
7,750	22,469
7,850	22,469
7,950	22,469
8,050	22,469
8,150	22,469
8,250	22,469
8,350	22,469
8,450	22,469
8,550	22,469
8,650	22,469
8,750	22,469
8,850	22,469
8,950	22,469
9,050	22,469
9,150	22,469
9,250	22,469
9,350	22,469
9,450	22,469
9,550	22,469
9,650	22,469
9,750	22,469
9,850	22,469
9,950	22,469
10,050	22,469
10,150	22,469
10,250	22,469
10,350	22,469
10,450	22,469
10,550	22,469
10,650	22,469
10,750	22,469
10,850	22,469
10,950	22,469
11,050	22,469
11,150	22,469
11,250	22,469
11,350	22,469
11,450	22,469
11,550	22,469
11,650	22,469
11,750	22,469
11,850	22,469
11,950	22,469
12,050	22,469
12,150	22,469
12,250	22,469
12,350	22,469
12,450	22,469
12,550	22,469
12,650	22,469
12,750	22,469
12,850	22,469
12,950	22,469
13,050	22,469
13,150	22,469
13,250	22,469
13,350	22,469
13,450	22,469
13,550	22,469
13,650	22,469
13,750	22,469
13,850	22,469
13,950	22,469
14,050	22,469
14,150	22,469
14,250	22,469
14,350	22,469
14,450	22,469
14,550	22,469
14,650	22,469
14,750	22,469
14,850	22,469
14,950	22,469
15,050	22,469
15,150	22,469
15,250	22,469
15,350	22,469
15,450	22,469
15,550	22,469
15,650	22,469
15,750	22,469
15,850	22,469
15,950	22,469
16,050	22,469
16,150	22,469
16,250	22,469
16,350	22,469
16,450	22,469
16,550	22,469
16,650	22,469
16,750	22,469
16,850	22,469
16,950	22,469
17,050	22,469
17,150	22,469
17,250	22,469
17,350	22,469
17,450	22,469
17,550	22,469
17,650	22,469
17,750	22,469
17,850	22,469
17,950	22,469
18,050	22,469
18,150	22,469
18,250	22,469
18,350	22,469
18,450	22,469
18,550	22,469
18,650	22,469
18,750	22,469
18,850	22,469
18,950	22,469
19,050	22,469
19,150	22,469
19,250	22,469
19,350	22,469
19,450	22,469
19,550	22,469
19,650	22,469
19,750	22,469
19,850	22,469
19,950	22,469
20,050	22,469
20,150	22,469
20,250	22,469
20,350	22,469
20,450	22,469
20,550	22,469
20,650	22,469
20,750	22,469
20,850	22,469
20,950	22,469
21,050	22,469
21,150	22,469
21,250	22,469
21,350	22,469
21,450	22,469
21,550	22,469
21,650	22,469
21,750	22,469
21,850	22,469
21,950	22,469
22,050	22,469
22,150	22,469
22,250	22,469
22,350	22,469
22,450	22,469
22,550	22,469
22,650	22,469
22,750	22,469
22,850	22,469
22,950	22,469
23,050	22,469
23,150	22,469
23,250	22,469
23,350	22,469
23,450	22,469
23,550	22,469
23,650	22,469
23,750	22,469
23,850	22,469
23,950	22,469
24,050	22,469
24,150	22,469
24,250	22,469
24,350	22,469
24,450	22,469
24,550	22,469
24,650	22,469
24,750	22,469
24,850	22,469
24,950	22,469
25,050	22,469
25,150	22,469
25,250	22,469
25,350	22,469
25,450	22,469
25,550	22,469
25,650	22,469
25,750	22,469
25,850	22,469
25,950	22,469
26,050	22,469
26,150	22,469
26,250	22,469
26,350	22,469
26,450	22,469
26,550	22,469
26,650	22,469
26,750	22,469
26,850	22,469
26,950	22,469
27,050	22,469
27,150	22,469
27,250	22,469
27,350	22,469
27,450	22,469
27,550	22,469
27,650	22,469
27,750	22,469
27,850	22,469
27,950	22,469
28,050	22,469
28,150	22,469
28,250	22,469
28,350	22,469
28,450	22,469
28,550	22,469
28,650	22,469
28,750	22,469
28,850	22,469
28,950	22,469
29,050	22,469
29,150	22,469
29,250	22,469
29,350	22,469
29,450	22,469
29,550	22,469
29,650	22,469
29,750	22,469
29,850	22,469
29,950	22,469
30,050	22,469
30,150	22,469
30,250	22,469
30,350	22,469
30,450	22,469
30,550	22,469
30,650	22,469
30,750	22,469
30,850	22,469
30,950	22,469
31,050	22,469
31,150	22,469
31,250	22,469
31,350	22,469
31,450	22,469
31,550	22,469
31,650	22,469
31,750	22,469
31,850	22,469
31,950	22,469
32,050	22,469
32,150	22,469
32,250	22,469
32,350	22,469
32,450	22,469
32,550	22,469
32,650	22,469
32,750	22,469
32,850	22,469
32,950	22,469
33,050	22,469
33,150	22,469
33,250	22,469
33,350	22,469
33,450	22,469
33,550	22,469
33,650	22,469
33,750	22,469
33,850	22,469
33,950	22,469
34,050	22,469
34,150	22,469
34,250	22,469
34,350	22,469
34,450	22,469
34,550	22,469
34,650	22,469
34,750	22,469
34,850	22,469
34,950	22,469
35,050	22,469
35,150	22,469
35,250	22,469
35,350	22,469
35,450	22,469
35,550	22,469
35,650	22,469
35,750	22,469
35,850	22,469
35,950	22,469
36,050	22,469
36,150	22,469
36,250	22,469
36,350	22,469
36,450	22,469
36,550	22,469
36,650	22,469
36,750	22,469
36,850	22,469
36,950	22,469
37,050	22,469
37,150	22,469
37,250	22,469
37,350	22,469
37,450	22,469
37,550	22,469
37,650	22,469
37,750	22,469
37,850	22,469
37,950	22,469
38,050	22,469
38,150	22,469
38,250	22,469
38,350	22,469
38,450	22,469
38,550	22,469
38,650	22,469
38,750	22,469
38,850	22,469
38,950	22,469
39,050	22,469
39,150	22,469
39,250	22,469
39,350	22,469
39,450	22,469
39,550	22,469
39,650	22,469
39,750	22,469
39,850	22,469
39,950	22,469
40,050	22,469
40,150	22,469
40,250	22,469
40,350	22,469
40,450	22,469
40,550	22,469
40,650	22,469
40,750	22,469
40,850	22,469
40,950	22,469
41,050	22,469
41,150	22,469
41,250	22,469
41,350	22,469
41,450	22,469
41,550	22,469
41,650	22,469
41,750	22,469
41,850	22,469
41,950	22,469
42,050	22,469
42,150	22,469
42,250	22,469
42,350	22,469
42,450	22,469
42,550	22,469
42,650	22,469
42,750	22,469
42,850	22,469
42,950	22,469
43,050	22,469
43,150	22,469
43,250	22,469
43,350	22,469
43,450	22,469
43,550	22,469
43,650	22,469
43,750	22,469
43,850	22,469
43,950	22,469
44,050	22,469
44,150	22,469
44,250	22,469
44,350	22,469
44,450	22,469
44,550	22,469
44,650	22,469
44,750	22,469
44,850	22,469
44,950	22,469
45,050	22,469
45,150	22,469
45,250	22,469
45,350	22,469
45,450	22,469
45,550	22,469
45,650	22,469
45,750	22,469
45,850	22,469
45,950	22,469
46,050	22,469
46,150	22,469
46,250	22,469
46,350	22,469
46,450	22,469
46,550	22,469
46,650	22,469
46,750	22,469
46,850	22,469
46,950	22,469
47,050	22,469
47,150	22,469
47,250	22,469
47,350	22,469
47,450	22,469
47,550	22,469
47,650	22,469
47,750	22,469
47,850	22,469
47,950	22,469
48,050	22,469
48,150	22,469
48,250	22,469
48,350	22,469
48,450	22,469
48,550	22,469
48,650	22,469
48,750	22,469
48,850	22,469
48,950	22,469
49,050	22,469
49,150	22,469
49,250	22,469
49,350	22,469
49,450	22,469
49,550	22,469
49,650	22,469
49,750	22,469
49,850	22,469
49,950	22,469
50,050	22,469
50,150	22,469
50,250	22,469
50,350	22,469
50,450	22,469
50,550	22,469
50,650	22,469
50,750	22,469
50,850	22,469
50,950	22,469
51,050	22,469
51,150	22,469
51,250	22,469
51,350	22,469
51,450	22,469
51,550	22,469
51,650	22,469
51,750	22,469
51,850	22,469
51,950	22,469
