Temperature 1 (cold), Run #1
Time ( s )	Temperature  ( °C )
0,000	22,470
0,100	22,472
0,200	22,470
0,300	22,470
0,400	22,468
0,500	22,468
0,600	22,469
0,700	22,468
0,800	22,470
0,900	22,472
1,000	22,468
1,100	22,470
1,200	22,470
1,300	22,471
1,400	22,471
1,500	22,471
1,600	22,469
1,700	22,470
1,800	22,470
1,900	22,469
2,000	22,470
2,100	22,470
2,200	22,468
2,300	22,469
2,400	22,469
2,500	22,468
2,600	22,469
2,700	22,473
2,800	22,470
2,900	22,471
3,000	22,470
3,100	22,470
3,200	22,468
3,300	22,471
3,400	22,471
3,500	22,470
3,600	22,470
3,700	22,468
3,800	22,468
3,900	22,469
4,000	22,470
4,100	22,469
4,200	22,469
4,300	22,470
4,400	22,471
4,500	22,468
4,600	22,470
4,700	22,468
4,800	22,468
4,900	22,469
5,000	22,470
5,100	22,468
5,200	22,468
5,300	22,469
5,400	22,469
5,500	22,468
5,600	22,469
5,700	22,470
5,800	22,469
5,900	22,467
6,000	22,467
6,100	22,469
6,200	22,467
6,300	22,468
6,400	22,468
6,500	22,468
6,600	22,469
6,700	22,468
6,800	22,469
6,900	22,468
7,000	22,469
7,100	22,471
7,200	22,468
7,300	22,469
7,400	22,469
7,500	22,467
7,600	22,471
7,700	22,469
7,800	22,466
7,900	22,468
8,000	22,469
8,100	22,469
8,200	22,467
8,300	22,468
8,400	22,467
8,500	22,467
8,600	22,469
8,700	22,468
8,800	22,470
8,900	22,467
9,000	22,467
9,100	22,467
9,200	22,466
9,300	22,467
9,400	22,468
9,500	22,467
9,600	22,468
9,700	22,466
9,800	22,469
9,900	22,467
10,000	22,470
10,100	22,467
10,200	22,470
10,300	22,469
10,400	22,467
10,500	22,468
10,600	22,469
10,700	22,467
10,800	22,467
10,900	22,468
11,000	22,469
11,100	22,467
11,200	22,467
11,300	22,469
11,400	22,466
11,500	22,467
11,600	22,467
11,700	22,468
11,800	22,467
11,900	22,466
12,000	22,469
12,100	22,468
12,200	22,467
12,300	22,468
12,400	22,467
12,500	22,469
12,600	22,468
12,700	22,469
12,800	22,466
12,900	22,466
13,000	22,467
13,100	22,467
13,200	22,466
13,300	22,467
13,400	22,467
13,500	22,468
13,600	22,467
13,700	22,467
13,800	22,466
13,900	22,467
14,000	22,468
14,100	22,465
14,200	22,467
14,300	22,466
14,400	22,466
14,500	22,467
14,600	22,466
14,700	22,466
14,800	22,468
14,900	22,468
15,000	22,466
15,100	22,468
15,200	22,467
15,300	22,470
15,400	22,466
15,500	22,467
15,600	22,466
15,700	22,466
15,800	22,463
15,900	22,469
16,000	22,466
16,100	22,468
16,200	22,466
16,300	22,468
16,400	22,467
16,500	22,467
16,600	22,466
16,700	22,465
16,800	22,466
16,900	22,466
17,000	22,466
17,100	22,466
17,200	22,466
17,300	22,468
17,400	22,466
17,500	22,467
17,600	22,468
17,700	22,465
17,800	22,468
17,900	22,466
18,000	22,469
18,100	22,466
18,200	22,466
18,300	22,467
18,400	22,467
18,500	22,466
18,600	22,466
18,700	22,466
18,800	22,466
18,900	22,466
19,000	22,462
19,100	22,459
19,200	22,454
19,300	22,446
19,400	22,437
19,500	22,431
19,600	22,416
19,700	22,402
19,800	22,388
19,900	22,372
20,000	22,356
20,100	22,335
20,200	22,317
20,300	22,298
20,400	22,278
20,500	22,256
20,600	22,233
20,700	22,210
20,800	22,186
20,900	22,160
21,000	22,137
21,100	22,109
21,200	22,083
21,300	22,058
21,400	22,034
21,500	22,005
21,600	21,981
21,700	21,952
21,800	21,927
21,900	21,898
22,000	21,872
22,100	21,844
22,200	21,820
22,300	21,796
22,400	21,768
22,500	21,741
22,600	21,713
22,700	21,685
22,800	21,657
22,900	21,629
23,000	21,600
23,100	21,573
23,200	21,546
23,300	21,517
23,400	21,491
23,500	21,461
23,600	21,434
23,700	21,406
23,800	21,379
23,900	21,355
24,000	21,326
24,100	21,297
24,200	21,267
24,300	21,242
24,400	21,213
24,500	21,186
24,600	21,160
24,700	21,134
24,800	21,108
24,900	21,080
25,000	21,053
25,100	21,026
25,200	21,000
25,300	20,975
25,400	20,946
25,500	20,919
25,600	20,895
25,700	20,867
25,800	20,844
25,900	20,815
26,000	20,789
26,100	20,761
26,200	20,739
26,300	20,710
26,400	20,684
26,500	20,659
26,600	20,633
26,700	20,607
26,800	20,584
26,900	20,556
27,000	20,533
27,100	20,505
27,200	20,480
27,300	20,455
27,400	20,432
27,500	20,407
27,600	20,381
27,700	20,358
27,800	20,334
27,900	20,307
28,000	20,283
28,100	20,259
28,200	20,235
28,300	20,221
28,400	20,193
28,500	20,171
28,600	20,149
28,700	20,123
28,800	20,099
28,900	20,077
29,000	20,051
29,100	20,029
29,200	20,001
29,300	19,981
29,400	19,955
29,500	19,931
29,600	19,910
29,700	19,889
