Temperature 2 (hot), Run #1
Time ( s )	Temperature  ( °C )
0,000	21,845
0,100	21,844
0,200	21,844
0,300	21,844
0,400	21,843
0,500	21,845
0,600	21,844
0,700	21,844
0,800	21,844
0,900	21,844
1,000	21,844
1,100	21,843
1,200	21,845
1,300	21,844
1,400	21,841
1,500	21,845
1,600	21,845
1,700	21,843
1,800	21,844
1,900	21,844
2,000	21,843
2,100	21,844
2,200	21,843
2,300	21,844
2,400	21,846
2,500	21,843
2,600	21,843
2,700	21,844
2,800	21,843
2,900	21,847
3,000	21,847
3,100	21,845
3,200	21,844
3,300	21,844
3,400	21,842
3,500	21,845
3,600	21,845
3,700	21,843
3,800	21,843
3,900	21,843
4,000	21,845
4,100	21,843
4,200	21,843
4,300	21,841
4,400	21,842
4,500	21,843
4,600	21,845
4,700	21,843
4,800	21,843
4,900	21,844
5,000	21,844
5,100	21,843
5,200	21,844
5,300	21,843
5,400	21,844
5,500	21,845
5,600	21,845
5,700	21,845
5,800	21,844
5,900	21,842
6,000	21,843
6,100	21,845
6,200	21,841
6,300	21,842
6,400	21,845
6,500	21,842
6,600	21,844
6,700	21,844
6,800	21,845
6,900	21,844
7,000	21,845
7,100	21,844
7,200	21,843
7,300	21,846
7,400	21,845
7,500	21,844
7,600	21,842
7,700	21,844
7,800	21,843
7,900	21,843
8,000	21,843
8,100	21,843
8,200	21,843
8,300	21,844
8,400	21,844
8,500	21,842
8,600	21,844
8,700	21,844
8,800	21,842
8,900	21,841
9,000	21,843
9,100	21,841
9,200	21,843
9,300	21,844
9,400	21,843
9,500	21,842
9,600	21,844
9,700	21,843
9,800	21,842
9,900	21,843
10,000	21,844
10,100	21,845
10,200	21,844
10,300	21,841
10,400	21,843
10,500	21,842
10,600	21,843
10,700	21,843
10,800	21,841
10,900	21,843
11,000	21,844
11,100	21,840
11,200	21,844
11,300	21,843
11,400	21,843
11,500	21,843
11,600	21,843
11,700	21,842
11,800	21,844
11,900	21,842
12,000	21,842
12,100	21,843
12,200	21,842
12,300	21,843
12,400	21,842
12,500	21,841
12,600	21,841
12,700	21,842
12,800	21,844
12,900	21,843
13,000	21,842
13,100	21,841
13,200	21,841
13,300	21,843
13,400	21,842
13,500	21,842
13,600	21,843
13,700	21,844
13,800	21,841
13,900	21,841
14,000	21,843
14,100	21,843
14,200	21,844
14,300	21,843
14,400	21,844
14,500	21,843
14,600	21,843
14,700	21,842
14,800	21,842
14,900	21,843
15,000	21,843
15,100	21,841
15,200	21,844
15,300	21,844
15,400	21,842
15,500	21,843
15,600	21,844
15,700	21,843
15,800	21,841
15,900	21,843
16,000	21,842
16,100	21,843
16,200	21,843
16,300	21,844
16,400	21,844
16,500	21,843
16,600	21,843
16,700	21,843
16,800	21,845
16,900	21,842
17,000	21,843
17,100	21,841
17,200	21,842
17,300	21,843
17,400	21,843
17,500	21,843
17,600	21,844
17,700	21,842
17,800	21,842
17,900	21,843
18,000	21,842
18,100	21,844
18,200	21,842
18,300	21,841
18,400	21,844
18,500	21,842
18,600	21,842
18,700	21,843
18,800	21,847
18,900	21,846
19,000	21,845
19,100	21,847
19,200	21,853
19,300	21,858
19,400	21,866
19,500	21,879
19,600	21,891
19,700	21,902
19,800	21,922
19,900	21,939
20,000	21,959
20,100	21,980
20,200	22,003
20,300	22,026
20,400	22,053
20,500	22,079
20,600	22,104
20,700	22,135
20,800	22,164
20,900	22,194
21,000	22,224
21,100	22,253
21,200	22,288
21,300	22,318
21,400	22,352
21,500	22,389
21,600	22,422
21,700	22,454
21,800	22,488
